ID	gpt_prec	gpt_rec	gpt_f1	llama_prec	llama_rec	llama_f1	azure_prec	azure_rec	azure_f1
handbook-053	0.85	0.83	0.84	0.81	0.77	0.79	0.87	0.84	0.86
handbook-054	0.87	0.88	0.87	0.79	0.81	0.8	0.73	0.75	0.74
handbook-055	0.8	0.86	0.83	0.81	0.85	0.83	0.87	0.84	0.86
handbook-056	0.84	0.83	0.84	0.89	0.86	0.87	0.86	0.84	0.85
handbook-057	0.85	0.89	0.87	0.8	0.82	0.81	0.8	0.82	0.81
handbook-058	0.86	0.93	0.89	0.76	0.81	0.78	0.77	0.84	0.81
handbook-060	0.81	0.79	0.8	0.82	0.86	0.84	0.84	0.8	0.82
handbook-061	0.79	0.8	0.79	0.81	0.8	0.81	0.8	0.77	0.78
handbook-062	0.85	0.88	0.86	0.83	0.85	0.84	0.75	0.76	0.75
handbook-064	0.82	0.81	0.82	0.83	0.82	0.82	0.84	0.84	0.84
handbook-068	0.86	0.9	0.88	0.78	0.79	0.78	0.86	0.9	0.88
handbook-069	0.87	0.87	0.87	0.85	0.83	0.84	0.84	0.79	0.81
handbook-071	0.85	0.87	0.86	0.9	0.89	0.89	0.85	0.87	0.86
handbook-072	0.83	0.85	0.84	0.8	0.82	0.81	0.78	0.8	0.79
handbook-074	0.77	0.83	0.8	0.77	0.82	0.79	0.82	0.84	0.83
handbook-075	0.84	0.9	0.87	0.84	0.89	0.87	0.81	0.86	0.84
handbook-076	0.85	0.87	0.86	0.85	0.87	0.86	0.85	0.87	0.86
handbook-077	0.83	0.8	0.81	0.83	0.8	0.81	0.82	0.79	0.81
handbook-078	0.82	0.8	0.81	0.67	0.67	0.67	0.71	0.69	0.7
handbook-079	0.68	0.63	0.65	0.7	0.64	0.67	0.73	0.66	0.69
handbook-080	0.79	0.78	0.78	0.75	0.73	0.74	0.74	0.73	0.74
handbook-081	0.75	0.78	0.77	0.71	0.75	0.73	0.71	0.74	0.73
handbook-082	0.71	0.76	0.74	0.73	0.77	0.75	0.71	0.76	0.73
handbook-083	0.76	0.75	0.75	0.75	0.75	0.75	0.76	0.74	0.75
handbook-084	0.85	0.85	0.85	0.83	0.83	0.83	0.81	0.81	0.81
handbook-085	0.81	0.81	0.81	0.81	0.8	0.8	0.8	0.81	0.81
handbook-086	0.81	0.8	0.8	0.82	0.79	0.81	0.81	0.77	0.79
handbook-087	0.87	0.86	0.87	0.85	0.86	0.86	0.84	0.85	0.84
handbook-088	0.81	0.8	0.8	0.79	0.81	0.8	0.83	0.81	0.82
handbook-089	0.83	0.84	0.83	0.85	0.85	0.85	0.89	0.87	0.88
handbook-090	0.78	0.87	0.82	0.75	0.81	0.78	0.79	0.86	0.82
handbook-091	0.8	0.7	0.74	0.79	0.68	0.73	0.8	0.69	0.74
handbook-092	0.82	0.87	0.85	0.85	0.87	0.86	0.81	0.85	0.83
handbook-093	0.86	0.82	0.84	0.86	0.81	0.84	0.83	0.79	0.81
handbook-094	0.83	0.84	0.84	0.85	0.82	0.83	0.83	0.83	0.83
handbook-095	0.8	0.8	0.8	0.77	0.78	0.78	0.83	0.82	0.82
handbook-096	0.85	0.79	0.82	0.85	0.76	0.8	0.78	0.75	0.77
handbook-098	0.7	0.69	0.7	0.74	0.72	0.73	0.72	0.67	0.69
handbook-099	0.73	0.73	0.73	0.76	0.77	0.77	0.76	0.76	0.76
handbook-100	0.79	0.79	0.79	0.85	0.84	0.84	0.77	0.79	0.78
handbook-101	0.94	0.95	0.94	0.94	0.95	0.94	0.84	0.8	0.82
handbook-102	0.82	0.82	0.82	0.87	0.85	0.86	0.81	0.83	0.82
handbook-104	0.86	0.75	0.8	0.82	0.75	0.78	0.8	0.72	0.76
handbook-105	0.71	0.67	0.69	0.72	0.7	0.71	0.71	0.69	0.7
handbook-106	0.67	0.75	0.71	0.67	0.77	0.72	0.64	0.7	0.67
handbook-107	0.73	0.75	0.74	0.72	0.72	0.72	0.72	0.72	0.72
handbook-108	0.83	0.82	0.83	0.81	0.8	0.8	0.81	0.78	0.79
handbook-109	0.79	0.78	0.79	0.76	0.76	0.76	0.77	0.76	0.77
handbook-110	0.8	0.74	0.77	0.78	0.73	0.76	0.8	0.73	0.76
handbook-112	0.72	0.69	0.7	0.73	0.7	0.72	0.79	0.68	0.73
handbook-113	0.77	0.71	0.74	0.74	0.69	0.71	0.77	0.71	0.74
handbook-114	0.78	0.88	0.83	0.75	0.86	0.8	0.8	0.91	0.85
handbook-115	0.7	0.74	0.72	0.64	0.71	0.67	0.68	0.74	0.71
handbook-116	0.81	0.79	0.8	0.79	0.78	0.79	0.8	0.78	0.79
handbook-117	0.89	0.85	0.87	0.85	0.88	0.87	0.89	0.88	0.88
handbook-118	0.86	0.86	0.86	0.81	0.78	0.8	0.85	0.82	0.84
handbook-121	0.73	0.77	0.75	0.74	0.78	0.76	0.73	0.77	0.75
handbook-122	0.77	0.77	0.77	0.78	0.75	0.76	0.78	0.79	0.79
handbook-123	0.78	0.84	0.81	0.78	0.81	0.79	0.7	0.75	0.72
handbook-124	0.9	0.89	0.9	0.91	0.92	0.91	0.88	0.9	0.89
handbook-125	0.84	0.84	0.84	0.8	0.8	0.8	0.82	0.8	0.81
handbook-126	0.82	0.83	0.83	0.92	0.86	0.89	0.82	0.83	0.82
handbook-129	0.75	0.75	0.75	0.73	0.73	0.73	0.74	0.74	0.74
handbook-132	0.83	0.83	0.83	0.87	0.87	0.87	0.87	0.87	0.87
handbook-133	0.84	0.81	0.83	0.85	0.86	0.86	0.86	0.86	0.86
handbook-134	0.82	0.84	0.83	0.88	0.88	0.88	0.81	0.82	0.82
handbook-135	0.75	0.79	0.77	0.77	0.8	0.78	0.71	0.75	0.73
handbook-136	0.83	0.82	0.83	0.82	0.81	0.81	0.84	0.83	0.83
handbook-137	0.8	0.83	0.81	0.78	0.82	0.8	0.79	0.82	0.8
handbook-139	0.72	0.77	0.74	0.7	0.76	0.73	0.69	0.76	0.72
handbook-140	0.72	0.75	0.73	0.74	0.74	0.74	0.72	0.72	0.72
handbook-141	0.79	0.8	0.79	0.78	0.79	0.78	0.76	0.76	0.76
handbook-142	0.71	0.75	0.73	0.72	0.75	0.73	0.69	0.74	0.71
handbook-143	0.77	0.79	0.78	0.8	0.8	0.8	0.75	0.77	0.76
handbook-144	0.8	0.82	0.81	0.86	0.84	0.85	0.82	0.83	0.82
handbook-145	0.78	0.8	0.79	0.79	0.8	0.79	0.79	0.78	0.79
handbook-146	0.73	0.76	0.74	0.7	0.74	0.72	0.69	0.72	0.7
handbook-147	0.81	0.84	0.83	0.78	0.82	0.8	0.83	0.86	0.84
handbook-148	0.81	0.8	0.8	0.83	0.83	0.83	0.83	0.8	0.81
handbook-149	0.9	0.93	0.91	0.93	0.94	0.94	0.92	0.94	0.93
handbook-150	0.87	0.87	0.87	0.82	0.82	0.82	0.75	0.77	0.76
handbook-151	0.75	0.85	0.8	0.76	0.84	0.8	0.77	0.85	0.81
handbook-152	0.69	0.69	0.69	0.71	0.7	0.71	0.7	0.69	0.7
handbook-153	0.87	0.8	0.83	0.85	0.77	0.81	0.87	0.8	0.83
handbook-155	0.83	0.83	0.83	0.91	0.88	0.89	0.8	0.82	0.81
handbook-156	0.8	0.82	0.81	0.79	0.77	0.78	0.78	0.79	0.79
handbook-157	0.78	0.81	0.8	0.8	0.82	0.81	0.79	0.8	0.8
handbook-158	0.9	0.87	0.89	0.93	0.89	0.91	0.87	0.87	0.87
handbook-159	0.84	0.83	0.83	0.84	0.82	0.83	0.81	0.8	0.81
handbook-160	0.83	0.8	0.81	0.79	0.79	0.79	0.84	0.82	0.83
handbook-161	0.82	0.84	0.83	0.76	0.79	0.78	0.79	0.8	0.79
handbook-162	0.91	0.89	0.9	0.83	0.85	0.84	0.9	0.87	0.88
handbook-163	0.78	0.8	0.79	0.82	0.86	0.84	0.89	0.93	0.91
handbook-164	0.85	0.84	0.85	0.85	0.85	0.85	0.82	0.83	0.83
handbook-165	0.77	0.77	0.77	0.78	0.78	0.78	0.75	0.74	0.75
handbook-166	0.84	0.83	0.83	0.84	0.82	0.83	0.82	0.82	0.82
handbook-167	1.0	1.0	1.0	0.95	0.95	0.95	0.95	0.9	0.92
handbook-168	0.86	0.89	0.87	0.89	0.89	0.89	0.81	0.88	0.85
handbook-169	0.76	0.76	0.76	0.77	0.78	0.77	0.81	0.77	0.79
handbook-170	0.78	0.81	0.8	0.78	0.81	0.8	0.83	0.79	0.81
handbook-171	0.79	0.75	0.77	0.78	0.73	0.75	0.78	0.73	0.76
handbook-172	0.79	0.78	0.78	0.82	0.81	0.81	0.77	0.77	0.77
handbook-173	0.76	0.76	0.76	0.77	0.76	0.77	0.73	0.75	0.74
handbook-174	0.9	0.85	0.88	0.88	0.84	0.86	0.86	0.81	0.83
handbook-175	0.84	0.84	0.84	0.81	0.84	0.82	0.84	0.85	0.85
handbook-176	0.88	0.86	0.87	0.88	0.86	0.87	0.89	0.83	0.86
handbook-177	0.86	0.88	0.87	0.86	0.87	0.86	0.83	0.85	0.84
handbook-178	0.69	0.66	0.68	0.71	0.66	0.68	0.7	0.67	0.68
handbook-179	0.72	0.75	0.74	0.69	0.72	0.7	0.72	0.75	0.73
handbook-180	0.78	0.75	0.76	0.82	0.79	0.8	0.77	0.74	0.75
handbook-181	0.81	0.84	0.82	0.79	0.8	0.79	0.8	0.81	0.8
handbook-182	0.81	0.78	0.79	0.81	0.77	0.79	0.79	0.75	0.77
handbook-183	0.83	0.81	0.82	0.8	0.8	0.8	0.77	0.76	0.76
handbook-184	0.71	0.74	0.72	0.72	0.74	0.73	0.76	0.72	0.74
handbook-185	0.84	0.87	0.85	0.82	0.81	0.82	0.81	0.8	0.81
handbook-186	0.83	0.86	0.84	0.78	0.83	0.8	0.88	0.88	0.88
handbook-187	0.75	0.77	0.76	0.8	0.78	0.79	0.78	0.76	0.77
handbook-188	0.74	0.78	0.76	0.73	0.79	0.76	0.71	0.75	0.73
handbook-189	0.77	0.72	0.75	0.77	0.74	0.75	0.74	0.71	0.72
handbook-190	0.82	0.87	0.84	0.82	0.83	0.83	0.83	0.85	0.84
handbook-191	0.81	0.82	0.81	0.83	0.83	0.83	0.77	0.81	0.79
handbook-192	0.83	0.79	0.81	0.77	0.73	0.75	0.77	0.73	0.75
handbook-194	0.83	0.81	0.82	0.83	0.81	0.82	0.87	0.87	0.87
handbook-195	0.82	0.76	0.79	0.82	0.76	0.79	0.8	0.76	0.78
handbook-196	0.91	0.86	0.88	0.92	0.87	0.89	0.85	0.84	0.84
handbook-197	0.82	0.77	0.8	0.77	0.76	0.77	0.8	0.77	0.78
handbook-200	0.82	0.8	0.81	0.81	0.79	0.8	0.78	0.77	0.78
handbook-201	0.8	0.81	0.81	0.76	0.77	0.77	0.8	0.8	0.8
handbook-202	0.8	0.82	0.81	0.82	0.83	0.83	0.84	0.85	0.85
handbook-203	0.83	0.81	0.82	0.83	0.81	0.82	0.81	0.81	0.81
handbook-205	0.83	0.79	0.81	0.84	0.82	0.83	0.86	0.83	0.84
handbook-206	0.9	0.95	0.92	0.82	0.84	0.83	0.86	0.83	0.84
handbook-208	0.78	0.76	0.77	0.76	0.76	0.76	0.73	0.69	0.71
handbook-209	0.71	0.72	0.71	0.73	0.71	0.72	0.72	0.69	0.7
handbook-210	0.73	0.76	0.75	0.74	0.77	0.76	0.73	0.72	0.72
handbook-211	0.77	0.78	0.77	0.79	0.78	0.79	0.75	0.73	0.74
handbook-212	0.81	0.79	0.8	0.85	0.86	0.85	0.78	0.77	0.78
handbook-216	0.83	0.83	0.83	0.8	0.85	0.82	0.75	0.73	0.74
handbook-217	0.88	0.87	0.88	0.86	0.87	0.86	0.86	0.83	0.84
handbook-219	0.79	0.81	0.8	0.79	0.82	0.81	0.76	0.79	0.77
handbook-220	0.84	0.83	0.84	0.82	0.84	0.83	0.8	0.82	0.81
handbook-223	0.79	0.8	0.8	0.78	0.78	0.78	0.86	0.79	0.82
handbook-224	0.84	0.81	0.83	0.79	0.77	0.78	0.8	0.79	0.79
handbook-225	0.78	0.75	0.77	0.85	0.84	0.84	0.83	0.79	0.81
handbook-227	0.77	0.8	0.78	0.8	0.82	0.81	0.8	0.8	0.8
handbook-228	0.88	0.86	0.87	0.83	0.83	0.83	0.83	0.83	0.83
handbook-229	0.85	0.84	0.85	0.84	0.84	0.84	0.83	0.8	0.81
handbook-231	0.8	0.81	0.8	0.8	0.8	0.8	0.89	0.89	0.89
handbook-233	0.79	0.77	0.78	0.78	0.77	0.78	0.79	0.74	0.77
handbook-236	0.79	0.81	0.8	0.81	0.83	0.82	0.81	0.86	0.84
handbook-237	0.87	0.84	0.85	0.83	0.83	0.83	0.84	0.82	0.83
handbook-238	0.82	0.83	0.82	0.84	0.84	0.84	0.81	0.83	0.82
handbook-239	0.81	0.77	0.79	0.83	0.75	0.79	0.8	0.77	0.79
handbook-241	0.85	0.84	0.84	0.79	0.77	0.78	0.82	0.77	0.8
handbook-246	0.78	0.75	0.76	0.79	0.78	0.78	0.83	0.77	0.8
handbook-247	0.76	0.74	0.75	0.8	0.77	0.79	0.81	0.75	0.78
handbook-248	0.7	0.69	0.7	0.72	0.7	0.71	0.71	0.69	0.7
handbook-249	0.73	0.72	0.72	0.72	0.72	0.72	0.75	0.72	0.73
handbook-250	0.78	0.8	0.79	0.78	0.77	0.78	0.75	0.77	0.76
handbook-251	0.84	0.83	0.84	0.83	0.83	0.83	0.82	0.8	0.81
handbook-252	0.79	0.77	0.78	0.79	0.77	0.78	0.79	0.77	0.78
handbook-253	0.79	0.82	0.81	0.79	0.8	0.8	0.82	0.82	0.82
handbook-254	0.81	0.81	0.81	0.76	0.76	0.76	0.79	0.77	0.78
handbook-255	0.79	0.79	0.79	0.78	0.76	0.77	0.76	0.76	0.76
handbook-256	0.81	0.82	0.82	0.82	0.79	0.8	0.85	0.84	0.84
handbook-257	0.79	0.8	0.79	0.85	0.84	0.84	0.83	0.83	0.83
handbook-258	0.75	0.72	0.74	0.76	0.71	0.73	0.75	0.73	0.74
handbook-259	0.81	0.82	0.81	0.78	0.8	0.79	0.75	0.76	0.75
handbook-260	0.84	0.81	0.82	0.84	0.81	0.83	0.78	0.77	0.77
handbook-261	0.8	0.78	0.79	0.82	0.8	0.81	0.81	0.76	0.78
handbook-262	0.78	0.81	0.8	0.81	0.83	0.82	0.79	0.82	0.8
handbook-263	0.77	0.76	0.77	0.8	0.78	0.79	0.78	0.78	0.78
handbook-264	0.82	0.81	0.81	0.73	0.61	0.67	0.74	0.76	0.75
handbook-265	0.79	0.78	0.78	0.79	0.76	0.77	0.76	0.76	0.76
handbook-266	0.81	0.8	0.8	0.76	0.77	0.77	0.8	0.78	0.79
handbook-267	0.81	0.78	0.79	0.79	0.74	0.76	0.8	0.76	0.78
handbook-268	0.8	0.78	0.79	0.76	0.76	0.76	0.78	0.74	0.76
handbook-269	0.79	0.77	0.78	0.79	0.78	0.78	0.79	0.75	0.77
handbook-270	0.81	0.81	0.81	0.8	0.78	0.79	0.78	0.77	0.78
handbook-271	0.79	0.79	0.79	0.79	0.78	0.79	0.8	0.75	0.77
handbook-276	0.87	0.86	0.86	0.87	0.86	0.87	0.83	0.83	0.83
handbook-277	0.91	0.91	0.91	0.89	0.89	0.89	0.88	0.88	0.88
handbook-278	0.86	0.85	0.86	0.79	0.78	0.78	0.71	0.7	0.7
handbook-283	0.73	0.7	0.72	0.7	0.73	0.72	0.74	0.71	0.73
handbook-290	0.77	0.77	0.77	0.76	0.76	0.76	0.79	0.75	0.77
handbook-291	0.78	0.75	0.76	0.76	0.74	0.75	0.78	0.72	0.75
handbook-292	0.76	0.75	0.75	0.75	0.74	0.75	0.75	0.74	0.75
handbook-293	0.81	0.78	0.79	0.82	0.79	0.81	0.83	0.8	0.82
handbook-294	0.83	0.84	0.84	0.83	0.8	0.82	0.83	0.83	0.83
handbook-295	0.79	0.81	0.8	0.77	0.79	0.78	0.78	0.8	0.79
handbook-296	0.79	0.77	0.78	0.83	0.8	0.82	0.75	0.73	0.74
handbook-297	0.74	0.74	0.74	0.8	0.78	0.79	0.72	0.73	0.73
handbook-299	0.79	0.77	0.78	0.73	0.74	0.74	0.73	0.74	0.74
handbook-300	0.8	0.79	0.79	0.78	0.77	0.78	0.76	0.75	0.76
handbook-301	0.74	0.73	0.74	0.76	0.74	0.75	0.75	0.75	0.75
handbook-302	0.77	0.77	0.77	0.8	0.81	0.81	0.77	0.77	0.77
handbook-303	0.76	0.76	0.76	0.78	0.76	0.77	0.76	0.74	0.75
handbook-304	0.77	0.77	0.77	0.77	0.77	0.77	0.82	0.77	0.79
handbook-305	0.77	0.77	0.77	0.76	0.76	0.76	0.78	0.78	0.78
handbook-306	0.78	0.78	0.78	0.77	0.78	0.78	0.78	0.79	0.78
handbook-307	0.76	0.77	0.77	0.76	0.75	0.76	0.8	0.82	0.81
handbook-308	0.8	0.79	0.79	0.8	0.79	0.79	0.8	0.8	0.8
handbook-309	0.76	0.75	0.76	0.78	0.78	0.78	0.76	0.75	0.76
ALL	0.81	0.81	0.81	0.8	0.8	0.8	0.8	0.79	0.79
