ID	gpt_prec	gpt_rec	gpt_f1	llama_prec	llama_rec	llama_f1	azure_prec	azure_rec	azure_f1
handbook-079	0.9	0.9	0.9	0.77	0.85	0.81	0.92	0.88	0.9
handbook-080	0.87	0.85	0.86	0.91	0.87	0.89	0.76	0.73	0.74
handbook-081	0.86	0.83	0.85	0.85	0.82	0.84	0.73	0.72	0.72
handbook-082	0.85	0.86	0.86	0.92	0.9	0.91	0.79	0.77	0.78
handbook-083	0.84	0.85	0.84	0.86	0.84	0.85	0.71	0.73	0.72
handbook-084	0.93	0.91	0.92	0.84	0.85	0.84	0.77	0.8	0.78
handbook-085	0.87	0.89	0.88	0.8	0.82	0.81	0.77	0.78	0.77
handbook-086	0.88	0.87	0.87	0.87	0.87	0.87	0.83	0.78	0.8
handbook-087	0.98	0.97	0.98	0.91	0.91	0.91	0.83	0.85	0.84
handbook-088	0.91	0.9	0.91	0.92	0.92	0.92	0.82	0.78	0.8
handbook-089	0.97	0.94	0.95	0.94	0.92	0.93	0.85	0.79	0.82
handbook-090	0.83	0.82	0.82	0.88	0.84	0.86	0.8	0.74	0.77
handbook-091	0.92	0.94	0.93	0.85	0.89	0.87	0.9	0.88	0.89
handbook-092	0.87	0.81	0.84	0.84	0.79	0.81	0.82	0.78	0.8
handbook-093	0.84	0.83	0.84	0.82	0.8	0.81	0.84	0.81	0.82
handbook-094	0.9	0.88	0.89	0.89	0.87	0.88	0.78	0.76	0.77
handbook-095	0.83	0.85	0.84	0.85	0.86	0.86	0.84	0.82	0.83
handbook-096	0.86	0.78	0.82	0.93	0.9	0.91	0.8	0.74	0.77
handbook-098	0.65	0.59	0.62	0.51	0.47	0.49	0.61	0.53	0.57
handbook-099	0.95	0.95	0.95	0.76	0.75	0.76	0.77	0.79	0.78
handbook-100	0.88	0.85	0.86	0.87	0.85	0.86	0.8	0.8	0.8
handbook-101	0.95	0.93	0.94	0.95	0.93	0.94	0.79	0.74	0.77
handbook-102	0.83	0.82	0.83	0.73	0.73	0.73	0.85	0.83	0.84
handbook-104	0.9	0.81	0.85	0.78	0.76	0.77	0.7	0.68	0.69
handbook-105	0.84	0.85	0.85	0.83	0.85	0.84	0.83	0.86	0.85
handbook-106	0.8	0.86	0.83	0.84	0.87	0.85	0.85	0.81	0.83
handbook-107	0.84	0.88	0.86	0.86	0.9	0.88	0.7	0.73	0.71
handbook-108	0.85	0.85	0.85	0.87	0.88	0.88	0.78	0.78	0.78
handbook-109	1.0	1.0	1.0	0.97	0.97	0.97	0.74	0.75	0.75
handbook-110	0.85	0.75	0.8	0.94	0.88	0.91	0.86	0.76	0.81
handbook-112	0.82	0.83	0.82	0.84	0.8	0.82	0.9	0.72	0.8
handbook-113	0.91	0.84	0.87	0.82	0.79	0.81	0.83	0.75	0.79
handbook-114	0.87	0.88	0.88	0.84	0.85	0.84	0.86	0.87	0.87
handbook-115	0.81	0.76	0.78	0.78	0.78	0.78	0.77	0.72	0.74
handbook-116	0.9	0.93	0.92	0.84	0.88	0.86	0.85	0.85	0.85
handbook-117	0.97	0.97	0.97	0.83	0.9	0.86	0.84	0.82	0.83
handbook-118	0.96	0.96	0.96	0.88	0.81	0.85	0.93	0.95	0.94
handbook-121	0.93	0.93	0.93	0.9	0.92	0.91	0.89	0.89	0.89
handbook-122	0.81	0.85	0.83	0.84	0.84	0.84	0.82	0.83	0.83
handbook-123	0.81	0.83	0.82	0.81	0.89	0.85	0.71	0.78	0.74
handbook-124	0.92	0.88	0.9	0.81	0.77	0.79	0.88	0.81	0.84
handbook-125	0.9	0.93	0.92	0.82	0.85	0.84	0.76	0.83	0.79
handbook-126	0.92	0.88	0.9	0.79	0.85	0.82	0.88	0.88	0.88
handbook-129	0.7	0.7	0.7	0.7	0.71	0.71	0.66	0.66	0.66
handbook-132	0.96	0.96	0.96	0.82	0.82	0.82	0.91	0.89	0.9
handbook-133	0.89	0.9	0.9	0.82	0.83	0.82	0.83	0.86	0.85
handbook-134	0.83	0.8	0.81	0.78	0.78	0.78	0.77	0.77	0.77
handbook-135	0.78	0.81	0.8	0.86	0.85	0.86	0.74	0.77	0.76
handbook-136	0.84	0.83	0.84	0.91	0.93	0.92	0.85	0.82	0.83
handbook-137	0.88	0.88	0.88	0.91	0.91	0.91	0.78	0.78	0.78
handbook-139	0.74	0.84	0.78	0.73	0.77	0.75	0.64	0.72	0.68
handbook-140	0.77	0.82	0.79	0.87	0.92	0.9	0.78	0.84	0.81
handbook-141	0.88	0.89	0.89	0.89	0.87	0.88	0.81	0.8	0.81
handbook-142	0.69	0.63	0.66	0.67	0.64	0.65	0.63	0.61	0.62
handbook-143	0.85	0.84	0.85	0.85	0.8	0.82	0.81	0.77	0.79
handbook-144	0.84	0.8	0.82	0.8	0.77	0.78	0.87	0.81	0.84
handbook-145	0.83	0.84	0.84	0.86	0.89	0.87	0.79	0.77	0.78
handbook-146	0.81	0.87	0.84	0.82	0.86	0.84	0.72	0.79	0.76
handbook-147	0.9	0.83	0.86	0.9	0.86	0.88	0.88	0.85	0.86
handbook-148	0.77	0.81	0.79	0.79	0.8	0.8	0.8	0.79	0.8
handbook-149	0.85	0.87	0.86	0.68	0.77	0.72	0.82	0.84	0.83
handbook-150	0.91	0.91	0.91	0.76	0.85	0.8	0.67	0.74	0.7
handbook-151	0.86	0.85	0.85	0.79	0.76	0.78	0.84	0.82	0.83
handbook-152	0.96	0.94	0.95	0.91	0.88	0.89	0.92	0.76	0.83
handbook-153	0.9	0.95	0.92	0.9	0.95	0.92	0.87	0.86	0.86
handbook-155	0.9	0.85	0.88	0.79	0.74	0.76	0.79	0.75	0.77
handbook-156	0.88	0.87	0.88	0.84	0.83	0.83	0.87	0.86	0.86
handbook-157	0.85	0.81	0.83	0.83	0.8	0.82	0.84	0.81	0.83
handbook-158	0.89	0.87	0.88	0.89	0.89	0.89	0.82	0.82	0.82
handbook-159	0.89	0.83	0.86	0.79	0.81	0.8	0.78	0.73	0.75
handbook-160	0.88	0.82	0.85	0.84	0.84	0.84	0.84	0.8	0.82
handbook-161	0.84	0.8	0.82	0.77	0.78	0.78	0.81	0.76	0.79
handbook-162	0.9	0.89	0.89	0.87	0.9	0.89	0.87	0.79	0.83
handbook-163	0.85	0.82	0.83	0.81	0.8	0.8	0.76	0.74	0.75
handbook-164	0.87	0.84	0.85	0.93	0.87	0.9	0.83	0.75	0.79
handbook-165	0.95	0.9	0.92	0.78	0.8	0.79	0.85	0.85	0.85
handbook-166	0.77	0.8	0.78	0.72	0.78	0.75	0.72	0.75	0.74
handbook-167	0.95	0.98	0.96	0.78	0.89	0.83	0.79	0.85	0.82
handbook-168	0.72	0.84	0.78	0.73	0.84	0.78	0.84	0.86	0.85
handbook-169	0.89	0.9	0.89	0.88	0.91	0.89	0.89	0.83	0.86
handbook-170	0.85	0.9	0.87	0.84	0.9	0.87	0.9	0.86	0.88
handbook-171	0.85	0.88	0.86	0.88	0.88	0.88	0.79	0.78	0.78
handbook-172	0.92	0.9	0.91	0.84	0.85	0.85	0.87	0.85	0.86
handbook-173	0.82	0.77	0.8	0.78	0.75	0.77	0.76	0.75	0.76
handbook-174	0.93	0.93	0.93	0.84	0.81	0.83	0.92	0.9	0.91
handbook-175	0.87	0.84	0.85	0.79	0.79	0.79	0.88	0.87	0.87
handbook-176	0.89	0.85	0.87	0.81	0.81	0.81	0.84	0.81	0.82
handbook-177	0.87	0.85	0.86	0.83	0.84	0.83	0.85	0.85	0.85
handbook-178	0.78	0.78	0.78	0.69	0.71	0.7	0.68	0.68	0.68
handbook-179	0.78	0.84	0.81	0.76	0.83	0.8	0.72	0.78	0.75
handbook-180	0.86	0.87	0.87	0.84	0.83	0.83	0.75	0.71	0.73
handbook-181	0.9	0.91	0.9	0.88	0.88	0.88	0.8	0.79	0.8
handbook-182	0.84	0.8	0.82	0.79	0.8	0.8	0.76	0.74	0.75
handbook-183	0.84	0.83	0.84	0.8	0.76	0.78	0.79	0.76	0.77
handbook-184	0.88	0.85	0.87	0.88	0.86	0.87	0.81	0.79	0.8
handbook-185	0.95	0.95	0.95	0.93	0.92	0.93	0.73	0.73	0.73
handbook-186	0.83	0.82	0.83	0.82	0.84	0.83	0.79	0.72	0.75
handbook-187	0.88	0.83	0.85	0.87	0.8	0.83	0.73	0.71	0.72
handbook-188	0.85	0.84	0.84	0.8	0.79	0.8	0.75	0.73	0.74
handbook-189	0.86	0.85	0.86	0.82	0.81	0.81	0.8	0.78	0.79
handbook-190	0.88	0.82	0.85	0.88	0.79	0.83	0.85	0.8	0.82
handbook-191	0.81	0.84	0.82	0.82	0.84	0.83	0.79	0.8	0.8
handbook-192	0.98	0.87	0.92	0.91	0.83	0.87	0.82	0.84	0.83
handbook-194	0.94	0.94	0.94	0.86	0.83	0.85	0.81	0.82	0.82
handbook-195	0.93	0.93	0.93	0.89	0.9	0.9	0.86	0.87	0.86
handbook-196	0.97	0.97	0.97	0.95	0.93	0.94	0.82	0.87	0.84
handbook-197	0.82	0.78	0.8	0.84	0.8	0.82	0.75	0.71	0.73
handbook-200	0.87	0.85	0.86	0.81	0.8	0.81	0.67	0.69	0.68
handbook-201	0.76	0.75	0.76	0.71	0.71	0.71	0.74	0.68	0.71
handbook-202	0.75	0.79	0.77	0.74	0.75	0.74	0.75	0.73	0.74
handbook-203	0.84	0.84	0.84	0.8	0.76	0.78	0.75	0.76	0.76
handbook-205	0.87	0.8	0.84	0.89	0.78	0.83	0.79	0.7	0.74
handbook-206	0.89	0.85	0.87	0.82	0.84	0.83	0.85	0.73	0.79
handbook-208	0.9	0.94	0.92	0.85	0.88	0.87	0.71	0.7	0.7
handbook-209	0.82	0.87	0.85	0.79	0.84	0.81	0.75	0.79	0.77
handbook-210	0.89	0.91	0.9	0.84	0.87	0.85	0.75	0.72	0.73
handbook-211	0.93	0.95	0.94	0.92	0.93	0.92	0.74	0.74	0.74
handbook-212	0.9	0.93	0.92	0.81	0.81	0.81	0.84	0.86	0.85
handbook-216	0.88	0.93	0.9	0.85	0.9	0.87	0.77	0.79	0.78
handbook-217	0.91	0.85	0.88	0.86	0.82	0.84	0.86	0.79	0.83
handbook-219	0.92	0.92	0.92	0.96	0.93	0.94	0.91	0.9	0.91
handbook-220	0.86	0.87	0.86	0.88	0.91	0.89	0.84	0.83	0.84
handbook-223	0.96	0.89	0.92	0.89	0.85	0.87	0.77	0.69	0.73
handbook-224	0.95	0.98	0.97	0.89	0.87	0.88	0.79	0.82	0.81
handbook-225	0.97	0.94	0.96	0.94	0.91	0.92	0.93	0.87	0.9
handbook-227	0.89	0.89	0.89	0.87	0.88	0.88	0.76	0.72	0.74
handbook-228	0.81	0.89	0.85	0.73	0.78	0.76	0.73	0.73	0.73
handbook-229	0.91	0.92	0.92	0.85	0.88	0.87	0.72	0.7	0.71
handbook-231	0.93	0.93	0.93	0.83	0.86	0.84	0.79	0.78	0.78
handbook-233	0.86	0.86	0.86	0.83	0.85	0.84	0.78	0.77	0.77
handbook-236	0.93	0.94	0.93	0.95	0.97	0.96	0.83	0.84	0.84
handbook-237	1.0	1.0	1.0	0.95	0.9	0.92	0.95	0.9	0.92
handbook-238	0.84	0.82	0.83	0.8	0.8	0.8	0.81	0.78	0.79
handbook-239	0.86	0.83	0.85	0.9	0.9	0.9	0.84	0.84	0.84
handbook-241	0.94	0.97	0.95	0.87	0.91	0.89	0.85	0.85	0.85
handbook-246	0.89	0.91	0.9	0.79	0.82	0.8	0.79	0.74	0.77
handbook-247	0.83	0.84	0.84	0.81	0.82	0.82	0.72	0.68	0.7
handbook-248	0.93	0.92	0.93	0.88	0.87	0.88	0.84	0.79	0.82
handbook-249	0.96	0.96	0.96	0.89	0.88	0.88	0.85	0.83	0.84
handbook-250	0.89	0.88	0.88	0.79	0.82	0.8	0.8	0.79	0.79
handbook-251	0.92	0.89	0.9	0.87	0.82	0.85	0.84	0.79	0.82
handbook-252	0.88	0.86	0.87	0.88	0.88	0.88	0.86	0.84	0.85
handbook-253	0.9	0.9	0.9	0.84	0.87	0.86	0.85	0.84	0.85
handbook-254	0.85	0.84	0.84	0.86	0.85	0.86	0.84	0.79	0.81
handbook-255	0.85	0.85	0.85	0.83	0.84	0.83	0.81	0.81	0.81
handbook-256	0.86	0.89	0.87	0.89	0.92	0.9	0.84	0.84	0.84
handbook-257	0.85	0.85	0.85	0.86	0.86	0.86	0.87	0.81	0.84
handbook-258	0.85	0.87	0.86	0.84	0.83	0.83	0.85	0.87	0.86
handbook-259	0.88	0.84	0.86	0.83	0.83	0.83	0.8	0.78	0.79
handbook-260	0.82	0.79	0.8	0.87	0.88	0.87	0.8	0.8	0.8
handbook-261	0.87	0.85	0.86	0.87	0.83	0.85	0.84	0.76	0.8
handbook-262	0.8	0.77	0.78	0.82	0.77	0.79	0.77	0.76	0.77
handbook-263	0.87	0.83	0.85	0.84	0.81	0.82	0.81	0.77	0.79
handbook-264	0.85	0.82	0.84	0.82	0.81	0.82	0.78	0.8	0.79
handbook-265	0.82	0.8	0.81	0.82	0.82	0.82	0.78	0.76	0.77
handbook-266	0.88	0.87	0.88	0.89	0.9	0.9	0.78	0.75	0.76
handbook-267	0.88	0.85	0.87	0.88	0.86	0.87	0.83	0.78	0.81
handbook-268	0.91	0.9	0.91	0.89	0.9	0.9	0.86	0.81	0.83
handbook-269	0.88	0.86	0.87	0.85	0.84	0.85	0.84	0.79	0.81
handbook-270	0.87	0.88	0.88	0.84	0.85	0.84	0.82	0.8	0.81
handbook-271	0.87	0.83	0.85	0.85	0.84	0.84	0.83	0.74	0.78
handbook-276	0.98	0.93	0.95	0.88	0.85	0.86	0.79	0.78	0.79
handbook-277	0.94	0.93	0.93	0.92	0.91	0.91	0.78	0.79	0.79
handbook-278	0.84	0.82	0.83	0.87	0.87	0.87	0.72	0.67	0.69
handbook-283	0.88	0.91	0.9	0.85	0.88	0.87	0.77	0.78	0.77
handbook-290	0.87	0.87	0.87	0.84	0.84	0.84	0.82	0.78	0.8
handbook-291	0.9	0.86	0.88	0.87	0.84	0.85	0.81	0.77	0.79
handbook-292	0.88	0.87	0.88	0.86	0.86	0.86	0.8	0.79	0.8
handbook-293	0.91	0.93	0.92	0.85	0.87	0.86	0.85	0.86	0.86
handbook-294	0.84	0.82	0.83	0.86	0.9	0.88	0.85	0.78	0.81
handbook-295	0.86	0.84	0.85	0.83	0.82	0.82	0.78	0.75	0.77
handbook-296	0.83	0.79	0.81	0.8	0.76	0.78	0.81	0.79	0.8
handbook-297	0.81	0.8	0.81	0.79	0.77	0.78	0.75	0.74	0.74
handbook-299	0.84	0.78	0.81	0.76	0.73	0.75	0.74	0.72	0.73
handbook-300	0.85	0.82	0.83	0.83	0.84	0.83	0.8	0.79	0.8
handbook-301	0.82	0.82	0.82	0.78	0.8	0.79	0.75	0.75	0.75
handbook-302	0.81	0.8	0.81	0.83	0.79	0.81	0.81	0.78	0.79
handbook-303	0.75	0.75	0.75	0.71	0.72	0.72	0.72	0.72	0.72
handbook-304	0.85	0.83	0.84	0.83	0.77	0.8	0.84	0.74	0.79
handbook-305	0.79	0.78	0.79	0.79	0.77	0.78	0.78	0.76	0.77
handbook-306	0.89	0.83	0.86	0.82	0.8	0.81	0.87	0.78	0.82
handbook-307	0.94	0.89	0.91	0.92	0.87	0.9	0.87	0.86	0.87
handbook-308	0.87	0.83	0.85	0.84	0.81	0.83	0.83	0.81	0.82
handbook-309	0.92	0.89	0.9	0.9	0.87	0.89	0.9	0.84	0.87
ALL	0.87	0.86	0.86	0.84	0.84	0.84	0.8	0.79	0.8
