ID	gpt_prec	gpt_rec	gpt_f1	llama_prec	llama_rec	llama_f1	azure_prec	azure_rec	azure_f1
handbook-123	0.9	0.89	0.89	0.89	0.9	0.89	0.9	0.89	0.9
handbook-124	0.98	0.95	0.96	0.96	0.95	0.95	0.98	0.95	0.96
handbook-125	0.95	0.95	0.95	0.92	0.93	0.92	0.94	0.93	0.93
handbook-126	0.99	0.99	0.99	0.95	0.95	0.95	0.97	0.97	0.97
handbook-129	0.88	0.89	0.88	0.87	0.89	0.88	0.89	0.91	0.9
handbook-132	0.89	0.91	0.9	0.89	0.91	0.9	0.88	0.9	0.89
handbook-133	0.91	0.91	0.91	0.92	0.92	0.92	0.94	0.94	0.94
handbook-134	0.93	0.91	0.92	0.92	0.9	0.91	0.92	0.92	0.92
handbook-135	0.94	0.94	0.94	0.94	0.94	0.94	0.92	0.92	0.92
handbook-136	0.98	0.97	0.98	0.96	0.96	0.96	0.98	0.97	0.98
handbook-137	0.9	0.91	0.9	0.9	0.9	0.9	0.91	0.91	0.91
handbook-139	0.89	0.87	0.88	0.88	0.86	0.87	0.9	0.87	0.88
handbook-140	0.88	0.9	0.89	0.88	0.9	0.89	0.88	0.89	0.89
handbook-141	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88
handbook-142	0.96	0.96	0.96	0.93	0.92	0.92	0.91	0.88	0.89
handbook-143	0.94	0.93	0.93	0.93	0.91	0.92	0.94	0.93	0.93
handbook-144	0.94	0.91	0.92	0.91	0.9	0.91	0.94	0.92	0.93
handbook-145	0.92	0.91	0.92	0.93	0.92	0.93	0.94	0.93	0.94
handbook-146	0.88	0.9	0.89	0.86	0.88	0.87	0.84	0.9	0.87
handbook-147	0.93	0.96	0.95	0.92	0.96	0.94	0.92	0.95	0.94
handbook-148	0.94	0.95	0.94	0.95	0.96	0.95	0.93	0.93	0.93
handbook-149	0.95	0.93	0.94	0.9	0.89	0.9	0.94	0.9	0.92
handbook-150	0.92	0.93	0.92	0.92	0.92	0.92	0.92	0.92	0.92
handbook-151	0.93	0.92	0.93	0.94	0.92	0.93	0.93	0.92	0.92
handbook-152	0.92	0.95	0.94	0.89	0.96	0.92	0.95	0.95	0.95
handbook-153	0.94	0.9	0.92	0.94	0.9	0.92	0.94	0.9	0.92
handbook-155	0.94	0.94	0.94	0.93	0.91	0.92	0.9	0.89	0.9
handbook-156	0.93	0.91	0.92	0.91	0.91	0.91	0.91	0.91	0.91
handbook-157	0.92	0.9	0.91	0.91	0.9	0.9	0.92	0.91	0.91
handbook-158	0.95	0.92	0.93	0.94	0.91	0.93	0.95	0.92	0.93
handbook-159	0.92	0.9	0.91	0.91	0.88	0.89	0.92	0.89	0.91
handbook-160	0.92	0.91	0.92	0.91	0.9	0.9	0.94	0.9	0.92
handbook-161	0.92	0.89	0.9	0.9	0.88	0.89	0.92	0.9	0.91
handbook-162	0.96	0.95	0.96	0.96	0.95	0.96	0.98	0.96	0.97
handbook-163	0.96	0.95	0.96	0.95	0.95	0.95	0.94	0.95	0.95
handbook-164	0.96	0.94	0.95	0.97	0.95	0.96	0.95	0.93	0.94
handbook-165	0.91	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
handbook-166	0.9	0.9	0.9	0.92	0.91	0.91	0.92	0.92	0.92
handbook-167	0.98	0.97	0.97	0.99	0.98	0.99	0.95	0.94	0.94
handbook-168	0.99	0.99	0.99	0.94	0.96	0.95	0.94	0.98	0.96
handbook-169	0.86	0.9	0.88	0.87	0.9	0.89	0.92	0.9	0.91
handbook-170	0.88	0.93	0.91	0.9	0.94	0.92	0.94	0.91	0.92
handbook-171	0.92	0.9	0.91	0.9	0.91	0.9	0.93	0.92	0.92
handbook-172	0.95	0.92	0.93	0.94	0.91	0.92	0.94	0.91	0.93
handbook-173	0.92	0.9	0.91	0.92	0.91	0.91	0.9	0.89	0.9
handbook-174	0.93	0.9	0.92	0.93	0.9	0.92	0.94	0.92	0.93
handbook-175	0.94	0.94	0.94	0.88	0.88	0.88	0.93	0.94	0.93
handbook-176	0.92	0.92	0.92	0.92	0.93	0.92	0.93	0.92	0.92
handbook-177	0.93	0.94	0.93	0.93	0.95	0.94	0.92	0.94	0.93
handbook-178	0.87	0.85	0.86	0.86	0.84	0.85	0.89	0.85	0.87
handbook-179	0.96	0.95	0.96	0.96	0.94	0.95	0.98	0.95	0.97
handbook-180	0.9	0.91	0.91	0.91	0.92	0.91	0.91	0.91	0.91
handbook-181	0.9	0.93	0.91	0.9	0.93	0.91	0.91	0.93	0.92
handbook-182	0.92	0.92	0.92	0.91	0.91	0.91	0.91	0.91	0.91
handbook-183	0.9	0.9	0.9	0.88	0.9	0.89	0.9	0.89	0.9
handbook-184	0.86	0.84	0.85	0.87	0.85	0.86	0.89	0.85	0.87
handbook-185	0.9	0.92	0.91	0.87	0.88	0.88	0.9	0.91	0.9
handbook-186	0.89	0.9	0.89	0.86	0.88	0.87	0.92	0.91	0.91
handbook-187	0.92	0.9	0.91	0.94	0.92	0.93	0.94	0.92	0.93
handbook-188	0.89	0.92	0.91	0.89	0.93	0.91	0.89	0.92	0.9
handbook-189	0.92	0.91	0.92	0.91	0.91	0.91	0.91	0.89	0.9
handbook-190	0.97	0.87	0.92	0.92	0.86	0.89	0.97	0.87	0.91
handbook-191	0.91	0.91	0.91	0.89	0.88	0.88	0.84	0.88	0.86
handbook-192	0.91	0.89	0.9	0.94	0.87	0.9	0.85	0.87	0.86
handbook-194	0.94	0.9	0.92	0.94	0.9	0.92	0.92	0.89	0.91
handbook-195	0.96	0.95	0.95	0.96	0.94	0.95	0.96	0.94	0.95
handbook-196	0.98	0.94	0.96	0.96	0.94	0.95	0.97	0.94	0.95
handbook-197	0.93	0.92	0.92	0.93	0.93	0.93	0.95	0.94	0.94
handbook-200	0.93	0.91	0.92	0.91	0.9	0.91	0.9	0.89	0.89
handbook-201	0.9	0.88	0.89	0.92	0.89	0.9	0.91	0.88	0.89
handbook-202	0.9	0.89	0.9	0.91	0.9	0.91	0.92	0.9	0.91
handbook-203	0.95	0.92	0.93	0.94	0.91	0.93	0.95	0.92	0.94
handbook-205	0.95	0.91	0.93	0.98	0.93	0.96	0.93	0.9	0.92
handbook-206	0.97	0.94	0.96	0.97	0.98	0.98	0.94	0.91	0.92
handbook-208	0.89	0.92	0.91	0.86	0.9	0.88	0.86	0.87	0.87
handbook-209	0.86	0.92	0.89	0.91	0.92	0.91	0.9	0.91	0.9
handbook-210	0.84	0.9	0.87	0.84	0.9	0.87	0.93	0.91	0.92
handbook-211	0.87	0.89	0.88	0.84	0.88	0.86	0.89	0.89	0.89
handbook-212	0.91	0.87	0.89	0.93	0.86	0.89	0.9	0.86	0.88
handbook-216	0.87	0.92	0.89	0.89	0.92	0.9	0.89	0.9	0.9
handbook-217	0.94	0.93	0.93	0.96	0.93	0.94	0.96	0.92	0.94
handbook-219	0.92	0.9	0.91	0.92	0.93	0.92	0.93	0.93	0.93
handbook-220	0.91	0.92	0.92	0.91	0.93	0.92	0.91	0.93	0.92
handbook-223	0.95	0.92	0.93	0.94	0.92	0.93	0.92	0.88	0.89
handbook-224	0.94	0.89	0.92	0.93	0.89	0.91	0.93	0.89	0.91
handbook-225	0.93	0.9	0.91	0.94	0.92	0.93	0.89	0.86	0.88
handbook-227	0.9	0.91	0.91	0.88	0.9	0.89	0.92	0.92	0.92
handbook-228	0.88	0.84	0.86	0.94	0.86	0.9	0.86	0.83	0.84
handbook-229	0.88	0.88	0.88	0.92	0.92	0.92	0.94	0.91	0.92
handbook-231	0.89	0.92	0.91	0.93	0.98	0.95	1.0	1.0	1.0
handbook-233	0.85	0.9	0.87	0.89	0.93	0.91	0.91	0.92	0.92
handbook-236	0.9	0.9	0.9	0.94	0.93	0.94	0.94	0.93	0.94
handbook-237	0.97	0.92	0.94	0.97	0.92	0.94	0.95	0.9	0.93
handbook-238	0.93	0.91	0.92	0.95	0.91	0.93	0.95	0.91	0.93
handbook-239	0.95	0.92	0.94	0.93	0.92	0.92	0.95	0.92	0.94
handbook-241	0.89	0.9	0.89	0.89	0.9	0.89	0.93	0.89	0.91
handbook-246	0.87	0.87	0.87	0.87	0.88	0.88	0.92	0.88	0.9
handbook-247	0.9	0.88	0.89	0.88	0.88	0.88	0.92	0.88	0.9
handbook-248	0.85	0.9	0.88	0.87	0.93	0.9	0.88	0.9	0.89
handbook-249	0.87	0.9	0.88	0.86	0.9	0.88	0.92	0.9	0.91
handbook-250	0.92	0.91	0.91	0.91	0.9	0.91	0.92	0.92	0.92
handbook-251	0.92	0.91	0.92	0.92	0.92	0.92	0.93	0.9	0.92
handbook-252	0.88	0.91	0.9	0.92	0.91	0.91	0.94	0.92	0.93
handbook-253	0.94	0.94	0.94	0.91	0.93	0.92	0.96	0.93	0.95
handbook-254	0.9	0.91	0.91	0.92	0.93	0.92	0.93	0.93	0.93
handbook-255	0.92	0.89	0.91	0.92	0.91	0.91	0.91	0.9	0.9
handbook-256	0.93	0.93	0.93	0.93	0.94	0.93	0.95	0.95	0.95
handbook-257	0.91	0.89	0.9	0.91	0.9	0.91	0.92	0.91	0.91
handbook-258	0.92	0.92	0.92	0.93	0.93	0.93	0.92	0.93	0.93
handbook-259	0.92	0.91	0.91	0.93	0.91	0.92	0.92	0.91	0.92
handbook-260	0.97	0.96	0.96	0.96	0.95	0.95	0.96	0.94	0.95
handbook-261	0.91	0.9	0.91	0.91	0.9	0.91	0.94	0.9	0.91
handbook-262	0.93	0.9	0.92	0.93	0.92	0.92	0.94	0.91	0.92
handbook-263	0.91	0.9	0.9	0.92	0.91	0.91	0.91	0.9	0.91
handbook-264	0.91	0.92	0.92	0.9	0.91	0.91	0.9	0.91	0.91
handbook-265	0.9	0.91	0.9	0.9	0.91	0.9	0.9	0.91	0.9
handbook-266	0.91	0.9	0.9	0.9	0.9	0.9	0.93	0.9	0.91
handbook-267	0.89	0.91	0.9	0.92	0.92	0.92	0.93	0.92	0.93
handbook-268	0.94	0.94	0.94	0.91	0.93	0.92	0.95	0.92	0.93
handbook-269	0.93	0.91	0.92	0.93	0.92	0.93	0.93	0.9	0.91
handbook-270	0.92	0.92	0.92	0.92	0.92	0.92	0.91	0.91	0.91
handbook-271	0.92	0.92	0.92	0.93	0.93	0.93	0.94	0.91	0.93
handbook-276	0.93	0.91	0.92	0.93	0.91	0.92	0.88	0.89	0.88
handbook-277	0.93	0.92	0.92	0.92	0.91	0.91	0.89	0.9	0.89
handbook-278	0.92	0.9	0.91	0.92	0.9	0.91	0.89	0.84	0.86
handbook-283	0.81	0.88	0.85	0.79	0.88	0.83	0.87	0.89	0.88
handbook-290	0.89	0.91	0.9	0.93	0.92	0.92	0.93	0.91	0.92
handbook-291	0.89	0.9	0.89	0.88	0.89	0.89	0.91	0.9	0.91
handbook-292	0.89	0.88	0.89	0.9	0.88	0.89	0.9	0.88	0.89
handbook-293	0.95	0.94	0.95	0.94	0.95	0.95	0.95	0.96	0.96
handbook-294	0.95	0.93	0.94	0.93	0.93	0.93	0.95	0.94	0.94
handbook-295	0.92	0.89	0.91	0.92	0.89	0.91	0.92	0.89	0.91
handbook-296	0.93	0.92	0.93	0.93	0.91	0.92	0.91	0.89	0.9
handbook-297	0.93	0.91	0.92	0.93	0.91	0.92	0.84	0.89	0.86
handbook-299	0.91	0.89	0.9	0.9	0.89	0.89	0.9	0.89	0.9
handbook-300	0.89	0.91	0.9	0.89	0.92	0.9	0.91	0.91	0.91
handbook-301	0.91	0.89	0.9	0.92	0.91	0.91	0.9	0.89	0.9
handbook-302	0.91	0.91	0.91	0.92	0.91	0.91	0.91	0.9	0.91
handbook-303	0.92	0.9	0.91	0.93	0.9	0.91	0.92	0.89	0.9
handbook-304	0.91	0.9	0.91	0.91	0.89	0.9	0.91	0.88	0.9
handbook-305	0.92	0.91	0.91	0.91	0.91	0.91	0.91	0.9	0.9
handbook-306	0.94	0.92	0.93	0.94	0.93	0.93	0.92	0.91	0.92
handbook-307	0.94	0.93	0.93	0.93	0.93	0.93	0.93	0.92	0.92
handbook-308	0.92	0.9	0.91	0.92	0.9	0.91	0.91	0.9	0.91
handbook-309	0.93	0.93	0.93	0.91	0.92	0.91	0.93	0.92	0.93
ALL	0.92	0.91	0.92	0.91	0.91	0.91	0.92	0.91	0.91
