ID	gpt	llama	azure	target_len	gpt_len	llama_len	azure_len
handbook-117	13.05	16.17	30.55	20	15	22	17
handbook-118	14.88	6.19	10.9	16	17	14	14
handbook-121	3.92	4.81	4.81	10	23	19	19
handbook-122	6.59	5.98	21.31	17	19	13	20
handbook-123	21.31	5.24	5.17	13	20	20	22
handbook-124	24.32	37.6	35.83	14	12	14	15
handbook-125	21.48	6.03	17.0	27	27	28	31
handbook-126	29.0	21.07	17.24	10	11	8	12
handbook-129	4.4	3.85	1.72	35	29	33	26
handbook-132	19.07	31.56	31.56	9	9	9	9
handbook-133	5.81	18.02	7.34	24	17	20	20
handbook-134	20.51	31.21	18.41	38	44	39	46
handbook-135	13.07	4.93	4.93	9	13	11	11
handbook-136	13.46	6.27	7.23	15	14	12	14
handbook-137	6.03	8.0	1.72	28	37	37	39
handbook-139	6.29	5.82	5.06	6	14	16	17
handbook-140	3.67	13.69	4.03	12	13	11	12
handbook-141	9.56	15.66	4.55	16	21	19	22
handbook-142	4.99	5.67	3.39	8	10	9	12
handbook-143	7.43	7.05	1.55	34	39	36	42
handbook-144	20.28	30.0	25.31	69	69	68	66
handbook-145	10.63	11.53	6.79	36	45	44	35
handbook-146	3.13	2.45	0.0	9	15	16	21
handbook-147	28.05	20.87	33.36	17	20	25	20
handbook-148	7.65	10.65	11.88	24	24	25	27
handbook-149	17.69	31.68	35.22	14	18	15	16
handbook-150	20.38	11.19	4.63	20	19	22	33
handbook-151	7.71	6.67	8.45	14	36	34	33
handbook-152	2.14	1.65	2.07	20	13	11	12
handbook-153	4.59	4.31	5.05	26	10	10	11
handbook-155	22.74	23.8	19.34	12	10	10	13
handbook-156	24.97	8.94	20.43	43	53	42	50
handbook-157	7.73	9.03	8.55	72	87	80	86
handbook-158	45.27	45.86	41.24	29	22	22	27
handbook-159	20.91	16.42	8.01	51	44	43	37
handbook-160	13.69	5.72	11.52	55	37	52	44
handbook-161	18.39	4.34	3.6	38	40	64	42
handbook-162	23.15	14.0	28.59	24	18	24	20
handbook-163	8.77	26.46	9.36	13	17	18	22
handbook-164	13.13	9.37	10.36	22	17	19	21
handbook-165	7.08	4.12	4.81	20	26	25	20
handbook-166	9.43	9.03	7.77	11	11	10	13
handbook-167	100.0	59.46	24.6	8	8	8	6
handbook-168	11.73	24.81	7.19	9	11	8	15
handbook-169	25.74	25.95	14.1	25	26	23	19
handbook-170	22.0	20.14	27.86	24	26	24	20
handbook-171	15.35	5.44	8.46	21	15	11	17
handbook-172	3.2	16.59	1.76	35	26	35	29
handbook-173	10.93	5.04	4.3	18	18	20	24
handbook-174	7.55	6.84	8.93	23	15	14	14
handbook-175	14.96	12.94	14.96	15	14	17	14
handbook-176	27.94	19.71	24.9	26	21	23	19
handbook-177	34.2	33.66	23.77	27	29	30	33
handbook-178	1.92	3.15	1.74	28	20	17	18
handbook-179	4.78	3.92	5.09	16	21	23	19
handbook-180	8.69	10.46	4.72	18	12	12	11
handbook-181	21.11	10.91	9.01	38	50	43	41
handbook-182	14.4	22.96	5.58	44	35	34	32
handbook-183	16.88	18.68	6.74	31	28	35	35
handbook-184	4.01	4.19	2.19	26	18	22	19
handbook-185	12.97	8.08	10.14	39	48	43	35
handbook-186	19.83	5.47	33.63	36	42	57	35
handbook-187	3.35	3.77	2.83	33	37	29	31
handbook-188	3.26	8.15	2.74	23	41	38	41
handbook-189	2.88	2.99	2.7	55	36	38	38
handbook-190	31.64	3.72	17.31	18	21	18	18
handbook-191	26.41	25.24	24.01	37	45	31	32
handbook-192	23.09	4.75	4.75	20	13	13	13
handbook-194	11.23	11.23	41.11	10	9	9	10
handbook-195	5.2	5.2	3.16	28	12	12	16
handbook-196	21.63	34.67	10.27	18	12	13	16
handbook-197	8.65	4.23	8.11	35	23	33	27
handbook-200	5.15	4.25	3.87	35	28	27	28
handbook-201	6.0	7.43	6.32	23	23	30	20
handbook-202	8.96	5.71	14.41	31	38	30	34
handbook-203	8.19	7.52	4.01	40	30	30	27
handbook-205	24.04	19.4	13.55	24	20	21	17
handbook-206	60.67	37.29	7.26	17	19	15	12
handbook-208	24.95	5.87	3.83	25	25	18	18
handbook-209	3.12	2.79	1.75	37	29	25	27
handbook-210	11.3	9.83	2.15	30	33	34	29
handbook-211	5.51	5.68	1.55	43	46	44	41
handbook-212	5.0	5.6	5.37	11	8	11	10
handbook-216	33.44	30.05	8.25	30	23	31	31
handbook-217	32.76	31.04	23.08	19	14	19	15
handbook-219	5.82	6.15	3.46	14	16	16	16
handbook-220	8.97	6.81	5.75	14	12	19	17
handbook-223	32.63	11.02	22.04	15	13	11	11
handbook-224	19.41	9.73	19.6	19	15	14	17
handbook-225	7.81	8.64	8.17	7	7	7	6
handbook-227	7.95	11.64	18.21	15	22	18	15
handbook-228	11.51	9.65	9.65	6	5	6	6
handbook-229	26.45	11.88	8.21	11	9	10	7
handbook-231	6.74	8.17	43.01	7	9	6	6
handbook-233	24.27	26.1	21.11	19	15	19	13
handbook-236	8.05	25.97	7.47	11	12	11	14
handbook-237	36.7	12.6	12.87	8	5	7	6
handbook-238	30.12	30.12	9.78	14	13	13	16
handbook-239	9.68	8.55	6.89	34	20	16	22
handbook-241	24.69	6.44	6.7	15	12	9	10
handbook-246	3.7	6.57	6.59	35	24	25	24
handbook-247	2.73	6.76	3.47	36	22	23	20
handbook-248	3.87	8.39	5.81	34	31	31	27
handbook-249	9.01	8.87	5.45	31	24	26	25
handbook-250	16.66	13.53	13.0	176	192	139	218
handbook-251	30.35	24.17	20.93	81	79	80	70
handbook-252	22.76	28.66	20.08	145	123	134	132
handbook-253	22.14	19.85	24.5	43	52	53	45
handbook-254	22.96	10.78	17.62	103	97	104	96
handbook-255	20.17	18.46	14.77	228	233	205	239
handbook-256	13.4	13.35	20.92	63	74	59	61
handbook-257	7.7	23.38	9.59	36	45	38	35
handbook-258	7.49	7.27	5.13	98	59	52	67
handbook-259	17.43	13.0	4.83	52	76	85	87
handbook-260	13.41	13.79	6.36	35	25	25	23
handbook-261	18.84	14.43	13.53	110	94	102	84
handbook-262	14.77	25.68	12.09	24	33	26	33
handbook-263	16.44	19.96	14.61	231	189	210	188
handbook-264	21.11	0.02	11.28	208	172	28	240
handbook-265	14.76	8.41	15.57	260	250	198	236
handbook-266	17.36	15.8	28.67	80	71	72	71
handbook-267	22.71	23.59	24.1	151	130	111	138
handbook-268	13.98	11.42	10.75	87	81	86	71
handbook-269	19.97	10.49	18.83	114	99	107	86
handbook-270	27.04	17.26	15.69	151	135	125	142
handbook-271	25.98	20.43	19.34	84	74	74	54
handbook-276	26.31	21.48	8.45	11	10	10	9
handbook-277	58.3	36.17	11.7	17	17	16	16
handbook-278	36.56	11.04	12.87	8	8	8	6
handbook-283	8.99	8.54	5.51	32	30	26	28
handbook-290	26.94	21.13	25.47	68	67	69	60
handbook-291	14.2	14.01	15.58	76	62	61	59
handbook-292	6.97	6.42	4.43	210	140	145	139
handbook-293	23.63	25.47	15.55	34	32	36	32
handbook-294	28.59	24.01	26.25	34	35	26	31
handbook-295	6.25	9.85	8.63	77	101	91	85
handbook-296	4.59	15.06	2.57	24	22	22	22
handbook-297	7.07	5.26	3.48	80	65	54	56
handbook-299	9.65	4.69	8.87	79	68	76	61
handbook-300	12.67	8.95	3.96	108	105	98	102
handbook-301	14.3	11.14	11.23	205	201	170	184
handbook-302	3.02	12.86	3.54	47	51	53	53
handbook-303	4.61	4.4	3.7	36	33	29	27
handbook-304	12.28	11.41	10.74	110	116	119	75
handbook-305	7.19	4.92	11.48	149	134	138	131
handbook-306	4.46	2.91	6.37	94	85	95	96
handbook-307	1.72	5.47	13.94	42	40	39	44
handbook-308	10.6	17.08	14.34	168	133	143	155
handbook-309	2.73	2.92	2.23	72	57	74	64
ALL	17.11	14.72	13.79	9279	8703	8467	8611
