id	source_japanese	target_english	target_chinese	target_vietnamese
handbook-014	あなたに、罪を犯したと疑うに足りる相当な理由があり、かつ、住居が不定であるか、証拠を隠滅したり逃亡したりすることを疑うに足りる相当な理由がある場合には、勾留されることになるかもしれません。	You might be held in detention if the court finds probable cause to suspect that you have committed the crime as along with one or more of the following three factors: One, you have no fixed address. Two, there is probable cause to suspect that you will conceal or destroy evidence. Three, there is probable cause to suspect that you will attempt to flee. 	在有相当理由足以怀疑你犯了罪，并且没有固定的住址时，或者有相当理由足以怀疑你可能隐灭证据或逃跑时，你也许会被拘留。	Quí vị có thể bị tạm giam trong trường hợp có đầy đủ lý do nghi ngờ phạm tội, hoặc không có địa chỉ cố định, hoặc có đủ lý do cho thấy quí vị sẽ phi tang chứng cớ, âm mưu chạy trốn. 
handbook-015	勾留される期間は、原則として10日間です。	The duration of detention is 10 days in principle.	拘留期间原则上为10天。	Trên nguyên tắc, thời gian tạm giam là 10 ngày. 
handbook-016	しかし、場合によっては、10日たつ前に釈放されることもありますし、更に10日以内の日数勾留が延長されることもあります。	However, depending on the case, you might be released (from custody) before 10 days or the detention might be extended up to another 10 days. 	但是根据情况，有可能不到10天就会被释放，也有可能再延长10天以内的拘留期间。	Tuy nhiên tùy theo trường hợp, quí vị có thể được phóng thích trước thời hạn 10 ngày, hoặc sau khi hết hạn 10 ngày sẽ tạm giam thêm trong vòng 10 ngày nữa. 
handbook-017	それでは、勾留請求の理由となっている犯罪事実を読むのでよく聞いてください。	The following allegations of the facts of the crime constitute the grounds for the request for your detention.	现在我念申请拘留理由的犯罪事实，你先好好地听。	Sau đây quí vị hãy nghe những lời cáo buộc của kiểm sát viên dẫn đến yêu cầu tòa tạm giam quí vị. 
handbook-018	その後で、これに対して言いたいことがあったら述べてください。	Afterwards, you will have an opportunity to make a comment. 	然后对此你如有什么要说的，可以提出来。	Sau đó, xin mời phát biểu nếu có ý kiến đối với lời buộc tội này. 
handbook-019	被疑者は、平成○○年10月10日午後6時50分ころ、○○市丸山町1番1号所在の株式会社甲百貨店(代表取締役甲野太郎)本店3階貴金属売場において、同社所有のダイヤモンド指輪1個(時価300万円相当)を自己の背広の内側ポケットに入れて窃取したものである。	"The suspect, at about 6: 50 p.m., on October 10, XXXX, knowingly and intentionally stole a diamond ring (valued at about three million yen) by slipping it inside the inside pocket of his/her jacket at the jewelry department on the third floor of the main store of ______ Department Store (C.E.O. ______ ), located at 1-1 Maruyamacho, City."	“嫌疑人于O0年10月10日下午6时50分左右，在位于○○市丸山町1番1号的股份有限公司甲百货公司(甲野太郎总经理)总店3层贵金属柜台，将该公司所有的钻石戒指1个(时价相当于300万日元)装进自己的西装内侧口袋里，从而将之窃取。”	“Vào khoảng 6 giờ 50 phút chiều ngày 10 tháng 10 năm....., tại gian hàng bán nữ trang ở tầng 3 cửa hàng chính thuộc công ty bách hóa tổng hợp .... địa chỉ 1-1 Maruyama-cho thị xã..... (Giám đốc công ty là ông Kouno Taro); đương sự (người bị tình nghi) đã lấy cắp một nhẫn kim cương (trị giá tương đương 3.000.000 triệu yen) rồi cho vào túi trong của chiếc áo vét đang mặc trên người”. 
handbook-020	事実はそのとおり間違いありません。	These facts are true in their entirety. 	事实没有错。	Những lời buộc tội trên đúng hoàn toàn. 
handbook-021	身に覚えがありません。	I have nothing to do with these facts. 	这不是事实。	Tôi không hề làm việc đó. 
handbook-022	検察庁で述べたとおりです。	All I want to say now is what I have said at the public prosecutors office. 	和在检察院陈述的一样。	Tôi đã khai đúng như thế với Viện kiểm sát. 
handbook-023	あなたが勾留されることになった場合には、裁判所から弁護人あてにその旨を通知します。	If you are detained, the court will notify your counsel of your detention.	你如果被拘留的话，法院将把该事实通知你的辩护人。	Nếu tòa quyết định tạm giam, tòa sẽ thông báo việc này cho luật sư của quí vị. 
handbook-024	弁護人がない場合には、国内にいるあなたの配偶者、親兄弟等のうち、あなたが指定する1人に通知します。	If you do not have your own counsel, the court will notify your spouse, a parent or a sibling in Japan designated by you.	如果没有辩护人，则通知你在日本的配偶，父母兄弟姐妹等当中你所指定的一个人。	Trường hợp không có luật sư, tòa sẽ thông báo việc này cho vợ (chồng), cha mẹ, anh chị em của quí vị đang ở Nhật theo sự chỉ định của quí vị. 
handbook-025	また、弁護人もそのような家族もない場合には、雇主とか知人などのうちからあなたが指定する1人に通知します。	If you have neither counsel nor such family members, the court will notify any other person designated by you, such as your employer or acquaintance.	如果没有辩护人也没有家属的话，则通知你的雇主或者你熟人当中你所指定的一个人。	Nếu không có luật sư và cũng không có thân nhân ở Nhật thì tòa sẽ thông báo cho một người nào đó do quí vị chỉ định, chẳng hạn như người chủ nơi quí vị làm việc, hoặc bạn bè.
handbook-026	通知先の氏名、住居、電話番号を述べてください。	Indicate the name, address, and phone number of such person whom the court should notify of your detention. 	请你说一下通知对象的姓名，地址，电话号码。	Xin cho biết tên, địa chỉ, số điện thoại người muốn liên lạc. 
handbook-027	日本にいる兄に連絡してください。	Please notify my brother in Japan. 	请通知我在日本的哥哥。	Xin liên lạc với anh trai tôi đang sống ở Nhật 
handbook-028	住所と名前は。	What is his name and address? 	住址和姓名是什么?	Hãy cho biết tên và địa chỉ. 
handbook-029	名前は、Aです。	His name is A.	姓名是A。	Anh tôi tên là A.
handbook-030	私と同じところに住んでいます。	He lives at the same address as I do. 	他和我住在一起。	Ở cùng địa chỉ với tôi. 
handbook-031	あなたは、○○国国民として、領事関係に関するウィーン条約第36条第1項(b)の規定により、勾留の事実を○○国領事官に通報することを要求しますか。	Do you, as a national of ______ ,under Article 36 (1) b of the Vienna Convention on Consular Relations, request notification of your detention to be given to the Consul of ______ ?	你作为○○国国民，根据有关领事关系的维也纳条约第36条第1款(b)的规定，你需要把被拘留的事实通报○○国领事吗?	Quí vị là công dân của nước............, chiếu theo điều 36 mục 1 (b) hiệp ước Vien về quan hệ lãnh sự, quí vị có yêu cầu thông báo việc tạm giam này đến lãnh sự quán của nước............ không? 
handbook-032	通報することを要求します。<要求しません。>	Yes, I do. <No, I don't.>	要求〈不要求〉通报。	Xin tòa thông báo đến lãnh sự quán việc tạm giam này. <Không, tôi không yêu cầu thông báo>. 
handbook-033	なお、領事機関に対しては、我が国の法令に反しない限り、信書を発することができます。	You may send a letter to the Consul in so far as it does not contradict Japanese law. 	另外，在不违反我国法令的范围内，你可以向领事机关写信。	Quí vị có thể gửi bằng thư tới lãnh sự quán nếu lá thư không vi phạm luật pháp Nhật Bản.
handbook-034	あなたが述べたことを調書に書きましたので、それを読み上げます。	I have written down what you have said. I will read it aloud.	你所说的内容已做成了笔录，现在向你宣读。	Sau đây, tôi sẽ đọc biên bản ghi lại những gì quí vị đã khai.
handbook-035	間違いなければここに署名して、左人指し指で指印してください。	If it is correct, sign here and seal it with your left index finger next to your signature. 	如果没有错，请你在这里签名，并用左食指按指印。	Nếu đúng, xin ký tên vào đây, và lăn ngón tay trỏ trái bên cạnh chữ ký. 
handbook-036	開廷します。	This court is hereby opened.	现在开庭。	Phiên tòa bắt đầu. 
handbook-037	良心に従って誠実に通訳をすることを誓います。	I swear, according to my conscience, to interpret faithfully and truly. 	我发誓，凭良心诚实地做翻译。	Tôi xin tuyên thệ trước lương tâm mình rằng sẽ dịch chính xác và thành thực. 
handbook-038	被告人は前に出てください。	Will the defendant please step forward. 	被告人请到前面来。	Xin bị cáo bước lên phía trước 
handbook-039	<被告人は起立してください。>	<Will the defendant please rise.> 	〈被告人请起立。〉	<Xin bị cáo đứng dậy> 
handbook-040	名前は何と言いますか。	State your name. 	你姓名叫什么?	Bị cáo tên gì? 
handbook-041	生年月日はいつですか。	State your date of birth. 	出生年月呢?	Ngày tháng năm sinh? 
handbook-042	国籍（本籍）はどこですか。	State your nationality (registered domicile). 	国籍(原籍)是哪里?	Quốc tịch (nguyên quán) ở đâu? 
handbook-043	日本国内に定まった住居はありますか。	State your residential address in Japan. 	在日本国内有固定的住址吗?	Có địa chỉ ở Nhật hay không? 
handbook-044	職業は何ですか。	State your occupation. 	职业是什么?	Làm công việc gì? 
handbook-045	それでは、これから被告人に対する○○被告事件についての審理を始めます。	The trial is now in session regarding the charge against you of _____ .	现在开始审理对被告人的○○被告案件。	Tòa bắt đầu xử những cáo buộc đối với bị cáo về vụ án....... 
handbook-046	起訴状は受け取っていますね。	Have you already received a copy of the charging sheet?	你收到起诉书了吧。	Bị cáo đã nhận bản truy tố này rồi phải không?. 
handbook-047	まず起訴状が朗読されますから、被告人は聞いていてください。	Please listen as the prosecutor reads aloud the charging sheet. 	首先宣读起诉书，被告人请听着。	Đầu tiên, bị cáo hãy lắng nghe kiểm sát viên đọc bản truy tố. 
handbook-048	検察官、起訴状を朗読してください。	Prosecutor, will you please read the charging sheet?	检察官，请宣读起诉书。	Xin mời kiểm sát viên đọc bản truy tó. 
handbook-049	これから、今朗読された事実についての審理を行いますが、審理に先立ち被告人に注意しておきます。	The court will now hear this case based on the charge against you which has been read by the prosecutor. Be advised of the following points.	现在开始就刚才宣读的事实进行审理，在审理之前请被告人注意如下事项。	Từ giờ trở đi, tòa sẽ xử vụ án này dựa trên bản truy tố mà kiểm sát viên vừa đọc. Trước khi bắt đầu, tòa xin nhắc bị cáo một vài điểm. 
handbook-050	被告人には黙秘権があります。	You have the right to remain silent.	被告人有沉默权。	Bị cáo có quyền giữ im lặng. 
handbook-051	したがって、被告人は答えたくない質問に対しては答えを拒むことができますし、また、始めから終わりまで黙っていることもできます。	You may refuse to answer some of the questions or you may remain silent throughout the trial. 	因此，被告人对于不愿意回答的问题可以拒绝回答，也可以自始至终保持沉默。	Bị cáo có thể từ chối trả lời đối với câu hỏi không muốn trả lời, hoặc, bị cáo có thể im lặng từ đầu đến cuối.
handbook-052	もちろん質問に対して答えたいときには答えてよいですが、被告人がこの法廷で述べたことは、被告人に有利不利を問わず証拠として用いられることがありますから、そのことを念頭に置いて答えるようにしてください。	Of course, you may choose to answer any question. However, any statement made by you in this court may be used as evidence either for or against you. Therefore, answer questions keeping this rule in mind. 	当然愿意回答问题时可以回答，只是被告人在这个法庭上所述的内容，无论对被告人有利或不利，都有可能作为证据被采用，所以回答时请留意这一点。	Lẽ dĩ nhiên, khi muốn trả lời câu hỏi nào thì bị cáo có thể trả lời, nhưng bất cứ phát ngôn nào của bị cáo tại phiên tòa này đều là chứng cớ có thể có lợi hay bất lợi cho bị cáo. Vì thế, hãy ghi nhớ những điều này khi trả lời câu hỏi. 
handbook-053	検察官が今読んだ事実について何か述べることはありますか。	Do you have anything to say in response to the facts just read by the prosecutor? 	对于刚才检察官宣读的事实你有什么要陈述的吗?	Bị cáo có điều gì muốn phát biểu với bản truy tố mà kiểm sát viên vừa đọc không? 
handbook-054	事実はそのとおり間違いありません。	The facts are true in their entirety. 	事实没有错。	Những sự việc đó là hoàn toàn đúng. 
handbook-055	事実は身に覚えがありません。	I have nothing to do with these facts. 	这不是事实。	Tôi không hề làm việc đó. 
handbook-056	酒を飲んでいたので、よく覚えていません。	I was intoxicated at the time, and do not have a clear recollection of what happened. 	因为喝了酒，记不清楚了。	Khi đó tôi uống rượu nên không nhớ rõ việc xảy ra. 
handbook-057	物を取ったのは確かですが、人は殺していません。	I did, in fact, take the items in question, but I killed no one. 	我确实偷了别人的东西，但我没有杀人。	Tôi có lấy cắp vật đó nhưng không giết người. 
handbook-058	被害者を刺したのは確かですが、殺すつもりはありませんでした。	I did, in fact, stab the victim, but I did not intend to kill him/her. 	我确实刺了受害人，但我没有想杀他〈她〉。	Tôi có đâm nạn nhân nhưng không có ý định giết người.
handbook-059	被告人の陳述のとおりです。	The statement given by the defendant is entirely true. 	和被告人的陈述一样。	Đúng như lời bị cáo vừa trình bày. 
handbook-060	被告人には、窃盗の故意がないので、無罪を主張します。	The defendant is not guilty on the grounds that he/she did not have the intention to steal. 	因为被告人没有盗窃的故意，所以我认为是无罪的。	Chúng tôi chủ trương bị cáo vô tội vì bị cáo không cố ý ăn cắp. 
handbook-061	被告人には、窃盗の実行の着手がありませんので、無罪を主張します。	The defendant is not guilty on the grounds that he/she had not even commenced the commission of the crime of theft so charged. 	因为被告人没有着手实行盗窃行为，所以我认为是无罪的。	Chúng tôi chủ trương bị cáo vô tội vì bị cáo không có hành động ăn cắp như bị buộc tội. 
handbook-062	被告人の行為は正当防衛に当たるので、無罪を主張します。	The defendant is not guilty on the grounds of self-defense. 	因为被告人的行为属于正当防卫，所以我认为是无罪的。	Chúng tôi chủ trương bị cáo vô tội vì đó là hành động tự vệ chính đáng. 
handbook-063	それでは検察官、冒頭陳述を行ってください。	Prosecutor, please make your opening statement.	下面请检察官进行开头陈述。	Xin mời kiểm sát viên đọc tuyên bố mở đầu. 
handbook-064	検察官が証拠によって証明しようとする事実を述べますので、被告人は聞いていてください。	Defendant, please listen to the prosecutor's opening statement in which the prosecution will outline the facts they intend to prove with evidence. 	检察官将陈述根据证据想要证明的事实，被告人请听着。	Xin bị cáo hãy lắng nghe những hành vi mà kiểm sát viên dự định chứng minh dựa trên chứng cớ. 
handbook-065	検察官が証拠により証明しようとする事実は次のとおりであります。	The facts which we intend to prove with evidence are as follows: 	检察官想根据证据证明的事实如下。	Những hành vi mà chúng tôi dự định chứng minh như sau. 
handbook-066	被告人は....。	The defendant.... 	被告人......	Bị cáo đã..... 
handbook-067	続いて、弁護人の冒頭陳述をどうぞ。	Defense counsel, please make your opening statement. 	接下来，请辩护人进行开头陈述。	Xin mời luật sư đọc lời tuyên bố mở đầu. 
handbook-068	それでは、弁護人の冒頭陳述を申し上げます。	I will make an opening statement as the defense counsel.	那么我开始进行开头陈述。	Tôi xin được trình bày lời tuyên bố mở đầu của luật sư.
handbook-069	被告人は、本件犯行を行っておらず、無罪です。	The defendant did not commit the crime as charged, so he/she is not guilty.	被告人并未实施本案的罪行，是无罪的。	Bị cáo vô tội vì không gây hành động phạm tội vụ án này.
handbook-070	すなわち....。	That is, ..... 	也就是说......。	Và, .......
handbook-071	次に、公判前整理手続の結果を明らかにする手続を行います。	The court moves on to the procedure to disclose the results of the pretrial conference procedure.	下面，出示公判前整理手续的结果。	Sau đây, tòa sẽ tiến hành thủ tục làm rõ ràng kết quả thủ tục chuẩn bị hồ sơ xét xử. 
handbook-072	この公判に先立ち、裁判所、検察官、弁護人の3者によって行われた公判前整理手続の結果、本件における主たる争点は、次の2点であることが明らかになっています。	Through the pretrial conference procedure performed by the court, the public prosecutor, and the defense counsel, the following two points at issue have been clarified.	在公判前，法院，检察官，辩护人三方共同实施公判前整理手续后，明确了本案的主要争议点为以下两点。	Đầu tiên, tại phiên tòa này, có 2 điểm tranh luận chính của vụ án này dựa theo kết quả thủ tục chuẩn bị hồ sơ xét xử đã được thực thi bởi tòa án, kiểm sát viên, luật sư. 
handbook-073	まず第1点は....。	The first point is....	第1点是......。	Điểm thứ nhất là ....... 
handbook-074	以上の事実を立証するため、証拠等関係カード(甲)(乙)記載の各証拠の取調べを請求します。	To prove these facts, I request the court to admit the evidence listed in the Evidence Card(s) (A, B). 	为了证实上述事实，请求调查有关(甲)(乙)证据卡上所记载的各项证据。	Để xác minh những hành vi trên, xin tòa cho kiểm tra các chứng cớ ghi trong các bảng chứng cớ A và B. 
handbook-075	弁護人、御意見はいかがですか。	Defense counsel, do you have any objections? 	辩护人对此有什么意见吗?	Ý kiến của luật sư thế nào? 
handbook-076	すべて同意します。	No, your honor, we consent to all of the evidence as admissible. 	全部同意。	Chúng tôi hoàn toàn đồng ý. 
handbook-077	甲3号証と甲4号証の目撃者Aの検察官と司法警察員に対する供述調書については不同意です。	Yes, your honor. We do not consent to the admission of Exhibit A3 and A4, the written statements of Eyewitness A to the prosecutor and to a judicial police officer. We consent to the rest of the evidence as requested. 	对于甲3号和4号书证的目击者A对检察官对司法警察员所作的供述笔录，不同意;	Chúng tôi không đồng ý với chứng cớ A3 và A4, tức biên bản ghi lời khai của người mục kích sự việc A với kiểm sát viên và với nhân viên cảnh sát tư pháp. Còn chúng tôi đồng ý với các chứng cớ còn lại. 
handbook-078	その余の各証拠は同意します。	We have no objections to the articles of evidence being admissible. 	其他证据同意。	Chúng tôi không phản đối gì về những chứng cớ hiện vật. 
handbook-079	証拠物については異議ありません。	We question the voluntariness of Exhibit B3, the written statement of the defendant to a judicial police officer, because it was recorded under threat by the officer. 	对于物证没有异议。	Chúng tôi nghi ngờ tính tự nguyện của chứng cớ B3, tức biên bản ghi lời khai của bị cáo với nhân viên cảnh sát tư pháp, vì lời khai này được thực hiện dưới sự đe dọa của nhân viên sĩ quan tư pháp đó. 
handbook-080	乙3号証の被告人の司法警察員に対する供述調書は、取調べ警察官の脅迫により録取されたものであり、任意性を争います。	We question the credibility of Exhibit B5, the written statement of the defendant to a judicial police officer, because the defendant was attempting at that time to protect his/her accomplice. 	乙3号书证的被告人对司法警察员所作的供述笔录，是在审讯警察的威胁下而作成的，辩护人对于其供述的任意性有争议。	Chúng tôi nghi ngờ mức độ tin cậy của chứng cớ B5, tức biên bản ghi lời khai của bị cáo với nhân viên cảnh sát tư pháp, bởi đó là lời khai lúc bị cáo có ý định bao che cho tòng phạm. 
handbook-081	乙5号証の被告人の司法警察員に対する供述調書は、供述録取に際し、共犯者をかばって供述したものであるので、その調書には信用性がありません。	We are still in the process of evaluating Exhibit B9, the written statement of the defendant to a prosecutor.	乙5号书证的被告人对司法警察员所作的供述笔录，因在作供述笔录时，被告人作了庇护同犯者的供述，所以此笔录是没有信用性的。	Chúng tôi đang xem xét lại chứng cớ B9, tức biên bản ghi lời khai của bị cáo với kiểm sát viên.
handbook-082	乙9号証の被告人の検察官に対する供述調書は、検討中のため意見を留保します。	We would like to reserve comment at this time. 	乙9号书证的被告人对检察官所作的供述笔录，因在考虑中，现在保留意见。	Vì thế xin được bảo lưu ý kiến đối với chứng cớ này. 
handbook-083	それでは、同意のあった各証拠は採用し、取り調べることにします。	I hereby admit the articles of evidence that the defense has consented to as evidence and rule that they now be examined.	那么，采用已同意的各项证据并进行审理。	Tòa chấp nhận dùng các chứng cớ mà luật sư đã đồng ý và tiến hành việc kiểm tra chứng cớ. 
handbook-084	検察官、書証の要旨を告知し、証拠物を示してください。	Prosecutor, will you please summarize the documentary evidence and show the exhibit(s), which have been admitted? 	检察官，请告知书证的概要，并出示物证。	Xin kiểm sát viên tóm tắt các chứng cớ văn bản và trưng bày chứng cớ hiện vật. 
handbook-085	検察官が書証の要旨を告げますので、被告人は聞いていてください。	Defendant, listen to the prosecutor as he/she reads the summary of the documentary evidence. 	检察官将要告知书证的概要，被告人请听着。	Xin bị cáo hãy lắng nghe kiểm sát viên đọc bản tóm tắt các chứng cớ văn bản. 
handbook-086	甲1号証は、 司法警察員作成の捜査報告書です。被告人の出入国状況を示したもので、「被告人は、平成○○年10月14日、Y国から、短期在留資格（90日）の条件で来日した。在留資格は、平成○○年1月12日までとなっているが、在留期間の更新は受けていない。」という内容です。	Exhibit A1 is an investigative report filed by judicial police officers. This report gives the present immigration status of the defendant. Quote, "The defendant entered Japan from Country Y on October 14, XXXX with the status of residence as a temporary visitor allowed to stay for a period of 90 days. He was allowed to stay in Japan until January 12, XXXX. So far no extension of the period has been granted," unquote. 	甲1号书证是司法警察员作成的搜查报告书，说明了被告人的出入境情况。内容是“被告人于○○年10月14日从Y国以短期居留资格(90天)来到日本，其居留资格的期限到○○年1月12日为止，而以后并没有办理延长居留期限的手续。	Chứng cớ A1 là bản báo cáo điều tra của nhân viên cảnh sát tư pháp về tình trạng xuất nhập quốc của bị cáo có nội dung: “Bị cáo đã từ quốc gia Y, nhập cảnh Nhật Bản ngày 14 tháng 10 năm...... với tư cách cư trú ngắn hạn (90 ngày), bị cáo được phép ở Nhật Bản cho đến ngày 12 tháng 1 năm......, nhưng cho đến lúc bị bắt bị cáo đã không gia hạn thêm tư cách lưu trú” 
handbook-087	甲2号証は、被告人の婚約者甲野花子の司法警察員に対する供述調書です。内容は被告人の生活状況です。	Exhibit A2 is a written statement of the defendant's fiancée, Hanako Kouno, to judicial police officers. It relates information about the defendant's living conditions and lifestyle. 	甲2号书证是被告人的未婚妻甲野花子对司法警察员所作的供述笔录。内容是被告人的生活情况。	Chứng cớ A2 là lời khai của hôn thê bị cáo là cô Kouno Hanako với nhân viên cảnh sát tư pháp có nội dung nói về tình trạng sinh sống của bị cáo. 
handbook-088	乙1号証は、被告人の司法警察員に対する供述調書です。被告人の身上、 経歴等を述べたものです。	Exhibit B1 is a written statement of the defendant to judicial police officers. It relates information about his family background, personal history, etc. 	乙1号书证是被告人对司法警察员所作的供述笔录。讲述了被告人的身世经历等。	Chứng cớ B1 là lời khai của bị cáo với nhân viên cảnh sát tư pháp những thông tin về hoàn cảnh gia đình, lý lịch bản thân. 
handbook-089	乙2号証、乙3号証は、被告人の司法警察員に対する供述調書であり、乙4号証は、被告人の検察官に対する供述調書です。	Exhibit B2 and B3 are also written statements of the defendant to judicial police officers; Exhibit B4 is a written statement of the defendant to a prosecutor. 	乙2号，乙3号书证是被告人对司法警察员所作的供述笔录，乙4号书证是被告人对检察官所作的供述笔录。	Cả hai chứng cớ B2 và B3 đều là lời khai của bị cáo với nhân viên cảnh sát tư pháp. Chứng cớ B4 là lời khai của bị cáo với kiểm sát viên. 
handbook-090	乙2号証から乙4号証は、いずれも被告人が本件の犯行状況について述べたものですので、乙4号証でまとめて要旨を告げます。	Exhibit B2, B3 and B4 are the defendant's written statements on his criminal involvement in the present case.	从乙2号书证到乙4号书证都是被告人对本案件的犯罪情况进行的供述，下面归纳并告知乙4号书证的概要。	Từ chứng cớ B2 đến B4 là lời khai của bị cáo về hành vi phạm tội liên quan đến vụ án này.
handbook-091	私は、日本で働いてお金を稼ぐために、平成○○年10月14日、Y国から、日本に来ました。	To summarize these statements, I quote from Exhibit B4, "I came to Japan from Country Y on October 14, XXXX for the purpose of finding employment and earning money here.	“我为了在日本打工赚钱，于○○年10月14日从Y国来到日本。	Xin được tóm tắt lời khai của bị cáo trích dẫn từ chứng cớ B4: “Với mục đích kiếm tiền, tôi đã từ quốc gia Y, nhập cảnh Nhật Bản ngày 14 tháng 10 năm.........
handbook-092	日本では、最初に鈴木建設という会社で働き、次に田中土建という会社で働きました。	I was first employed at Suzuki Construction Company, then I worked at Tanaka Construction Company.	在日本最初是在一个叫铃木建设的公司做工，后来换到名为田中土建的公司做工。	Đầu tiên, tôi làm việc tại công ty xây dựng Suzuki, sau đó chuyển sang làm việc ở công ty xây dựng Tanaka.
handbook-093	在留期間が平成○○年1月12日までということは分かっていましたが、お金を稼ぎたいのでそのまま日本にいました。	I knew that I was allowed to stay in Japan just until January 12, XXXX, but I chose to remain in Japan for the purpose of earning money." 	我的居留期限到○○年1月12日为止，我是知道的，但为了赚钱我还是就这样留在了日本。”	Tôi biết là tôi chỉ được phép lưu trú ở Nhật Bản cho đến ngày 12 tháng 1 năm.........., nhưng vì muốn kiếm tiền, nên tôi đã ở lại”. 
handbook-094	乙5号証は、被告人の身上関係についての捜査報告書です。	Exhibit B5 is an investigative report concerning the defendant's family background. 	乙5号书证是有关被告人身世方面的搜查报告书。	Chứng cớ B5 là bản báo cáo điều tra liên quan đến lý lịch gia đình bị cáo. 
handbook-095	検察官、不同意とされた証拠についてはどうされますか。	Prosecutor, how will you proceed concerning the evidence to which the defense did not consent? 	检察官，对于不同意的证据有何打算呢?	Kiểm sát viên định thế nào đối với những chứng cớ mà luật sư không đồng ý. 
handbook-096	撤回して、証人Aを申請します。	I withdraw the evidence, your honor, and now request to examine A as a witness. 	撤回，但申请证人A出庭作证。	Xin rút lại chứng cớ đó và đề nghị tòa cho phép chất vấn nhân chứng A.
handbook-097	弁護人、御意見は。	Defense Counsel, do you have any objections? 	辩护人的意见呢?	Ý kiến luật sư thế nào? 
