id	source_japanese	azure_english	azure_chinese	azure_vietnamese
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？	What other grounds are there for denying the existence of accomplices?	还有什么其他理由可以否认共犯的存在呢？	Có những cơ sở nào khác để phủ nhận sự tồn tại của đồng phạm?
question-20	証拠が正当に収集されたことを確認していますか？	Are you sure that the evidence was duly collected?	您确定证据已及时收集吗？	Bạn có chắc chắn rằng bằng chứng đã được thu thập hợp lệ không?
question-21	証拠を見れば、明らかに一致しますよね？	If you look at the evidence, it clearly matches, right?	如果你看一下证据，它显然是匹配的，对吧？	Nếu bạn nhìn vào bằng chứng, nó rõ ràng phù hợp, phải không?
question-22	証拠資料は全て揃っているのですよね？	You have all the evidence, right?	你有所有的证据，对吧？	Bạn có tất cả các bằng chứng, phải không?
question-23	証拠品があなたのものであると確認したのではないですか？	Didn't you confirm that the evidence belongs to you?	你不是确认了证据是属于你的吗？	Bạn không xác nhận rằng bằng chứng thuộc về bạn sao?
question-24	証人の供述には矛盾がありますよね？	There are inconsistencies in the statements of witnesses, right?	证人的陈述有不一致的地方，对吧？	Có những mâu thuẫn trong lời khai của các nhân chứng, phải không?
question-25	証人は以前にも同様の証言をしましたよね？	Witnesses have given similar testimony before, right?	证人以前也作过类似的证词，对吧？	Các nhân chứng đã đưa ra lời khai tương tự trước đây, phải không?
question-26	証人は当日の出来事を全て覚えているのですね？	The witness remembers everything that happened that day, right?	证人记得那天发生的一切，对吧？	Nhân chứng nhớ tất cả những gì đã xảy ra ngày hôm đó, phải không?
question-27	真実を隠す理由が他にあるわけではないですよね？	There's no other reason to hide the truth, right?	没有其他理由隐藏真相，对吧？	Không có lý do nào khác để che giấu sự thật, phải không?
question-28	真実を知っているのに、どうしてそれを隠すのでしょう？	If you know the truth, why hide it?	如果你知道真相，为什么要隐瞒呢？	Nếu bạn biết sự thật, tại sao phải che giấu nó?
question-29	誠実な人が、これほど多くの矛盾した証言をするでしょうか？	How could an honest person give so many contradictory testimonies?	一个诚实的人怎么能给出这么多相互矛盾的证词呢？	Làm sao một người trung thực có thể đưa ra nhiều lời chứng mâu thuẫn như vậy?
question-30	他にも疑問を持つべき点があるのではないですか？	Aren't there other questions you should have?	难道没有其他问题你应该有吗？	Không có câu hỏi nào khác mà bạn nên có?
question-31	誰が見ても不自然な流れですよね？	It's an unnatural flow for everyone, isn't it?	这对每个人来说都是一种不自然的流动，不是吗？	Đó là một dòng chảy không tự nhiên đối với tất cả mọi người, phải không?
question-32	誰しも誤解や誤認をすることがありますよね？	We all have misunderstandings and misidentifications, right?	我们都有误解和错误识别，对吧？	Tất cả chúng ta đều có những hiểu lầm và nhận dạng sai, phải không?
question-33	適正な手続きを踏まなければならないのは当然ですよね？	It's only natural that you have to follow the due process, right?	您必须遵循正当程序是很自然的，对吧？	Việc bạn phải tuân theo quy trình pháp lý là điều tự nhiên, phải không?
question-34	犯行現場にいたことを否定するには、これ以上の証拠が本当に必要でしょうか？	Do you really need more evidence to deny that you were at the scene of the crime?	你真的需要更多的证据来否认你在犯罪现场吗？	Bạn có thực sự cần thêm bằng chứng để phủ nhận rằng bạn đã có mặt tại hiện trường vụ án không?
question-35	被害者と被告人が口論していた事実は否定できないのではないですか？	Isn't it undeniable that the victim and the accused were arguing?	受害者和被告在争论不是不可否认吗？	Chẳng phải không thể phủ nhận rằng nạn nhân và bị cáo đang tranh cãi sao?
question-36	被告人がその場にいなかったという主張は、これほどの証拠を前にして信じられるでしょうか？	Can the claim that the accused was not present be credible in the face of so much evidence?	面对如此多的证据，被告不在场的说法是否可信？	Liệu tuyên bố rằng bị cáo không có mặt có thể đáng tin cậy khi đối mặt với quá nhiều bằng chứng?
question-37	被告人が現場にいたことは間違いないのですか？	Are you sure that the accused was at the scene?	你确定被告在现场吗？	Bạn có chắc chắn rằng bị cáo đã có mặt tại hiện trường không?
question-38	被告人が犯行現場にいたことを証明する証拠があるのではないですか？	Isn't there evidence to prove that the accused was at the scene of the crime?	难道没有证据证明被告在犯罪现场吗？	Không có bằng chứng nào để chứng minh rằng bị cáo đã có mặt tại hiện trường vụ án?
question-39	被告人のアリバイが成立しないということは明らかではないですか？	Isn't it clear that the defendant's alibi does not hold?	被告的不在场证明不是很清楚吗？	Không rõ ràng là bằng chứng ngoại phạm của bị cáo không hợp lý sao?
question-40	被告人の証言は信じがたいですよね？	The testimony of the accused is hard to believe, isn't it?	被告的证词很难相信，不是吗？	Lời khai của bị cáo thật khó tin, phải không?
question-41	被告人の人権は、この場でどうして尊重されないのでしょうか？	Why are the human rights of the accused not respected here?	为什么被告的人权在这里得不到尊重？	Tại sao nhân quyền của bị cáo không được tôn trọng ở đây?
question-42	被告人の陳述は一貫していますよね？	The statements of the accused are consistent, right?	被告的陈述是一致的，对吧？	Lời khai của bị cáo là nhất quán, phải không?
question-43	被告人はその現場にいなかったのではありませんか？	Wasn't the accused at the scene?	被告不是在现场吗？	Không phải bị cáo đã có mặt tại hiện trường sao?
question-44	被告人はその時刻に現場付近にいたと認めたのではないですか？	Didn't the defendant admit that he was near the scene at that time?	被告不是承认他当时在现场附近吗？	Bị cáo không thừa nhận rằng anh ta đang ở gần hiện trường vào thời điểm đó sao?
question-45	被告人にはアリバイがないのですか？	Does the accused have no alibi?	被告没有不在场证明吗？	Bị cáo không có bằng chứng ngoại phạm?
question-46	被告人はその日、午後8時には家に帰ったと述べているのですね？	The defendant stated that he was home by 8 p.m. that day?	被告说他当天晚上 8 点到家了？	Bị cáo nói rằng anh ta đã về nhà lúc 8 giờ tối ngày hôm đó?
question-47	弁護士が提出した資料は全て確認済みではないですか？	Have you checked all the materials submitted by your lawyer?	您是否检查了律师提交的所有材料？	Bạn đã kiểm tra tất cả các tài liệu do luật sư của bạn gửi chưa?
question-48	法廷での宣誓を理解していますね？	You understand the oath in court, don't you?	你明白法庭上的誓言，不是吗？	Bạn hiểu lời thề trước tòa, phải không?
question-49	目撃者の記憶が曖昧であることを、誰が否定できるのでしょうか？	Who can deny that the memory of the witness is fuzzy?	谁能否认证人的记忆是模糊的呢？	Ai có thể phủ nhận rằng ký ức của nhân chứng là mờ nhạt?
question-50	目撃者の証言が矛盾しているとは思いませんか？	Don't you think that the testimony of eyewitnesses is contradictory?	你不觉得目击者的证词是矛盾的吗？	Bạn không nghĩ rằng lời khai của các nhân chứng là mâu thuẫn sao?
