id	source_japanese	llama_english	llama_chinese	llama_vietnamese
handbook-013	また、資力申告書の資力の合計額が50万円以上の場合には、あらかじめ、○○弁護士会に弁護人の選任の申出をしていなければなりません。	Furthermore, if the total amount of assets in the affidavit of assets exceeds ¥500,000, you must file a request for the court-appointed attorney with the ○○ Bar Association in advance.	此外，在資產申報書上所填寫的資產總額超過50萬日元的情況下，您必須事先向○○律師協會提出律師的任命申請。	Ngoài ra, nếu tổng số tiền trong tờ khai tài sản của bị cáo vượt quá 500.000 yên thì phải thực hiện hành động yêu cầu chỉ định luật sư cho hội luật sư ○○ trước.
handbook-014	あなたに、罪を犯したと疑うに足りる相当な理由があり、かつ、住居が不定であるか、証拠を隠滅したり逃亡したりすることを疑うに足りる相当な理由がある場合には、勾留されることになるかもしれません。	You may be detained if there is a reasonable ground to suspect that you have committed an offence and if there is a reasonable ground to suspect that you are likely to abscond or destroy evidence, as you have no fixed abode.	假如对你犯罪有相当的间接证据，且有合理理由怀疑你没有固定的居所，或者会隐匿证据或者逃跑，则可能会被取保候审。	Nếu bạn có lý do nghi ngờ đáng kể về việc phạm tội, và cũng có lý do nghi ngờ đáng kể về việc bạn đang ở bên ngoài nhà hoặc đang cố gắng tiêu hủy chứng cứ hoặc bỏ trốn, thì bạn có thể bị giam giữ.
handbook-015	勾留される期間は、原則として10日間です。	The detention period is, in principle, 10 days.	拘留的时限，原则上不超过10日。	Thời gian giam giữ thường là 10 ngày
handbook-016	しかし、場合によっては、10日たつ前に釈放されることもありますし、更に10日以内の日数勾留が延長されることもあります。	However, depending on the circumstances, the detainee may be released before the 10-day period is up, or the detention may be extended for an additional period of less than 10 days.	然而，在实际情况中，也可能比10天早释放，也可能在10天以内再次延长拘留。	Tuy nhiên, tùy từng trường hợp, họ có thể được thả ra trước 10 ngày hoặc thời gian giam giữ có thể được gia hạn thêm một số ngày trong khoảng 10 ngày.
handbook-017	それでは、勾留請求の理由となっている犯罪事実を読むのでよく聞いてください。	Now, I will read out the alleged facts of the crime that constitute the grounds for the detention request, so please listen carefully.	请仔细聆听我们宣读对于您的拘留理由的相关犯罪事实。	Tôi sẽ đọc sự kiện phạm tội làm cơ sở cho việc yêu cầu tạm giam, xin nghe kỹ.
handbook-018	その後で、これに対して言いたいことがあったら述べてください。	If you have any comments or concerns regarding this, please feel free to express them at this time.	之后的话，如果有想说的话，请尽管说出来。	Sau đó, nếu có điều gì muốn nói thì xin hãy nói.
handbook-019	被疑者は、平成○○年10月10日午後6時50分ころ、○○市丸山町1番1号所在の株式会社甲百貨店(代表取締役甲野太郎)本店3階貴金属売場において、同社所有のダイヤモンド指輪1個(時価300万円相当)を自己の背広の内側ポケットに入れて窃取したものである。	The defendant stole a diamond ring (valued at 3 million yen) belonging to Kabushiki Kaisha Kō Hyakkaten (Representative Director: Kōnō Tarō) on October 10, around 6:50 p.m. in 1990 at the third-floor precious metal sales corner of Kō Hyakkaten main store located at 1 Maruyama-chō, City.	嫌疑人于平成○○年10月10日下午6时50分左右，在位于○○市丸山町1番1号的株式会社甲百货店（代表董事甲野太郎）本店3楼贵金属销售区，盗取了该公司所有价值相当于300万元的1枚钻石戒指，将其放入自己的风衣内侧口袋中。	Bị can đã thực hiện hành vi như sau: Vào khoảng 18h50 ngày 10 tháng 10 năm 平成○○, bị can đã lấy trộm 1 chiếc nhẫn kim cương (có giá trị tương đương 300 triệu yên) thuộc sở hữu của Công ty Cổ phần A (do ông Α野太郎 làm chủ tịch kiêm tổng giám đốc) tại cửa hàng kim loại quý trên tầng 3 của cửa hàng bách hóa chính của công ty tại số 1-1, phường Maruyama, thành phố○○, và cất giấu chiếc nhẫn đó vào túi trong áo vest của mình.
handbook-021	身に覚えがありません。	I have no recollection of it / I have no memory of that.	我对此事毫无印象。	Tôi không nhớ gì cả
handbook-022	検察庁で述べたとおりです。	As I stated in the prosecutor's office.	如检察官所述。	Như đã trình bày tại Viện Kiểm sát.
handbook-023	あなたが勾留されることになった場合には、裁判所から弁護人あてにその旨を通知します。	In the event that you are remanded in custody, the court will notify your attorney of this decision.	译文：如您被羁押，法院将通知您的律师。	Nếu bạn bị tạm giữ thì tòa án sẽ gửi thông báo đến luật sư của bạn.
handbook-024	弁護人がない場合には、国内にいるあなたの配偶者、親兄弟等のうち、あなたが指定する1人に通知します。	If you do not have a lawyer, a notification will be sent to one person designated by you, such as a spouse, parent or sibling living in the country.	如果您没有律师，您可以指定国内的配偶者、父母、兄弟姐妹等亲属中的1人接受通知。	Nếu không có luật sư, thì sẽ thông báo cho người thân trong nước mà bạn chỉ định trong số vợ chồng, cha mẹ, anh chị em của bạn.
handbook-025	また、弁護人もそのような家族もない場合には、雇主とか知人などのうちからあなたが指定する1人に通知します。	If you do not have such a family member, your attorney or one person you designate from among your employer or acquaintances will be notified.	如果没有辩护人或者没有这种家庭成员，检察官就向雇主、熟人等中你指定的一人通知。	Ngoài ra, nếu người bào chữa cũng không có người thân, thì tòa án sẽ thông báo cho một người được bạn chỉ định, như chủ lao động hoặc bạn bè.
handbook-026	通知先の氏名、住居、電話番号を述べてください。	Could you please provide the name, address and phone number of the notified party?	請告诉我收通知人姓名、住址和电话号码。	Xin quý vị cho biết tên, nơi cư trú và số điện thoại của người được thông báo.
handbook-027	日本にいる兄に連絡してください。	Please contact your brother in Japan.	请联系住在日本的哥哥。	Anh chị hãy liên lạc với anh của tôi đang ở Nhật Bản.
handbook-030	私と同じところに住んでいます。	She lives in the same neighborhood as me.	我和他住在同一个地方。	Tôi cũng sống ở cùng nơi với bạn.
handbook-031	あなたは、○○国国民として、領事関係に関するウィーン条約第36条第1項(b)の規定により、勾留の事実を○○国領事官に通報することを要求しますか。	As a national of ○○, do you wish to be informed of your right to have your detention notified to the consular post of ○○ under Article 36, paragraph 1 (b) of the Vienna Convention on Consular Relations?	你作为●●国公民，根据领事关系维也纳公约第三十六条第一款（b）规定，是否要求通知●●国领事官你的拘留事实。	Bạn có muốn yêu cầu người đại diện lãnh sự của nước ○○ thông báo về việc giam giữ của bạn theo quy định tại Điều 36, khoản 1, điểm b Công ước Viên về quan hệ lãnh sự không?
handbook-032	通報することを要求します。<要求しません。>	"I demand to be informed/notify you of this." OR "I do/do not request to be notified."	要求报告的情况。/不要求报告的情况。	Tôi yêu cầu anh ta phải báo cáo. <Tôi không yêu cầu anh ta phải báo cáo.>
handbook-033	なお、領事機関に対しては、我が国の法令に反しない限り、信書を発することができます。	Consular institutions may deliver documents to the extent consistent with the laws of our country.	領事館对待日本的法律没有抵触情绪，也是允许的。	Cơ quan lãnh sự có thể cấp giấy tờ viện trợ pháp lý ngoại giao, ngoại trừ việc vi phạm các quy định trong pháp luật của quốc gia tôi.
handbook-034	あなたが述べたことを調書に書きましたので、それを読み上げます。	I will now read aloud your previous statement as recorded.	已经将你所说的话记录在案卷上，所以现在会读出来，供参考。	Tôi đã ghi lại những gì anh vừa nói vào biên bản, tôi sẽ đọc lại cho anh nghe.
handbook-035	間違いなければここに署名して、左人指し指で指印してください。	If everything is correct, please sign here and place your fingerprint with your left index finger.	若无错误，请在此签名并用左手食指指印。	Nếu đúng, xin ký vào đây và lăn ngón tay trỏ trái để làm dấu vân tay.
handbook-037	良心に従って誠実に通訳をすることを誓います。	I hereby solemnly swear to provide honest and accurate interpretation, to the best of my ability.	我宣誓，我将本着良心，忠实地履行我的翻译职责。	Tôi xin thề sẽ trung thực và tuân theo lương tâm khi phiên dịch.
handbook-038	被告人は前に出てください。	The defendant, please step forward.	请被告人站在堂上。	Bị cáo đến trước vành móng ngựa.
handbook-039	<被告人は起立してください。>	The defendant will please stand.	请被告人站起来。	Bị can hãy đứng dậy.
handbook-045	それでは、これから被告人に対する○○被告事件についての審理を始めます。	We will now begin the trial of the accused in the case of ○○ vs ○○.	现在，我们将開始对被告人○○的审理程序。	Vậy bây giờ, chúng ta bắt đầu xét xử vụ án của thân thủ ○○.
handbook-046	起訴状は受け取っていますね。	Have you received a copy of the indictment?	我方已经接到了起诉书。	Tôi đã nhận được cáo trạng rồi.
handbook-047	まず起訴状が朗読されますから、被告人は聞いていてください。	Please listen as the indictment will be read aloud.	現在会 开始朗读起诉书，请被告注意聆听。	Trước tiên là việc đọc to cáo trạng, nên bị cáo hãy nghe cho kỹ.
handbook-048	検察官、起訴状を朗読してください。	Please read out the indictment, prosecutor.	审判长、请检察官朗读起诉书。	Viện kiểm sát, hãy đọc cáo trạng lên!
handbook-049	これから、今朗読された事実についての審理を行いますが、審理に先立ち被告人に注意しておきます。	The trial on the details that have just been read out will now proceed, but before that the defendant is hereby advised of the following.	接下来我们将就刚才宣读的事实进行审理，在审理开始前，我要向被告提醒。	Từ nay, phiên tòa sẽ chuyển sang phần xét hỏi về sự thật vừa được đọc lên, nhưng trước khi bắt đầu phần xét hỏi này, Tòa cần lưu ý cho bị cáo một số nội dung.
handbook-051	したがって、被告人は答えたくない質問に対しては答えを拒むことができますし、また、始めから終わりまで黙っていることもできます。	The defendant is thus entitled to refuse to answer to any question he may not wish to answer, and is also entitled to remain silent throughout the entire proceedings.	因此，被告人可以拒绝回答不想回答的问题，也可以始终保持沉默。	Do đó, bị cáo có thể từ chối trả lời các câu hỏi mà họ không muốn trả lời và cũng có thể giữ im lặng từ đầu đến cuối.
handbook-052	もちろん質問に対して答えたいときには答えてよいですが、被告人がこの法廷で述べたことは、被告人に有利不利を問わず証拠として用いられることがありますから、そのことを念頭に置いて答えるようにしてください。	"You may answer any question you wish to, but please be aware that any statements you make in this court may be used as evidence for or against you."	当然，在您愿意回答问题的时候，您可以回答。但是，必须注意的是，被告人在法庭上说出的任何陈述，不论对其是否有利，都可能被用作证据，请您在考虑到这一点的前提下回答。	Tất nhiên, khi muốn trả lời câu hỏi thì bạn có thể trả lời, nhưng những gì bị cáo nói ở Tòa án này có thể được sử dụng làm bằng chứng cho lợi ích hoặc bất lợi của bị cáo, vì vậy vui lòng trả lời bằng cách cân nhắc điều đó.
handbook-053	検察官が今読んだ事実について何か述べることはありますか。	"The prosecutor has just stated the facts. Would you like to make any statement about them?"	您是否对检察官刚刚读过的这些事实有任何要陈述的？	Luật sư có muốn trình bày gì về sự kiện mà VKS vừa đọc không?
handbook-054	事実はそのとおり間違いありません。	The facts are exactly as stated, with no mistake.	事实正是如此，没有错误。	sự thật xác thực không sai.
handbook-055	事実は身に覚えがありません。	I have no recollection of that being true.	事实上，我並没有这方面的記忆。	Sự thật nằm ngoài vòng nhận thức của tôi.
handbook-056	酒を飲んでいたので、よく覚えていません。	I was drinking and don't recall much of it.	我当时喝了酒，不太记得了。	Tôi đang ngà say rượu nên nhớ không rõ lắm.
handbook-057	物を取ったのは確かですが、人は殺していません。	I certainly took the item, but I did not commit the murder.	一定是拿了东西，但是没杀人。	Đúng là mình đã lấy đồ nhưng không phải giết người.
handbook-058	被害者を刺したのは確かですが、殺すつもりはありませんでした。	The victim was certainly stabbed, but there was no intention to kill.	刺伤了受害者是事实，但是沒有打算杀死他。	Đúng là tôi đã đâm bị hại nhưng tôi không có ý định giết người.
handbook-060	被告人には、窃盗の故意がないので、無罪を主張します。	The defendant had no intention of committing theft, and we argue that he is not guilty.	被告人没有盗窃故意，我方主张无罪。	Bị cáo không có ý định trộm cắp nên chúng tôi bảo vệ rằng bị cáo không phạm tội.
handbook-061	被告人には、窃盗の実行の着手がありませんので、無罪を主張します。	The defendant did not initiate the execution of the theft, so I argue that he is not guilty.	本案原告并未实施盗窃行为，我们主张其无罪。	Tôi cho rằng bị cáo không phạm tội trộm cắp nên tuyên trắng án.
handbook-062	被告人の行為は正当防衛に当たるので、無罪を主張します。	The defendant's actions constitute self-defense, therefore I plead not guilty.	被告人的行为属于正当防卫，因此主张无罪。	Hành vi của bị cáo là hành động tự vệ chính đáng, vì vậy chúng tôi yêu cầu宣告 không phạm tội.
handbook-064	検察官が証拠によって証明しようとする事実を述べますので、被告人は聞いていてください。	The prosecutor will outline the facts that will be proven through evidence, so please listen carefully, defendant.	检察官将通过证据证明某些事实，请被告人注意听取。	Viện Kiểm Sát sẽ đưa ra bằng chứng để chứng minh sự thật, vì vậy bị cáo hãy chú ý lắng nghe.
handbook-068	それでは、弁護人の冒頭陳述を申し上げます。	The defense will now present its opening statement.	現在进入辩护方的开庭陈述阶段。	Tôi xin phép đọc lời khai của luật sư biện hộ.
handbook-069	被告人は、本件犯行を行っておらず、無罪です。	The defendant is not guilty of the alleged offense.	被告人没有实施本案所指的行为，是无罪的。	Bị cáo không phạm tội trong vụ này và không có tội.
handbook-071	次に、公判前整理手続の結果を明らかにする手続を行います。	Next, we will proceed to disclose the results of the pre-trial preparation procedures.	接下来宣布审判准备程序的结果。	Tiếp theo, tòa án sẽ thực hiện thủ tục công bố kết quả của thủ tục chuẩn bị xét xử.
handbook-072	この公判に先立ち、裁判所、検察官、弁護人の3者によって行われた公判前整理手続の結果、本件における主たる争点は、次の2点であることが明らかになっています。	Prior to this trial, the results of pre-trial proceedings conducted by the court, the prosecution, and the defense have clarified that the main points of contention in this case are the following two points.	在本庭审之前，法院、检察官、律师三方进行了庭审前准备程序，其结果是，本案的主要争点如下两个方面：	Trước phiên tòa này, kết quả của thủ tục hòa giải trước phiên tòa do tòa án, kiểm sát viên và辯護律 sư三者 thực hiện cho thấy, điểm争点 quan trọng nhất của vụ việc là hai điểm sau đây.
handbook-074	以上の事実を立証するため、証拠等関係カード(甲)(乙)記載の各証拠の取調べを請求します。	For the above facts I request examination of each piece of evidence listed on Exhibit (A) (B) to prove the facts.	为证实上述事实，我方要求对证据卡（甲）（乙）所载的各相关证据进行调查取证。	Để minh chứng cho sự việc trên, tôi yêu cầu tiến hành thẩm tra các bằng chứng được ghi trên các thẻ (甲) và (乙) như đã nêu trong đơn.
handbook-075	弁護人、御意見はいかがですか。	Counsel, what is your position?	法庭：律师，您有什么意见吗？	Luật sư, ý kiến của luật sư thế nào?
handbook-076	すべて同意します。	I agree to everything.	我完全同意。	Tôi hoàn toàn đồng ý với tất cả.
handbook-077	甲3号証と甲4号証の目撃者Aの検察官と司法警察員に対する供述調書については不同意です。	I object to the statements made by Witness A to the prosecution and judicial police as recorded in Exhibits A-3 and A-4.	甲3号证和甲4号证的目击者A对检察官和司法警察员的陈述记录我方不予认可。	Tôi không đồng ý với biên bản lời khai của nhân chứng A về lời khai với công tố viên và cảnh sát tư pháp về tài liệu 甲3号证 và 甲4号证.
handbook-078	その余の各証拠は同意します。	I stipulate to the remainder of this evidence.	其余证据均无异议。	Bằng chứng còn lại đều đồng ý.
handbook-079	証拠物については異議ありません。	I have no objection to the exhibits.	对于证据，我方无异议。	Về các bằng chứng, tôi không có ý kiến phản đối.
handbook-080	乙3号証の被告人の司法警察員に対する供述調書は、取調べ警察官の脅迫により録取されたものであり、任意性を争います。	The statement of the defendant in document Exhibit 3 was recorded under duress by the interrogating police officer and its voluntariness is contested.	乙3号证中的被告人对司法警察员的供述笔录是被勘验警察官胁迫所取得的，应当对其任意性进行争议。	Bằng chứng số 3 của bị can trong bản khai với cảnh sát tư pháp được lập dựa trên sự hối thúc của điều tra viên nên cần phải xem xét tính tự nguyện.
handbook-081	乙5号証の被告人の司法警察員に対する供述調書は、供述録取に際し、共犯者をかばって供述したものであるので、その調書には信用性がありません。	The statement of the defendant in Exhibit E5, taken by a judicial police officer, was made to protect his accomplices and therefore lacks credibility.	乙5号证中的被告人的司法警察员对供述记录表，如供述人取证时隐藏了共犯者，则该记录表没有可信度。	Bản khai báo của bị cáo đối với Công an có trong tài liệu số 5 là bản khai báo che chở đồng phạm, do đó không có tính chân thực.
handbook-082	乙9号証の被告人の検察官に対する供述調書は、検討中のため意見を留保します。	The contents of Exhibit Ottsu-9, the statement of the defendant's confession to the prosecutor, will be reserved for further deliberation.	乙号证的被告人对检察官的供词笔录，考虑中故保留意见。	Bản khai của bị cáo trong biên bản lý lịch số 9 đã được người làm chứng trình bày cho bên công tố vẫn đang được xem xét nên tôi tạm thời không có ý kiến.
handbook-083	それでは、同意のあった各証拠は採用し、取り調べることにします。	It is so stipulated that all exhibits which have been agreed upon are admitted into evidence.	现在，对于各方已经取得一致意见的证据，我们予以采纳并接受质询。	Vậy thì, những chứng cứ đã được thống nhất sẽ được chấp nhận và thẩm vấn.
handbook-084	検察官、書証の要旨を告知し、証拠物を示してください。	The prosecution shall state the substance of the documentary evidence and produce the exhibits.	检察官，请说明书证的要点，并请出示证物。	Viện kiểm sát thông báo tóm tắt nội dung tài liệu và trưng bày chứng cứ vật chứng.
handbook-085	検察官が書証の要旨を告げますので、被告人は聞いていてください。	"The prosecutor will summarize the content of the documentary evidence; please listen carefully, defendant."	检察官将宣读书面证据的摘要，请被告注意听讲。	Viện kiểm sát sẽ tóm tắt nội dung của các bằng chứng, bị cáo hãy chú ý lắng nghe.
handbook-086	甲1号証は、 司法警察員作成の捜査報告書です。被告人の出入国状況を示したもので、「被告人は、平成○○年10月14日、Y国から、短期在留資格（90日）の条件で来日した。在留資格は、平成○○年1月12日までとなっているが、在留期間の更新は受けていない。」という内容です。	Exhibit 1 is the investigation report created by the judicial police officer, which describes the defendant's entry and exit status, stating "The defendant entered Japan from country Y on October 14, in the year of Heisei XX, with a short-term stay qualification (90 days) and the qualification was valid until January 12 in the year of Heisei XX; however, the defendant did not renew their stay period."	甲1号证是司法警察员制作的搜查报告书，详细说明了被告人出入境的情况，其中提到：“被告人于平成○○年10月14日，以短期停留资格（90日）进入日本。停留资格截止于平成○○年1月12日，但未办理停留期间更新手续。”	Giấy chứng cứ số 1 là báo cáo điều tra do cảnh sát tư pháp lập, thể hiện tình hình xuất nhập cảnh của bị cáo, nội dung như sau: "Bị cáo đã nhập cảnh vào nước ta từ nước Y vào ngày 14 tháng 10 năm ○○, với tư cách lưu trú ngắn hạn (90 ngày) và thời gian lưu trú là ngày 12 tháng 1 năm ○○, nhưng không gia hạn.
handbook-087	甲2号証は、被告人の婚約者甲野花子の司法警察員に対する供述調書です。内容は被告人の生活状況です。	Exhibit A2 is the deposition of Kanoko Kono, the defendant's fiancée, made to a judicial police officer, detailing the defendant's living circumstances.	甲2号证是被告人结婚对象甲野花子向司法警察人员的陈述记录，内容为被告人的生活情况。	Bằng chứng số NHỎ là bản khai của người chứng Bạch là người đính hôn của bị cáo 甲野花子 với cảnh sát tư pháp, nội dung là tình hình cuộc sống của bị cáo.
handbook-088	乙1号証は、被告人の司法警察員に対する供述調書です。被告人の身上、 経歴等を述べたものです。	Exhibit B1 is a record of the defendant's statement to the judicial police officer, detailing the defendant's personal history and background.	乙1号证是被告人向司法警察员的供述笔录，是关于被告人的身世、经历等的陈述。	B Zem số 1 là bản cung述 điều tra của bị can đối với điều tra viên tư pháp.
handbook-089	乙2号証、乙3号証は、被告人の司法警察員に対する供述調書であり、乙4号証は、被告人の検察官に対する供述調書です。	Exhibits 2 and 3 are transcripts of the defendant's statements to the judicial police, while Exhibit 4 is a transcript of the defendant's statements to the prosecutor.	乙二号证、乙三号证，是被告人对司法警察人员的供述笔录，乙四号证是被告人对检察官的供述笔录。	Giấy B2, giấy B3 là bản tự khai của bị cáo với điều tra viên, còn giấy B4 là bản tự khai của bị cáo với kiểm sát viên.
handbook-090	乙2号証から乙4号証は、いずれも被告人が本件の犯行状況について述べたものですので、乙4号証でまとめて要旨を告げます。	Exhibits 2 through 4 are all statements made by the defendant regarding the circumstances of the crime in this case, so I will summarize the key points of Exhibit 4.	乙2号证到乙4号证，都是被告人陈述本案的犯罪情况，这里用乙4号证来概括。	Giấy tờ từ BB2 đến BB4 đều là những tài liệu mà bị cáo đã trình bày về tình huống phạm tội trong vụ án này, vì vậy tôi sẽ tóm tắt nội dung chính bằng giấy tờ BB4.
handbook-091	私は、日本で働いてお金を稼ぐために、平成○○年10月14日、Y国から、日本に来ました。	I came to Japan from country Y on October 14, Showa ○○ to work and earn a living in Japan.	我为了在日本工作赚钱，于平成××年10月14日从Y国来到了日本。	Tôi đến Nhật Bản từ Y từ 14/10/Heisei XX để làm việc và kiếm tiền tại Nhật.
handbook-092	日本では、最初に鈴木建設という会社で働き、次に田中土建という会社で働きました。	In Japan, I first worked for a company called Suzuki Construction, and then for a company called Tanaka Civil Engineering.	我曾在日本先后在鈴木建設公司和田中土建公司工作。	Tại Nhật Bản, tôi đã làm việc cho công ty xây dựng Suzuki trước, sau đó là công ty xây dựng Tanaka.
handbook-093	在留期間が平成○○年1月12日までということは分かっていましたが、お金を稼ぎたいのでそのまま日本にいました。	I knew my stay period was until January 12, Heisei ○○, but I wanted to earn more money, so I stayed in Japan.	虽然知道在留期间到平成○○年1月12日，但由于还想赚钱所以就留在日本了。	Tôi đã biết visa của tôi hết hạn vào ngày 12 tháng 1 năm Heisei ○○, nhưng vì muốn kiếm tiền nên tôi đã ở lại Nhật Bản
handbook-094	乙5号証は、被告人の身上関係についての捜査報告書です。	Exhibit Etsu-5 is an investigative report concerning the suspect's alibi.	乙5号证是关于被告人身份相关的调查报告书。	Bằng chứng số乙5 là báo cáo điều tra liên quan đến thân Split. Bite của bị cáo
handbook-095	検察官、不同意とされた証拠についてはどうされますか。	How do you wish to proceed with regard to the evidence that has been ruled inadmissible?	檢察官，不同意的证据将如何處理？	Viện kiểm sát sẽ làm thế nào đối với bằng chứng không được đồng ý?
handbook-096	撤回して、証人Aを申請します。	I withdraw and call Witness A.	撤回申请，申请证人A出庭。	Tôi xin rút lại và đề nghị triệu tập nhân chứng A.
handbook-098	しかるべく。	So ordered.	(无争议）	Đúng như vậy.
handbook-099	それでは、Aを証人として採用します。	The court now calls A as a witness.	那麼現就以證人A的身份接受證言。	Tôi sẽ đưa nhân chứng A vào làm chứng.
handbook-100	ただいまから、あなたをこの事件の証人として尋問しますから、まずうそをつかないという宣誓をしてください。	I am about to question you as a witness in this case, so please take an oath to tell the truth first.	现在向您宣誓，请您回答问题时保持真实，从不撒谎。請进行伪证宣誓。	Tôi sẽ hỏi bạn về vụ việc này với tư cách là nhân chứng, bạn hãy tuyên thệ đừng nói dối trước.
handbook-101	その宣誓書を朗読してください。	Please read the affidavit aloud.	请您朗读一下那个誓章。	Hãy đọc to bản tuyên thệ đó.
handbook-102	宣誓 良心に従って真実を述べ、何事も隠さず、偽りを述べないことを誓います。	I swear to tell the truth, the whole truth, and nothing but the truth, so help me.	我宣誓，按照我的良知和诚实，全部真实，并完全没有隐瞒和歪曲，也没有说假话。	Tôi xin thề và cam đoan theo lương tâm mình sẽ nói sự thật, không giấu giếm gì, sẽ không nói dối.
handbook-104	証人は、今宣誓したように本当のことを証言してください。	Please testify truthfully as you have sworn.	证人，请像刚刚宣誓的那样讲出事实真相。	Chứng nhân xin cam đoan và trình bày sự thật như đã tuyên thệ.
handbook-105	もし宣誓した上で虚偽の証言をすると、偽証罪で処罰されることがあります。	If you give false testimony after being sworn in, you may be punished for perjury.	如果您在宣誓后作虚假证言，将可能犯有伪证罪并受到处罚。	Nếu bạn đã tuyên thệ nhưng lại作false lời khai thì sẽ bị xử phạt về tội false lời khai.
handbook-106	証人が証言することによって証人自身又は証人の近親者が刑事訴追を受けたり、有罪の判決を受けるおそれのある事柄については、証言を拒むことができますから、その場合には申し出てください。	You have the right to refuse to testify if the testimony may subject you or a close relative to criminal prosecution or a guilty verdict; if so, please state so.	证人有权拒绝作证，若作证可能会使证人自己或其亲属受到刑事追究或被判有罪，请在这种情况下提出不得作证。	Chứng nhân có quyền từ chối trả lời nếu lời khai của mình có thể dẫn đến việc bản thân hoặc người thân của mình bị truy tố hoặc bị kết án về hình sự, vậy xin hãy thông báo trường hợp này.
handbook-107	弁護人のただいまの発問は、誘導尋問ですから、異議を申し立てます。	The current line of questioning by the defense counsel is leading the witness, and I object.	答弁律师的提问是诱导性质的询问，我方提出异议。	Luật sư đang hỏi như vậy là câu hỏi dắt dẫn, tôi phản đối.
handbook-108	反対尋問においては、誘導尋問も許されるので、検察官の異議の申立ては、理由がないと思料いたします。	I believe the prosecution's objection will be without merit since leading questions are permitted in cross-examination.	在反对审问中，引导性审问也是被允许的，因此我认为检察官的异议申诉没有理由。	Phiên thủ tục thẩm vấn ngược lại tại tòa cho phép câu hỏi có tính hướng dẫn, vì vậy tôi nghĩ cáo buộc của bên công tố không có căn cứ.
handbook-109	異議を棄却します。	The objection is overruled.	驳回异议。	Bác bỏ phản đối.
