id	source_japanese	gpt_english	gpt_chinese	gpt_vietnamese
question-24	証人の供述には矛盾がありますよね？	There are inconsistencies in the witness's testimony, aren't there?	证人的供述存在矛盾，对吧？	Lời khai của nhân chứng có mâu thuẫn phải không?
question-25	証人は以前にも同様の証言をしましたよね？	The witness has given similar testimony before, correct?	证人以前也做过类似的证词，对吗？	Nhân chứng đã từng làm chứng tương tự trước đó, phải không?
question-26	証人は当日の出来事を全て覚えているのですね？	The witness remembers all the events of that day, correct?	证人您对当天的事件全部都记得吗？	Nhân chứng nhớ hết mọi sự việc xảy ra trong ngày hôm đó đúng không?
question-27	真実を隠す理由が他にあるわけではないですよね？	There is no other reason for hiding the truth, right?	你没有其他理由隐瞒真相，对吧？	Không có lý do nào khác để che giấu sự thật, phải không?
question-28	真実を知っているのに、どうしてそれを隠すのでしょう？	Why do you hide it even though you know the truth?	既然知道真相，为什么还要隐瞒呢？	Mặc dù biết sự thật, tại sao bạn lại che giấu nó?
question-29	誠実な人が、これほど多くの矛盾した証言をするでしょうか？	Would a sincere person give so many contradictory testimonies?	诚实的人会作出这么多矛盾的证词吗？	Một người chân thành sẽ đưa ra nhiều lời khai mâu thuẫn như vậy sao?
question-30	他にも疑問を持つべき点があるのではないですか？	Shouldn't there be other points you should question?	难道没有其他值得质疑的地方吗？	Có phải còn điểm nào khác bạn nên đặt câu hỏi không?
question-31	誰が見ても不自然な流れですよね？	It's an unnatural flow, no matter who looks at it, right?	任何人看都会觉得不自然的流程吧？	Bất kỳ ai cũng có thể thấy đây là một diễn biến không tự nhiên, phải không?
question-32	誰しも誤解や誤認をすることがありますよね？	Everyone makes mistakes or has misconceptions sometimes, right?	任何人都会有误解或误认的时候，对吧？	Ai cũng có thể hiểu lầm hoặc nhận định sai, phải không?
question-33	適正な手続きを踏まなければならないのは当然ですよね？	It is obvious that due process must be followed, right?	当然应该遵循适当的程序，对吧？	Tất nhiên, phải tuân theo quy trình hợp lý, đúng không?
question-34	犯行現場にいたことを否定するには、これ以上の証拠が本当に必要でしょうか？	Is more evidence truly necessary to deny being at the crime scene?	要否认在犯罪现场的事实，真的需要更多的证据吗？	Để phủ nhận việc có mặt tại hiện trường phạm tội, thực sự cần thêm chứng cứ nữa không?
question-35	被害者と被告人が口論していた事実は否定できないのではないですか？	Is it not true that the fact that the victim and the defendant were arguing cannot be denied?	受害者和被告发生争吵的事实是无法否认的吧？	Có phải việc nạn nhân và bị cáo đã cãi nhau là điều không thể phủ nhận không?
question-36	被告人がその場にいなかったという主張は、これほどの証拠を前にして信じられるでしょうか？	Can the claim that the defendant was not present be believed in light of this amount of evidence?	被告声称他不在场，在如此多证据面前能被相信吗？	Liệu tuyên bố rằng bị cáo không có mặt tại hiện trường có thể tin được khi đối mặt với nhiều bằng chứng như vậy không?
question-37	被告人が現場にいたことは間違いないのですか？	Is there no doubt that the defendant was at the scene?	被告在现场是确定无疑的吗？	Có chắc rằng bị cáo đã có mặt tại hiện trường không?
question-38	被告人が犯行現場にいたことを証明する証拠があるのではないですか？	Isn't there evidence proving that the defendant was at the crime scene?	被告是否有证据证明其在犯罪现场？	Có phải có bằng chứng chứng minh bị cáo đã có mặt tại hiện trường phạm tội không?
question-39	被告人のアリバイが成立しないということは明らかではないですか？	Isn't it clear that the defendant's alibi does not hold?	被告人的不在证明不成立这一点不是很明显吗？	Có phải rõ ràng là bằng chứng ngoại phạm của bị cáo không được chấp nhận không?
question-40	被告人の証言は信じがたいですよね？	The defendant's testimony is hard to believe, isn't it?	被告人的证词令人难以置信，对吧？	Lời khai của bị cáo thật khó tin phải không?
question-41	被告人の人権は、この場でどうして尊重されないのでしょうか？	Why are the defendant's human rights not being respected in this court?	被告人的人权为什么在这里得不到尊重呢？	Tại sao quyền con người của bị cáo không được tôn trọng tại nơi này?
question-42	被告人の陳述は一貫していますよね？	The defendant's statements have been consistent, haven't they?	被告的陈述是一贯的吗？	Lời khai của bị cáo nhất quán đúng không?
question-43	被告人はその現場にいなかったのではありませんか？	Isn't it true that the defendant was not at the scene?	被告人不在现场，对吗？	Bị cáo có phải là không có mặt tại hiện trường không?
question-44	被告人はその時刻に現場付近にいたと認めたのではないですか？	Didn't the defendant admit to being near the scene at that time?	被告人不是承认那个时间在现场附近吗？	Bị cáo có phải đã thừa nhận có mặt gần hiện trường vào thời điểm đó không?
question-45	被告人にはアリバイがないのですか？	Does the defendant not have an alibi?	被告人没有不在场证明吗？	Bị cáo không có chứng cứ ngoại phạm sao?
question-46	被告人はその日、午後8時には家に帰ったと述べているのですね？	The defendant stated that they returned home by 8 PM that day, correct?	被告人表示那一天晚上8点就回家了，对吗？	Bị cáo đã nói rằng khoảng 8 giờ tối hôm đó đã về nhà, đúng không?
question-47	弁護士が提出した資料は全て確認済みではないですか？	Have you not reviewed all the documents submitted by the lawyer?	律师提交的资料是否全部核实过了？	Tất cả các tài liệu do luật sư nộp đã được kiểm tra chưa?
question-48	法廷での宣誓を理解していますね？	Do you understand the oath taken in court?	您明白在法庭上的宣誓吗？	Bạn có hiểu lời tuyên thệ trước tòa không?
question-49	目撃者の記憶が曖昧であることを、誰が否定できるのでしょうか？	Who can deny that the witness's memory is vague?	谁能否认目击者的记忆是模糊的呢？	Ai có thể phủ nhận rằng ký ức của nhân chứng là không rõ ràng?
question-50	目撃者の証言が矛盾しているとは思いませんか？	Don't you think the witness's testimony is inconsistent?	你不认为目击者的证词自相矛盾吗？	Bạn có nghĩ rằng lời khai của nhân chứng không nhất quán không?
