ID	gpt	llama	azure	sys_len	ref_len
handbook-082	33.28	43.31	20.59	34	37
handbook-083	31.89	3.22	9.37	19	26
handbook-084	41.48	30.73	14.4	19	19
handbook-085	18.98	16.85	10.89	20	22
handbook-086	42.48	39.17	17.82	104	103
handbook-087	62.46	43.28	27.91	43	41
handbook-088	46.12	47.76	21.88	36	40
handbook-089	59.22	56.03	12.33	48	43
handbook-090	19.0	28.89	13.83	48	45
handbook-091	63.34	60.36	57.82	28	29
handbook-092	20.57	13.03	11.12	36	29
handbook-093	37.27	22.06	28.3	41	42
handbook-094	29.61	35.79	10.06	22	21
handbook-095	57.02	34.58	41.18	18	21
handbook-096	31.61	50.32	28.92	14	9
handbook-098	6.57	0.0	6.57	7	4
handbook-099	37.95	3.43	31.73	12	14
handbook-100	23.48	4.88	14.69	30	28
handbook-101	66.06	5.68	9.98	10	9
handbook-102	29.71	6.24	35.25	29	30
handbook-104	15.27	23.25	6.29	21	16
handbook-105	11.12	13.48	12.18	22	29
handbook-106	24.7	21.16	23.48	50	54
handbook-107	17.69	32.83	4.35	18	24
handbook-108	42.59	28.12	14.22	32	37
handbook-109	81.87	100.0	7.16	5	6
handbook-110	20.5	11.21	13.49	11	7
handbook-112	55.39	19.56	24.9	28	29
handbook-113	35.57	23.87	24.31	54	49
handbook-114	32.65	31.7	29.17	12	12
handbook-115	24.8	6.26	6.02	17	16
handbook-116	46.95	30.59	30.77	68	73
handbook-117	45.31	19.86	23.83	19	18
handbook-118	82.42	14.87	55.92	15	15
handbook-121	37.71	55.82	50.72	17	17
handbook-122	17.04	27.23	27.57	16	20
handbook-123	28.57	12.22	8.12	16	19
handbook-124	30.26	23.29	7.99	18	13
handbook-125	34.67	37.19	18.78	22	26
handbook-126	59.88	14.32	29.07	10	10
handbook-129	3.49	4.15	3.08	31	38
handbook-132	27.3	66.06	27.3	10	9
handbook-133	45.12	15.27	23.13	21	22
handbook-134	15.7	17.37	9.08	51	46
handbook-135	10.47	4.99	13.74	10	14
handbook-136	19.67	15.81	19.67	14	13
handbook-137	26.56	13.08	15.33	37	44
handbook-139	6.22	9.35	7.38	11	21
handbook-140	71.09	13.74	28.15	10	11
handbook-141	24.3	20.58	15.37	22	22
handbook-142	3.25	1.2	4.27	9	14
handbook-143	25.62	27.58	13.6	43	45
handbook-144	43.96	12.4	23.24	85	75
handbook-145	33.49	9.71	13.13	44	45
handbook-146	34.69	5.76	14.79	12	13
handbook-147	27.41	33.0	19.44	24	21
handbook-148	32.31	16.92	7.6	26	27
handbook-149	23.19	39.45	21.22	20	18
handbook-150	32.76	43.64	2.52	17	18
handbook-151	26.53	25.52	14.53	39	42
handbook-152	43.01	24.62	29.95	21	16
handbook-153	46.0	13.23	18.0	13	13
handbook-155	41.37	27.67	13.38	15	13
handbook-156	34.88	24.87	41.65	47	41
handbook-157	20.52	20.49	30.48	92	81
handbook-158	50.02	27.08	22.13	24	22
handbook-159	23.59	2.98	7.09	57	42
handbook-160	17.43	25.74	22.61	62	52
handbook-161	31.14	15.76	12.45	53	43
handbook-162	39.47	24.35	9.85	24	26
handbook-163	18.52	14.41	13.51	24	18
handbook-164	46.85	9.04	8.85	26	21
handbook-165	44.65	18.36	30.13	20	18
handbook-166	3.03	16.83	12.47	10	16
handbook-167	11.71	6.48	7.65	6	9
handbook-168	4.17	8.09	24.08	7	13
handbook-169	63.55	50.63	29.61	24	24
handbook-170	45.78	45.78	37.95	23	27
handbook-171	81.54	19.56	10.83	16	16
handbook-172	49.77	9.56	17.64	32	33
handbook-173	29.55	4.86	10.53	26	24
handbook-174	100.0	18.48	62.63	14	14
handbook-175	27.23	50.95	39.38	16	15
handbook-176	22.12	11.35	18.6	27	27
handbook-177	30.99	22.63	24.59	37	32
handbook-178	37.58	6.38	6.38	27	26
handbook-179	20.7	18.27	7.51	16	21
handbook-180	12.07	8.89	6.75	14	18
handbook-181	26.83	33.8	16.31	45	46
handbook-182	24.43	6.36	7.5	42	36
handbook-183	12.01	9.98	20.02	40	30
handbook-184	42.64	13.5	24.31	27	26
handbook-185	36.89	35.96	15.67	42	47
handbook-186	42.88	32.02	10.0	56	49
handbook-187	37.59	12.58	3.31	35	29
handbook-188	24.48	15.7	10.58	44	49
handbook-189	23.31	9.99	20.53	50	46
handbook-190	31.24	29.46	13.93	24	17
handbook-191	25.07	15.54	16.31	45	48
handbook-192	37.67	20.15	21.04	16	11
handbook-194	19.99	27.78	14.13	10	11
handbook-195	55.69	30.43	27.7	18	20
handbook-196	56.35	31.91	20.29	19	22
handbook-197	66.49	36.53	4.15	42	37
handbook-200	33.21	13.3	3.52	29	28
handbook-201	4.76	4.89	4.62	30	24
handbook-202	12.49	3.96	20.67	39	32
handbook-203	7.86	9.05	11.8	35	33
handbook-205	13.6	9.71	7.52	27	15
handbook-206	32.52	27.45	16.2	19	17
handbook-208	59.79	19.38	5.36	23	26
handbook-209	42.73	44.32	15.63	28	24
handbook-210	35.3	31.5	5.37	32	34
handbook-211	61.74	23.13	15.89	46	49
handbook-212	41.72	15.85	24.38	11	11
handbook-216	36.16	17.9	18.87	29	32
handbook-217	45.51	46.3	20.47	21	17
handbook-219	34.46	37.15	28.98	15	14
handbook-220	39.85	6.75	22.05	17	13
handbook-223	12.85	15.99	3.36	18	12
handbook-224	25.53	28.78	17.51	18	17
handbook-225	42.34	27.3	35.49	10	9
handbook-227	44.65	58.51	11.15	20	18
handbook-228	21.79	32.47	17.97	6	9
handbook-229	100.0	18.58	14.54	7	7
handbook-231	48.89	20.56	15.62	7	7
handbook-233	30.93	26.18	9.51	18	18
handbook-236	74.26	24.13	38.1	11	12
handbook-237	100.0	37.99	37.99	6	6
handbook-238	20.26	8.05	12.98	12	12
handbook-239	32.87	49.75	28.21	27	25
handbook-241	26.97	16.01	29.62	13	15
handbook-246	26.77	27.02	13.93	24	28
handbook-247	23.56	6.82	4.57	21	24
handbook-248	54.0	32.75	15.17	37	38
handbook-249	73.42	34.2	22.0	28	29
handbook-250	52.8	23.51	31.31	224	225
handbook-251	45.55	27.74	26.83	103	86
handbook-252	40.53	34.47	36.15	145	142
handbook-253	51.68	42.25	35.8	64	64
handbook-254	46.51	48.12	24.23	120	111
handbook-255	42.18	34.75	30.66	269	263
handbook-256	50.99	35.02	41.73	75	83
handbook-257	21.0	21.58	23.69	50	46
handbook-258	26.09	25.52	32.18	64	77
handbook-259	36.87	20.79	30.38	92	79
handbook-260	30.28	37.53	31.0	27	28
handbook-261	44.07	40.66	22.77	112	102
handbook-262	18.84	16.59	15.44	35	33
handbook-263	42.14	25.17	26.78	233	193
handbook-264	29.76	29.2	17.0	234	233
handbook-265	35.05	29.12	22.52	290	267
handbook-266	48.26	51.29	16.03	91	85
handbook-267	49.43	38.11	33.11	168	153
handbook-268	47.8	42.52	30.71	97	94
handbook-269	44.14	36.29	23.75	126	108
handbook-270	51.37	32.76	25.59	157	151
handbook-271	40.23	11.48	24.26	97	87
handbook-276	34.48	7.5	14.32	12	9
handbook-277	47.63	29.12	10.34	18	15
handbook-278	20.16	11.99	5.67	9	9
handbook-283	56.42	43.32	14.27	30	34
handbook-290	53.16	49.47	23.1	75	72
handbook-291	49.76	38.98	25.48	71	65
handbook-292	47.96	16.76	22.89	182	183
handbook-293	47.91	14.39	20.42	31	35
handbook-294	34.68	33.9	23.13	37	37
handbook-295	30.36	20.17	17.28	109	116
handbook-296	66.67	12.74	40.37	25	24
handbook-297	38.33	17.37	7.83	78	82
handbook-299	25.13	22.69	8.49	85	72
handbook-300	36.23	23.08	22.45	123	124
handbook-301	23.68	10.7	6.29	214	194
handbook-302	31.42	30.08	15.05	55	53
handbook-303	8.05	7.38	10.62	36	37
handbook-304	25.32	30.33	15.14	150	114
handbook-305	17.79	16.68	17.66	131	138
handbook-306	33.63	25.58	24.21	115	84
handbook-307	43.07	6.17	36.62	49	41
handbook-308	43.68	26.79	23.4	160	142
handbook-309	47.52	36.73	44.26	72	66
ALL	38.59	27.53	22.26	9978	9611
