ID	gpt	llama	azure
handbook-169	1.0	1.0	0.94
handbook-170	0.96	0.9	0.92
handbook-171	0.95	0.86	0.84
handbook-172	0.96	0.59	0.81
handbook-173	0.99	0.95	0.81
handbook-174	0.98	0.9	0.96
handbook-175	0.95	0.98	0.91
handbook-176	0.95	0.98	0.95
handbook-177	0.93	0.83	0.86
handbook-178	0.88	0.82	0.74
handbook-179	0.88	0.88	0.95
handbook-180	1.0	1.0	0.97
handbook-181	0.96	0.8	0.91
handbook-182	0.91	0.8	0.65
handbook-183	0.96	0.79	0.8
handbook-184	0.94	0.78	0.77
handbook-185	0.94	0.6	0.57
handbook-186	0.82	0.74	0.41
handbook-187	0.98	0.87	0.71
handbook-188	0.78	0.81	0.73
handbook-189	0.91	0.56	0.72
handbook-190	0.99	0.98	0.96
handbook-191	0.84	0.83	0.63
handbook-192	1.0	0.99	0.83
handbook-194	0.99	0.95	0.91
handbook-195	1.0	1.0	0.99
handbook-196	1.0	0.98	0.92
handbook-197	0.89	0.7	0.4
handbook-200	0.88	0.78	0.54
handbook-201	0.66	0.55	0.51
handbook-202	0.64	0.62	0.42
handbook-203	0.83	0.83	0.75
handbook-205	0.96	0.98	0.87
handbook-206	0.85	0.81	0.74
handbook-208	0.98	0.76	0.64
handbook-209	0.83	0.84	0.62
handbook-210	0.79	0.58	0.58
handbook-211	0.9	0.49	0.63
handbook-212	0.9	0.89	0.88
handbook-216	0.97	0.72	0.65
handbook-217	0.86	0.81	0.82
handbook-219	0.99	1.0	0.99
handbook-220	0.98	0.81	0.85
handbook-223	0.97	0.78	0.89
handbook-224	0.96	0.95	0.83
handbook-225	0.99	0.97	0.98
handbook-227	0.99	1.0	0.73
handbook-228	0.93	0.99	0.86
handbook-229	0.99	0.93	0.99
handbook-231	0.98	0.98	0.98
handbook-233	0.88	0.97	0.9
handbook-236	1.0	1.0	0.91
handbook-237	1.0	1.0	1.0
handbook-238	0.96	0.99	0.92
handbook-239	0.98	0.96	0.89
handbook-241	0.99	0.72	0.92
handbook-246	0.94	0.84	0.7
handbook-247	0.92	0.73	0.69
handbook-248	0.96	0.85	0.88
handbook-249	0.99	0.76	0.79
handbook-250	0.39	0.46	0.16
handbook-251	0.81	0.42	0.47
handbook-252	0.8	0.37	0.42
handbook-253	0.9	0.81	0.71
handbook-254	0.67	0.48	0.38
handbook-255	0.63	0.41	0.12
handbook-256	0.84	0.88	0.66
handbook-257	0.92	0.76	0.84
handbook-258	0.64	0.64	0.67
handbook-259	0.8	0.61	0.45
handbook-260	0.87	0.91	0.89
handbook-261	0.76	0.81	0.59
handbook-262	0.89	0.88	0.88
handbook-263	0.67	0.61	0.23
handbook-264	0.57	0.52	0.24
handbook-265	0.44	0.36	0.17
handbook-266	0.74	0.62	0.28
handbook-267	0.87	0.58	0.54
handbook-268	0.88	0.71	0.68
handbook-269	0.58	0.34	0.14
handbook-270	0.81	0.52	0.25
handbook-271	0.53	0.51	0.43
handbook-276	0.94	0.84	0.8
handbook-277	0.87	0.89	0.73
handbook-278	0.9	0.88	0.84
handbook-283	0.97	0.89	0.61
handbook-290	0.96	0.93	0.66
handbook-291	0.93	0.77	0.57
handbook-292	0.57	0.27	0.3
handbook-293	0.93	0.93	0.81
handbook-294	0.94	0.77	0.96
handbook-295	0.64	0.66	0.48
handbook-296	0.98	0.91	0.87
handbook-297	0.61	0.55	0.32
handbook-299	0.62	0.59	0.55
handbook-300	0.82	0.73	0.52
handbook-301	0.56	0.4	0.28
handbook-302	0.69	0.79	0.6
handbook-303	0.91	0.82	0.9
handbook-304	0.66	0.6	0.41
handbook-305	0.67	0.62	0.26
handbook-306	0.87	0.75	0.64
handbook-307	0.98	0.73	0.79
handbook-308	0.58	0.31	0.33
handbook-309	0.9	0.83	0.66
ALL	0.89	0.83	0.79
