ID	gpt	llama	azure
handbook-150	0.99	0.86	0.77
handbook-151	0.89	0.88	0.65
handbook-152	0.37	0.49	0.46
handbook-153	0.94	0.94	0.87
handbook-155	0.94	0.95	0.92
handbook-156	0.65	0.48	0.76
handbook-157	0.61	0.62	0.77
handbook-158	0.97	0.99	0.97
handbook-159	0.98	0.97	0.94
handbook-160	0.79	0.67	0.94
handbook-161	0.93	0.88	0.5
handbook-162	0.99	0.82	0.98
handbook-163	0.86	0.86	0.97
handbook-164	1.0	0.99	0.97
handbook-165	0.97	0.96	0.87
handbook-166	0.97	0.83	0.71
handbook-167	0.99	0.98	0.99
handbook-168	1.0	0.99	0.99
handbook-169	0.85	0.81	0.98
handbook-170	0.76	0.76	0.96
handbook-171	0.8	0.88	0.58
handbook-172	0.58	0.79	0.51
handbook-173	0.71	0.71	0.76
handbook-174	0.95	0.96	0.91
handbook-175	0.91	0.76	0.78
handbook-176	0.97	0.94	0.95
handbook-177	0.91	0.89	0.89
handbook-178	0.37	0.54	0.43
handbook-179	0.82	0.93	0.75
handbook-180	0.87	0.98	0.84
handbook-181	0.95	0.69	0.74
handbook-182	0.67	0.81	0.71
handbook-183	0.84	0.74	0.65
handbook-184	0.63	0.41	0.5
handbook-185	0.65	0.28	0.44
handbook-186	0.71	0.56	0.73
handbook-187	0.37	0.78	0.51
handbook-188	0.57	0.67	0.56
handbook-189	0.79	0.82	0.23
handbook-190	0.96	0.99	1.0
handbook-191	0.71	0.82	0.32
handbook-192	0.7	0.57	0.62
handbook-194	0.92	0.92	1.0
handbook-195	0.8	0.8	0.79
handbook-196	0.87	0.96	0.93
handbook-197	0.92	0.68	0.73
handbook-200	0.69	0.69	0.51
handbook-201	0.63	0.6	0.6
handbook-202	0.59	0.61	0.61
handbook-203	0.7	0.82	0.71
handbook-205	0.57	0.97	0.83
handbook-206	0.9	0.64	0.71
handbook-208	0.47	0.58	0.31
handbook-209	0.35	0.47	0.34
handbook-210	0.39	0.56	0.23
handbook-211	0.43	0.42	0.42
handbook-212	0.83	0.85	0.74
handbook-216	0.73	0.57	0.6
handbook-217	0.88	0.89	0.91
handbook-219	0.96	0.9	0.89
handbook-220	0.93	0.99	0.69
handbook-223	0.86	0.79	0.92
handbook-224	0.95	0.87	0.95
handbook-225	0.96	0.99	1.0
handbook-227	0.91	0.9	0.75
handbook-228	0.99	1.0	1.0
handbook-229	0.87	0.58	0.93
handbook-231	0.99	0.82	0.97
handbook-233	0.94	0.88	0.93
handbook-236	0.95	0.91	0.86
handbook-237	1.0	0.97	1.0
handbook-238	0.92	0.95	0.91
handbook-239	0.94	0.84	0.78
handbook-241	0.82	0.95	0.84
handbook-246	0.64	0.75	0.67
handbook-247	0.5	0.7	0.73
handbook-248	0.89	0.78	0.69
handbook-249	0.86	0.86	0.59
handbook-250	0.23	0.24	0.15
handbook-251	0.43	0.48	0.54
handbook-252	0.36	0.64	0.39
handbook-253	0.27	0.28	0.54
handbook-254	0.38	0.19	0.36
handbook-255	0.21	0.27	0.04
handbook-256	0.45	0.24	0.64
handbook-257	0.93	0.92	0.85
handbook-258	0.42	0.69	0.38
handbook-259	0.59	0.48	0.26
handbook-260	0.85	0.75	0.73
handbook-261	0.35	0.42	0.63
handbook-262	0.88	0.74	0.84
handbook-263	0.35	0.22	0.19
handbook-264	0.49	0.25	0.19
handbook-265	0.2	0.15	0.26
handbook-266	0.38	0.39	0.42
handbook-267	0.48	0.58	0.47
handbook-268	0.41	0.4	0.61
handbook-269	0.42	0.22	0.09
handbook-270	0.7	0.6	0.34
handbook-271	0.31	0.44	0.59
handbook-276	0.71	0.8	0.88
handbook-277	0.75	0.83	0.76
handbook-278	0.95	0.79	0.89
handbook-283	0.65	0.71	0.24
handbook-290	0.44	0.69	0.54
handbook-291	0.41	0.4	0.66
handbook-292	0.19	0.15	0.13
handbook-293	0.78	0.62	0.92
handbook-294	0.85	0.78	0.98
handbook-295	0.77	0.48	0.72
handbook-296	0.71	0.77	0.65
handbook-297	0.38	0.61	0.27
handbook-299	0.37	0.16	0.28
handbook-300	0.85	0.75	0.44
handbook-301	0.51	0.51	0.24
handbook-302	0.4	0.55	0.26
handbook-303	0.84	0.76	0.74
handbook-304	0.56	0.52	0.32
handbook-305	0.38	0.37	0.22
handbook-306	0.48	0.56	0.52
handbook-307	0.81	0.68	0.52
handbook-308	0.21	0.19	0.21
handbook-309	0.27	0.54	0.37
ALL	0.75	0.74	0.71
