ID	target	gpt	llama	azure
handbook-161	0.59	0.66	0.87	0.49
handbook-162	0.97	0.98	0.8	0.94
handbook-163	0.83	0.81	0.8	0.95
handbook-164	0.98	1.0	0.99	0.98
handbook-165	0.73	0.98	0.99	0.78
handbook-166	0.94	0.91	0.83	0.61
handbook-167	0.99	0.94	0.93	0.91
handbook-168	0.96	0.96	0.9	0.98
handbook-169	0.75	0.82	0.77	0.98
handbook-170	0.75	0.71	0.77	0.87
handbook-171	0.84	0.9	0.94	0.66
handbook-172	0.66	0.86	0.81	0.6
handbook-173	0.63	0.73	0.85	0.81
handbook-174	0.89	0.94	0.96	0.86
handbook-175	0.96	0.96	0.74	0.77
handbook-176	0.85	0.95	0.97	0.82
handbook-177	0.72	0.95	0.84	0.78
handbook-178	0.6	0.94	0.73	0.87
handbook-179	0.22	0.95	0.99	0.9
handbook-180	0.82	0.93	1.0	0.96
handbook-181	0.84	0.96	0.64	0.68
handbook-182	0.85	0.9	0.88	0.79
handbook-183	0.76	0.82	0.81	0.65
handbook-184	0.47	0.86	0.52	0.68
handbook-185	0.62	0.56	0.32	0.36
handbook-186	0.74	0.65	0.56	0.73
handbook-187	0.7	0.6	0.89	0.79
handbook-188	0.43	0.48	0.63	0.53
handbook-189	0.31	0.93	0.93	0.62
handbook-190	0.95	0.98	0.98	1.0
handbook-191	0.57	0.48	0.62	0.33
handbook-192	0.57	0.97	0.78	0.84
handbook-194	0.99	0.99	0.98	0.98
handbook-195	0.69	0.93	0.93	0.96
handbook-196	0.84	0.85	0.96	0.92
handbook-197	0.7	0.93	0.77	0.75
handbook-200	0.53	0.64	0.69	0.55
handbook-201	0.44	0.6	0.59	0.48
handbook-202	0.38	0.62	0.6	0.52
handbook-203	0.66	0.72	0.82	0.7
handbook-205	0.76	0.65	1.0	0.76
handbook-206	0.65	0.9	0.74	0.63
handbook-208	0.54	0.49	0.58	0.51
handbook-209	0.43	0.43	0.55	0.44
handbook-210	0.37	0.4	0.53	0.15
handbook-211	0.31	0.38	0.51	0.36
handbook-212	0.75	0.81	0.77	0.7
handbook-216	0.53	0.71	0.46	0.7
handbook-217	0.83	0.9	0.9	0.85
handbook-219	0.75	0.88	0.75	0.91
handbook-220	0.75	0.82	0.98	0.69
handbook-223	0.76	0.79	0.84	0.99
handbook-224	0.61	0.9	0.82	0.99
handbook-225	0.99	0.94	0.97	0.99
handbook-227	0.88	0.95	0.92	0.81
handbook-228	1.0	0.92	1.0	1.0
handbook-229	0.99	0.98	0.35	0.95
handbook-231	0.96	0.99	0.69	0.93
handbook-233	0.81	0.96	0.88	0.85
handbook-236	0.86	0.95	0.88	0.8
handbook-237	1.0	1.0	0.99	1.0
handbook-238	0.87	0.97	0.97	0.8
handbook-239	0.61	0.93	0.82	0.94
handbook-241	0.59	0.84	0.98	0.91
handbook-246	0.38	0.73	0.64	0.66
handbook-247	0.4	0.69	0.73	0.64
handbook-248	0.44	0.94	0.77	0.7
handbook-249	0.32	0.93	0.96	0.7
handbook-250	0.08	0.15	0.16	0.1
handbook-251	0.18	0.26	0.44	0.34
handbook-252	0.15	0.2	0.49	0.2
handbook-253	0.33	0.17	0.34	0.27
handbook-254	0.25	0.2	0.1	0.2
handbook-255	0.12	0.19	0.2	0.21
handbook-256	0.23	0.17	0.17	0.21
handbook-257	0.71	0.9	0.86	0.78
handbook-258	0.62	0.45	0.79	0.41
handbook-259	0.25	0.55	0.47	0.19
handbook-260	0.61	0.77	0.69	0.48
handbook-261	0.38	0.24	0.29	0.38
handbook-262	0.71	0.86	0.65	0.85
handbook-263	0.09	0.25	0.17	0.08
handbook-264	0.18	0.24	0.19	0.09
handbook-265	0.09	0.13	0.17	0.2
handbook-266	0.23	0.16	0.31	0.16
handbook-267	0.07	0.08	0.07	0.17
handbook-268	0.3	0.25	0.54	0.48
handbook-269	0.24	0.29	0.23	0.08
handbook-270	0.37	0.3	0.38	0.25
handbook-271	0.28	0.14	0.25	0.26
handbook-276	0.83	0.78	0.78	0.98
handbook-277	0.92	0.85	0.9	0.78
handbook-278	0.82	0.91	0.6	0.91
handbook-283	0.54	0.62	0.63	0.41
handbook-290	0.33	0.4	0.67	0.59
handbook-291	0.35	0.42	0.53	0.7
handbook-292	0.17	0.19	0.13	0.12
handbook-293	0.84	0.82	0.66	0.89
handbook-294	0.75	0.85	0.68	0.9
handbook-295	0.46	0.72	0.46	0.62
handbook-296	0.86	0.85	0.86	0.74
handbook-297	0.38	0.51	0.73	0.44
handbook-299	0.33	0.24	0.14	0.32
handbook-300	0.32	0.8	0.6	0.42
handbook-301	0.32	0.6	0.54	0.18
handbook-302	0.51	0.5	0.49	0.33
handbook-303	0.54	0.89	0.72	0.78
handbook-304	0.45	0.52	0.42	0.29
handbook-305	0.31	0.39	0.36	0.14
handbook-306	0.55	0.51	0.61	0.54
handbook-307	0.49	0.83	0.7	0.52
handbook-308	0.11	0.24	0.17	0.2
handbook-309	0.3	0.49	0.78	0.48
ALL	0.64	0.77	0.75	0.72
