id	source	translation_A	translation_B	translation_C	mapping
question-27	真実を隠す理由が他にあるわけではないですよね？	Có lý do khác để che giấu sự thật không đúng chứ?	Không có lý do nào khác để che giấu sự thật, phải không?	Không có lý do nào khác để che giấu sự thật, phải không?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-28	真実を知っているのに、どうしてそれを隠すのでしょう？	Biết sự thật rồi tại sao lại giấu nó?	Biết sự thật mà sao lại giấu đi như vậy chứ?	Nếu bạn biết sự thật, tại sao phải che giấu nó?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-29	誠実な人が、これほど多くの矛盾した証言をするでしょうか？	Làm sao một người trung thực có thể đưa ra nhiều lời chứng mâu thuẫn như vậy?	Người thành thật thì có làm chứng ngược nhau như vậy không?	Một người chân thành có thể đưa ra nhiều lời khai mâu thuẫn như thế này sao?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-30	他にも疑問を持つべき点があるのではないですか？	Có điểm nào khác mà chúng ta nên đặt câu hỏi không?	Chẳng phải còn điểm nào khác mà cần phải đặt câu hỏi sao?	Không có câu hỏi nào khác mà bạn nên có?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-31	誰が見ても不自然な流れですよね？	Đúng là dòng chảy bất thường mà ai nhìn vào cũng thấy phải không nhỉ?	 Ai thấy cũng đều cảm thấy dòng chảy này không tự nhiên nhỉ?	Đó là một dòng chảy không tự nhiên đối với tất cả mọi người, phải không?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-32	誰しも誤解や誤認をすることがありますよね？	Tất cả chúng ta đều có những hiểu lầm và nhận dạng sai, phải không?	Ai cũng có lúc hiểu lầm hay nhận định sai, phải không?	Mọi người đều có thể nhầm lẫn hoặc hiểu lầm đúng không?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-33	適正な手続きを踏まなければならないのは当然ですよね？	Việc tuân thủ đúng quy trình là điều đương nhiên, phải không?	Việc bạn phải tuân theo quy trình pháp lý là điều tự nhiên, phải không?	Tất nhiên là phải tuân theo thủ tục hợp lý rồi đúng không?	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-34	犯行現場にいたことを否定するには、これ以上の証拠が本当に必要でしょうか？	Để phủ nhận việc có mặt ở hiện trường vụ án, có thực sự cần thêm bằng chứng nào nữa không?	Bạn có thực sự cần thêm bằng chứng để phủ nhận rằng bạn đã có mặt tại hiện trường vụ án không?	Có cần thêm chứng cứ nào khác để phủ nhận việc có mặt tại hiện trường tội phạm không?	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-35	被害者と被告人が口論していた事実は否定できないのではないですか？	Có phải không thể phủ nhận sự thật là nạn nhân và bị cáo đã có cãi vã với nhau không?	Liệu sự thật về việc nạn nhân và bị cáo đã cãi nhau không phải là không thể phủ nhận hay sao?	Chẳng phải không thể phủ nhận rằng nạn nhân và bị cáo đang tranh cãi sao?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-36	被告人がその場にいなかったという主張は、これほどの証拠を前にして信じられるでしょうか？	Bị cáo không có mặt tại hiện trường, luận điểm này có thể tin được khi đã có những bằng chứng như vậy không?	Liệu tuyên bố rằng bị cáo không có mặt có thể đáng tin cậy khi đối mặt với quá nhiều bằng chứng?	Liệu có thể tin được tuyên bố bị cáo không có mặt ở hiện trường trước nhiều bằng chứng đến vậy không?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-37	被告人が現場にいたことは間違いないのですか？	Bạn có chắc chắn rằng bị cáo đã có mặt tại hiện trường không?	Có phải không sai là bị cáo có mặt tại hiện trường không?	Có phải là không có nghi ngờ gì rằng bị cáo đã có mặt tại hiện trường không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-38	被告人が犯行現場にいたことを証明する証拠があるのではないですか？	Không có bằng chứng nào để chứng minh rằng bị cáo đã có mặt tại hiện trường vụ án?	Có phải không có bằng chứng chứng minh rằng bị cáo đã ở hiện trường vụ án không?	Có bằng chứng chứng minh bị cáo có mặt tại hiện trường tội phạm tidak phải vậy吗？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-39	被告人のアリバイが成立しないということは明らかではないですか？	Không rõ ràng là bằng chứng ngoại phạm của bị cáo không hợp lý sao?	Có phải là rõ ràng là không có lý do rõ ràng để bị cáo bị kết tội không?	Có phải rõ ràng rằng chứng cứ vắng mặt của bị cáo không hợp lệ không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-40	被告人の証言は信じがたいですよね？	Lời khai của bị cáo thật khó tin, phải không?	Lời khai của bị cáo khó mà tin được, phải không?	Bị đơn có lời khai không thể tin được đấy nhỉ？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-41	被告人の人権は、この場でどうして尊重されないのでしょうか？	Tại sao nhân quyền của bị cáo không được tôn trọng ở đây?	Tại sao quyền con người của bị cáo không được tôn trọng ở đây?	Quyền con người của bị cáo thì tại sao lại không được tôn trọng ở đây?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-42	被告人の陳述は一貫していますよね？	Lời khai của bị cáo là nhất quán, phải không?	Bị cáo có lời khai nhất quán không?	Bản tường trình của bị cáo có nhất quán không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-43	被告人はその現場にいなかったのではありませんか？	Bị cáo chẳng phải đã không có mặt tại hiện trường đó sao?	Bị cáo có mặt tại hiện trường đó chứ không phải không?	Không phải bị cáo đã có mặt tại hiện trường sao?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-44	被告人はその時刻に現場付近にいたと認めたのではないですか？	Bị cáo có phải đã thừa nhận mình có mặt gần hiện trường vào lúc đó không？	Bị cáo không thừa nhận rằng anh ta đang ở gần hiện trường vào thời điểm đó sao?	Bị cáo đã không thừa nhận rằng họ đã có mặt ở gần hiện trường vào thời điểm đó, phải không?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-45	被告人にはアリバイがないのですか？	Bị cáo không có bằng chứng ngoại phạm?	Bị cáo không có chứng cứ ngoại phạm sao?	Bị cáo có không có án để minh oan cho họ không？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-46	被告人はその日、午後8時には家に帰ったと述べているのですね？	Bị cáo nói rằng anh ta đã về nhà lúc 8 giờ tối ngày hôm đó?	Bị cáo nói là vào ngày hôm đó, vào lúc 8 giờ tối thì đã về nhà phải không?	Bị cáo đã khai rằng vào ngày hôm đó, bị cáo đã về nhà lúc 8 giờ tối phải không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-47	弁護士が提出した資料は全て確認済みではないですか？	Bạn đã kiểm tra tất cả các tài liệu do luật sư của bạn gửi chưa?	Tài liệu mà luật sư đã nộp tất cả chưa được xác nhận phải không?	Luật sư đã gửi tài liệu đã được xác nhận tất cả chưa?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-48	法廷での宣誓を理解していますね？	Bạn hiểu lời thề trước tòa, phải không?	Bạn hiểu lời thề trước tòa, phải không?	Anh chị có hiểu lời tuyên thệ tại tòa án không?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-49	目撃者の記憶が曖昧であることを、誰が否定できるのでしょうか？	Ai có thể phủ nhận rằng ký ức của nhân chứng là mờ nhạt?	Ai có thể phủ nhận rằng ký ức của nhân chứng là mơ hồ?	Ai có thể phủ nhận rằng ký ức của nhân chứng là không rõ ràng?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-50	目撃者の証言が矛盾しているとは思いませんか？	Bạn không nghĩ rằng lời khai của các nhân chứng là mâu thuẫn sao?	Bạn không nghĩ rằng lời khai của nhân chứng có mâu thuẫn sao?	Anh có nghĩ rằng lời khai của nhân chứng mâu thuẫn với nhau không?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
