id	source	translation_A	translation_B	translation_C	mapping
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？	如果被告确实有罪，为什么还有这么多问题呢？	如果被告真的有罪，那为什么还会有这么多疑点呢？	倘若被告人确实有罪，为什么会有这么多疑点残留？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？	如果他们是无辜的，为什么还要不惜一切代价隐藏证据呢？	如果是无罪的，又为何要如此隐瞒证据呢？	如果你是无辜的，为什么要如此努力地隐藏证据呢？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？	是否还有其他证据可以否定共犯者的存在？	否定共犯者存在的其他根据又是什么呢？	还有什么其他理由可以否认共犯的存在呢？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-20	証拠が正当に収集されたことを確認していますか？	您确定证据已及时收集吗？	你確認證據的取得過程是否正當嗎？	您是否确认证据是合法收集的？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-21	証拠を見れば、明らかに一致しますよね？	如果你查看证据，是不是清楚地看出是一致的？	如果你看一下证据，它显然是匹配的，对吧？	看了证据后，显然是一致的，对吧？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-22	証拠資料は全て揃っているのですよね？	证据材料都已经齐全了吧？	你确定所有证据资料都已经准备好了吧？	你有所有的证据，对吧？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-23	証拠品があなたのものであると確認したのではないですか？	你是否确认过证物是你的？	证实过您确实确认过证物是您的东西吗？	你不是确认了证据是属于你的吗？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-24	証人の供述には矛盾がありますよね？	证人的陈述有不一致的地方，对吧？	证人的供述存在矛盾，对吧？	证人的证词中存在着矛盾对吧？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-25	証人は以前にも同様の証言をしましたよね？	证人以前也做过类似的证词，对吗？	证人以前也作过类似的证词，对吧？	证人以前也作过类似的证词，对吧？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-26	証人は当日の出来事を全て覚えているのですね？	证人您对当天的事件全部都记得吗？	证人记得那天发生的一切，对吧？	您还记得当天发生的所有事情吗？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-27	真実を隠す理由が他にあるわけではないですよね？	没有其他理由隐藏真相，对吧？	你不是还有其他隐瞒真相的理由吧？	你没有其他理由隐瞒真相，对吧？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-28	真実を知っているのに、どうしてそれを隠すのでしょう？	如果你知道真相，为什么要隐瞒呢？	你明明知道真相，还为什么要隐瞒呢？	既然知道真相，为什么还要隐瞒呢？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-29	誠実な人が、これほど多くの矛盾した証言をするでしょうか？	会有一个正直的人会提供这么多相互矛盾的证词吗？	诚实的人会作出这么多矛盾的证词吗？	一个诚实的人怎么能给出这么多相互矛盾的证词呢？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-30	他にも疑問を持つべき点があるのではないですか？	难道没有其他问题你应该有吗？	难道您不认为还应该考虑其他疑点吗？	难道没有其他值得质疑的地方吗？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-31	誰が見ても不自然な流れですよね？	这对每个人来说都是一种不自然的流动，不是吗？	任何人看都会觉得不自然的流程吧？	这是任何人看都觉得不自然的发展吧！	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-32	誰しも誤解や誤認をすることがありますよね？	我们都有误解和错误识别，对吧？	任何人都会有误解或误认的时候，对吧？	是的，任何人都会产生误解或误认。	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-33	適正な手続きを踏まなければならないのは当然ですよね？	当然应该遵循适当的程序，对吧？	当然，必须遵守合适的程序。	您必须遵循正当程序是很自然的，对吧？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-34	犯行現場にいたことを否定するには、これ以上の証拠が本当に必要でしょうか？	您认为，为了证明自己当时并不在犯罪现场，真的需要更多证据吗？	要否认在犯罪现场的事实，真的需要更多的证据吗？	你真的需要更多的证据来否认你在犯罪现场吗？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-35	被害者と被告人が口論していた事実は否定できないのではないですか？	受害者和被告在争论不是不可否认吗？	受害者和被告发生争吵的事实是无法否认的吧？	難道不能否定受害人和被告人曾经发生过口角的事实吗？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-36	被告人がその場にいなかったという主張は、これほどの証拠を前にして信じられるでしょうか？	被告声称他不在场，在如此多证据面前能被相信吗？	在如此证据面前，被告人称自己当时不在场的说辞，还是值得相信的吗？	面对如此多的证据，被告不在场的说法是否可信？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-37	被告人が現場にいたことは間違いないのですか？	你确定被告在现场吗？	被告在现场是确定无疑的吗？	被告人當時確定在現場嗎？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-38	被告人が犯行現場にいたことを証明する証拠があるのではないですか？	被告人有没有证据证明其存在犯罪现场？	被告是否有证据证明其在犯罪现场？	难道没有证据证明被告在犯罪现场吗？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-39	被告人のアリバイが成立しないということは明らかではないですか？	被告的不在场证明不是很清楚吗？	被告人的不在证明不成立这一点不是很明显吗？	显然，被告人的不在场证明是站不住脚的，不是吗？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-40	被告人の証言は信じがたいですよね？	被告人的证词令人难以置信，对吧？	被告的证词很难相信，不是吗？	证人站不是你说几句假话就能糊弄过去的。	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-41	被告人の人権は、この場でどうして尊重されないのでしょうか？	被告的权利为何在这场庭审中得不到尊重？	为什么被告的人权在这里得不到尊重？	被告人的人权为什么在这里得不到尊重呢？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-42	被告人の陳述は一貫していますよね？	被告的陈述是一致的，对吧？	被告的陈述是一贯的吗？	被告人的陈述是不是一直很一致啊？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-43	被告人はその現場にいなかったのではありませんか？	被告不是在现场吗？	被告人是否没有在事发现场？	被告人不在现场，对吗？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-44	被告人はその時刻に現場付近にいたと認めたのではないですか？	被告人难道不是承认了自己当时就在案发现场附近吗？	被告人不是承认那个时间在现场附近吗？	被告不是承认他当时在现场附近吗？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-45	被告人にはアリバイがないのですか？	被告人没有不在场证明吗？	原告没有不在场证明吗？	被告没有不在场证明吗？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-46	被告人はその日、午後8時には家に帰ったと述べているのですね？	被告说他当天晚上 8 点到家了？	被告人表示那一天晚上8点就回家了，对吗？	被告当天晚上8点以前已经回到家中了，对吗？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-47	弁護士が提出した資料は全て確認済みではないですか？	辩护律师提交的资料你们不是都已经核实过了吗？	您是否检查了律师提交的所有材料？	律师提交的资料是否全部核实过了？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-48	法廷での宣誓を理解していますね？	你明白法庭上的誓言，不是吗？	你了解法庭上的宣誓的含义吗？	您明白在法庭上的宣誓吗？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-49	目撃者の記憶が曖昧であることを、誰が否定できるのでしょうか？	谁能否认证人的记忆是模糊的呢？	谁能否认目击者的记忆是模糊的呢？	目撃者記忆模糊，谁又能否认？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-50	目撃者の証言が矛盾しているとは思いませんか？	你不认为目击者的证词自相矛盾吗？	你不觉得目击者的证词是矛盾的吗？	目击者们的证词不会相互矛盾吗？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
