id	source_japanese	azure_english	azure_chinese	azure_vietnamese
handbook-011	あなたが経済的な理由などで自分の費用で弁護人を選任することができないときは、裁判官に弁護人の選任を請求することができます。	If you are unable to appoint a defense attorney at your own expense, for reasons such as financial reasons, you can request that a judge appoint a defense attorney.	如果您由于经济原因等原因无法自费指定辩护律师，您可以要求法官指定辩护律师。	Nếu bạn không thể chỉ định luật sư bào chữa bằng chi phí của mình, vì những lý do như lý do tài chính, bạn có thể yêu cầu thẩm phán chỉ định luật sư bào chữa.
handbook-012	この請求をする場合には、資力申告書を提出しなければなりません。	If you want to make this request, you must submit a declaration of resources.	如果要提出此请求，则必须提交资源声明。	Nếu bạn muốn thực hiện yêu cầu này, bạn phải gửi tờ khai về nguồn lực.
handbook-013	また、資力申告書の資力の合計額が50万円以上の場合には、あらかじめ、○○弁護士会に弁護人の選任の申出をしていなければなりません。	In addition, if the total amount of resources in the financial declaration form is 500,000 yen or more, you must apply in advance to the XX Bar Association for the appointment of a defense attorney.	此外，如果财务申报表中的资源总额为 500,000 日元或以上，您必须提前向 XX 律师协会申请指定辩护律师。	Ngoài ra, nếu tổng số tiền tài nguyên trong mẫu khai báo tài chính từ 500.000 yên trở lên, bạn phải nộp đơn trước cho Đoàn Luật sư XX để chỉ định luật sư bào chữa.
handbook-014	あなたに、罪を犯したと疑うに足りる相当な理由があり、かつ、住居が不定であるか、証拠を隠滅したり逃亡したりすることを疑うに足りる相当な理由がある場合には、勾留されることになるかもしれません。	If you have reasonable grounds to suspect that you have committed a crime, and if you have reasonable grounds to suspect that you have an indefinite residence or that you will destroy evidence or flee, you may be detained.	如果您有合理的理由怀疑您犯了罪，并且您有合理的理由怀疑您有无限期居留权或您将销毁证据或逃跑，您可能会被拘留。	Nếu bạn có cơ sở hợp lý để nghi ngờ rằng bạn đã phạm tội và nếu bạn có cơ sở hợp lý để nghi ngờ rằng bạn có nơi cư trú vô thời hạn hoặc bạn sẽ tiêu hủy bằng chứng hoặc bỏ trốn, bạn có thể bị giam giữ.
handbook-015	勾留される期間は、原則として10日間です。	As a general rule, the period of detention is 10 days.	拘留期限一般为 10 天。	Theo nguyên tắc chung, thời gian giam giữ là 10 ngày.
handbook-016	しかし、場合によっては、10日たつ前に釈放されることもありますし、更に10日以内の日数勾留が延長されることもあります。	However, in some cases, they may be released before the end of 10 days, or their detention may be extended for up to 10 days.	但是，在某些情况下，他们可能会在 10 天结束之前被释放，或者他们的拘留可能会延长至 10 天。	Tuy nhiên, trong một số trường hợp, họ có thể được thả trước khi kết thúc 10 ngày, hoặc thời gian giam giữ có thể được kéo dài đến 10 ngày.
handbook-017	それでは、勾留請求の理由となっている犯罪事実を読むのでよく聞いてください。	Now, please listen carefully as you read the criminal facts that are the grounds for the detention request.	现在，请仔细聆听作为拘留请求理由的刑事事实。	Bây giờ, hãy lắng nghe cẩn thận khi bạn đọc các sự kiện tội phạm là cơ sở cho yêu cầu giam giữ.
handbook-018	その後で、これに対して言いたいことがあったら述べてください。	After that, if you have something to say in response, please say it.	之后，如果你有话要说，请说出来。	Sau đó, nếu bạn có điều gì đó để đáp lại, hãy nói điều đó.
handbook-019	被疑者は、平成○○年10月10日午後6時50分ころ、○○市丸山町1番1号所在の株式会社甲百貨店(代表取締役甲野太郎)本店3階貴金属売場において、同社所有のダイヤモンド指輪1個(時価300万円相当)を自己の背広の内側ポケットに入れて窃取したものである。	At around 6:50 p.m. on October 10, 2010, the suspect stole one diamond ring (worth 3 million yen) owned by the company in the inside pocket of his own jacket at the precious metals section on the 3rd floor of the head office of Ko Department Store Co., Ltd. (Representative Director Taro Kono), located at 1-1 Maruyama-cho, XX City.	2010 年 10 月 10 日下午 6 点 50 分左右，嫌疑人在位于 XX 市丸山町 1-1 的 Ko Department Store Co.， Ltd.（代表董事河野太郎）总公司总部 3 楼贵金属区的夹克内袋中偷走了一枚公司拥有的钻戒（价值 300 万日元）。	Vào khoảng 6:50 chiều ngày 10 tháng 10 năm 2010, nghi phạm đã đánh cắp một chiếc nhẫn kim cương (trị giá 3 triệu yên) thuộc sở hữu của công ty trong túi trong áo khoác của chính mình tại khu kim loại quý trên tầng 3 trụ sở chính của Công ty TNHH Cửa hàng Bách hóa Ko (Giám đốc đại diện Taro Kono), tọa lạc tại 1-1 Maruyama-cho, XX City.
handbook-021	身に覚えがありません。	I don't remember it.	我不记得了。	Tôi không nhớ nó.
handbook-022	検察庁で述べたとおりです。	As stated in the prosecutor's office.	正如检察官办公室所说。	Như đã nêu trong văn phòng công tố.
handbook-023	あなたが勾留されることになった場合には、裁判所から弁護人あてにその旨を通知します。	If you are detained, the court will notify your lawyer.	如果您被拘留，法院会通知您的律师。	Nếu bạn bị giam giữ, tòa án sẽ thông báo cho luật sư của bạn.
handbook-024	弁護人がない場合には、国内にいるあなたの配偶者、親兄弟等のうち、あなたが指定する1人に通知します。	If you do not have a legal counsel, we will notify one of your spouses, parents, siblings, etc. in Japan that you designate.	如果您没有法律顾问，我们将通知您在日本指定的配偶、父母、兄弟姐妹等之一。	Nếu bạn không có cố vấn pháp lý, chúng tôi sẽ thông báo cho một trong những vợ/chồng, cha mẹ, anh chị em, v.v. của bạn ở Nhật Bản mà bạn chỉ định.
handbook-025	また、弁護人もそのような家族もない場合には、雇主とか知人などのうちからあなたが指定する1人に通知します。	In addition, if there is no defense attorney or such a family member, we will notify one of your employers or acquaintances that you designate.	此外，如果没有辩护律师或此类家庭成员，我们将通知您指定的雇主或熟人之一。	Ngoài ra, nếu không có luật sư bào chữa hoặc thành viên gia đình như vậy, chúng tôi sẽ thông báo cho một trong những người sử dụng lao động hoặc người quen của bạn mà bạn chỉ định.
handbook-026	通知先の氏名、住居、電話番号を述べてください。	Please include the name, residence, and telephone number of the person you want to notify.	请包括您要通知的人的姓名、居住地和电话号码。	Vui lòng bao gồm tên, nơi cư trú và số điện thoại của người bạn muốn thông báo.
handbook-027	日本にいる兄に連絡してください。	Please contact your brother in Japan.	请联系您在日本的兄弟。	Vui lòng liên hệ với anh trai của bạn ở Nhật Bản.
handbook-030	私と同じところに住んでいます。	They live in the same place as me.	他们和我住在同一个地方。	Họ sống ở cùng một nơi với tôi.
handbook-031	あなたは、○○国国民として、領事関係に関するウィーン条約第36条第1項(b)の規定により、勾留の事実を○○国領事官に通報することを要求しますか。	Do you, as a citizen of the country XX, require that the fact of your detention be reported to the consular officer of the country in accordance with the provisions of Article 36(1)(b) of the Vienna Convention on Consular Relations?	作为 XX 国的公民，您是否要求根据《维也纳领事关系公约》第 36（1）（b） 条的规定向该国的领事官员报告您被拘留的事实？	Bạn, với tư cách là công dân của quốc gia XX, có yêu cầu báo cáo thực tế về việc giam giữ bạn cho viên chức lãnh sự của đất nước theo quy định tại Điều 36 (1) (b) của Công ước Vienna về quan hệ lãnh sự không?
handbook-032	通報することを要求します。<要求しません。>	Request to report. < do not ask>	请求报告。 <不要问>	Yêu cầu báo cáo. < không hỏi>
handbook-033	なお、領事機関に対しては、我が国の法令に反しない限り、信書を発することができます。	Correspondence may be issued to consular agencies as long as they do not violate the laws and regulations of Japan.	只要不违反日本的法律和法规，就可以向领事机构发出信件。	Thư từ có thể được cấp cho các cơ quan lãnh sự miễn là chúng không vi phạm luật pháp và quy định của Nhật Bản.
handbook-034	あなたが述べたことを調書に書きましたので、それを読み上げます。	I have written down what you said in the record, and I will read it aloud.	我已经把你说的话写在了记录里，我会大声读出来。	Tôi đã viết ra những gì bạn đã nói trong hồ sơ, và tôi sẽ đọc to.
handbook-035	間違いなければここに署名して、左人指し指で指印してください。	If there are no mistakes, please sign here and mark it with your left index finger.	如果没有错误，请在此处签名并用左手食指标记。	Nếu không có sai sót, vui lòng ký vào đây và đánh dấu bằng ngón trỏ trái của bạn.
handbook-037	良心に従って誠実に通訳をすることを誓います。	I pledge to interpret in good faith according to my conscience.	我保证根据我的良心真诚地进行口译。	Tôi cam kết sẽ giải thích một cách thiện chí theo lương tâm của tôi.
handbook-038	被告人は前に出てください。	The accused should come forward.	被告应该站出来。	Bị cáo nên ra mặt.
handbook-039	<被告人は起立してください。>	<The accused must stand up>	<被告必须站起来>	<Bị cáo phải đứng dậy>
handbook-045	それでは、これから被告人に対する○○被告事件についての審理を始めます。	Now, we will begin the hearing on the case of the defendant XX against the accused.	现在，我们将开始审理被告 XX 针对被告的案件。	Bây giờ, chúng tôi sẽ bắt đầu phiên điều trần về vụ án của bị cáo XX chống lại bị cáo.
handbook-046	起訴状は受け取っていますね。	You've received the indictment.	你已经收到了起诉书。	Bạn đã nhận được bản cáo trạng.
handbook-047	まず起訴状が朗読されますから、被告人は聞いていてください。	First, the indictment will be read aloud, so the accused should listen.	首先，起诉书将被大声宣读，因此被告应该倾听。	Đầu tiên, bản cáo trạng sẽ được đọc to, vì vậy bị cáo nên lắng nghe.
handbook-048	検察官、起訴状を朗読してください。	Prosecutor, read the indictment aloud.	检察官，大声宣读起诉书。	Công tố viên, đọc to bản cáo trạng.
handbook-049	これから、今朗読された事実についての審理を行いますが、審理に先立ち被告人に注意しておきます。	We will now hold a hearing on the facts that have just been read, but I would like to warn the accused before the hearing.	我们现在将就刚刚宣读的事实举行听证会，但我想在听证会前警告被告。	Bây giờ chúng tôi sẽ tổ chức một phiên điều trần về các sự kiện vừa được đọc, nhưng tôi muốn cảnh báo bị cáo trước phiên điều trần.
handbook-051	したがって、被告人は答えたくない質問に対しては答えを拒むことができますし、また、始めから終わりまで黙っていることもできます。	Therefore, the accused can refuse to answer questions that he does not want to answer, and he can also remain silent from beginning to end.	因此，被告可以拒绝回答他不想回答的问题，他也可以自始至终保持沉默。	Do đó, bị cáo có thể từ chối trả lời những câu hỏi mà anh ta không muốn trả lời, và anh ta cũng có thể giữ im lặng từ đầu đến cuối.
handbook-052	もちろん質問に対して答えたいときには答えてよいですが、被告人がこの法廷で述べたことは、被告人に有利不利を問わず証拠として用いられることがありますから、そのことを念頭に置いて答えるようにしてください。	Of course, you can answer questions if you want to, but please keep that in mind as what the accused says in this court can be used as evidence, regardless of whether it is favorable or disadvantageous to the accused.	当然，如果你愿意，你可以回答问题，但请记住这一点，因为被告在本法庭上所说的话可以用作证据，无论它对被告是有利还是不利。	Tất nhiên, bạn có thể trả lời các câu hỏi nếu muốn, nhưng hãy ghi nhớ điều đó vì những gì bị cáo nói tại tòa án này có thể được sử dụng làm bằng chứng, bất kể nó có lợi hay bất lợi cho bị cáo.
handbook-053	検察官が今読んだ事実について何か述べることはありますか。	Do you have anything to say about what the prosecutor has just read?	你对检察官刚刚读到的内容有什么要说的吗？	Bạn có điều gì muốn nói về những gì công tố viên vừa đọc không?
handbook-054	事実はそのとおり間違いありません。	There is no doubt about the facts.	事实毋庸置疑。	Không có nghi ngờ gì về sự thật.
handbook-055	事実は身に覚えがありません。	I don't remember the facts.	我不记得事实了。	Tôi không nhớ sự thật.
handbook-056	酒を飲んでいたので、よく覚えていません。	I was drinking, so I don't remember well.	我当时在喝酒，所以我记不太清楚了。	Tôi đã uống rượu, vì vậy tôi không nhớ rõ.
handbook-057	物を取ったのは確かですが、人は殺していません。	It is true that they took things, but they did not kill people.	他们确实拿了东西，但他们没有杀人。	Đúng là họ đã lấy đồ, nhưng họ không giết người.
handbook-058	被害者を刺したのは確かですが、殺すつもりはありませんでした。	It is certain that he stabbed the victim, but he did not intend to kill him.	可以肯定的是，他刺伤了受害者，但他并不打算杀死他。	Chắc chắn rằng anh ta đã đâm nạn nhân, nhưng anh ta không có ý định giết anh ta.
handbook-060	被告人には、窃盗の故意がないので、無罪を主張します。	The accused pleads not guilty because he has no intention of stealing.	被告不认罪，因为他无意偷窃。	Bị cáo không nhận tội vì anh ta không có ý định ăn cắp.
handbook-061	被告人には、窃盗の実行の着手がありませんので、無罪を主張します。	The accused pleads not guilty because he has not initiated the theft.	被告不认罪，因为他没有发起盗窃。	Bị cáo không nhận tội vì anh ta không khởi xướng hành vi trộm cắp.
handbook-062	被告人の行為は正当防衛に当たるので、無罪を主張します。	The defendant's actions constitute a justifiable defense, so he pleads not guilty.	被告的行为构成了正当的辩护，因此他不认罪。	Hành động của bị cáo tạo thành một biện pháp bào chữa chính đáng, vì vậy anh ta không nhận tội.
handbook-064	検察官が証拠によって証明しようとする事実を述べますので、被告人は聞いていてください。	The defendant should listen as the prosecutor states the facts that he intends to prove by evidence.	被告应该听取检察官陈述他打算通过证据证明的事实。	Bị cáo nên lắng nghe khi công tố viên nêu các sự kiện mà anh ta dự định chứng minh bằng bằng chứng.
handbook-068	それでは、弁護人の冒頭陳述を申し上げます。	Now, I would like to present my opening statement by the defense counsel.	现在，我想介绍辩护律师的开场白。	Bây giờ, tôi muốn trình bày tuyên bố mở đầu của luật sư bào chữa.
handbook-069	被告人は、本件犯行を行っておらず、無罪です。	The defendant did not commit the crime and is not guilty.	被告没有犯罪，无罪。	Bị cáo không phạm tội và không có tội.
handbook-071	次に、公判前整理手続の結果を明らかにする手続を行います。	Next, we will carry out procedures to clarify the results of the pretrial settlement proceedings.	接下来，我们将执行程序以明确审前和解程序的结果。	Tiếp theo, chúng tôi sẽ tiến hành các thủ tục làm rõ kết quả của thủ tục giải quyết tiền xét xử.
handbook-072	この公判に先立ち、裁判所、検察官、弁護人の3者によって行われた公判前整理手続の結果、本件における主たる争点は、次の2点であることが明らかになっています。	As a result of the pre-trial arrangement proceedings conducted by the court, the prosecutor, and defense counsel prior to the trial, it became clear that the following two points were the main issues in this case.	根据法院、检察官和辩护律师在审判前进行的审前安排程序，很明显以下两点是本案的主要问题。	Kết quả của các thủ tục sắp xếp trước khi xét xử được tiến hành bởi tòa án, công tố viên và luật sư bào chữa trước khi xét xử, rõ ràng là hai điểm sau đây là vấn đề chính trong trường hợp này.
handbook-074	以上の事実を立証するため、証拠等関係カード(甲)(乙)記載の各証拠の取調べを請求します。	In order to prove the above facts, we request an examination of each piece of evidence listed on the evidence card (A) and (B).	为了证明上述事实，我们要求对证据卡 （A） 和 （B） 上列出的每一项证据进行审查。	Để chứng minh các sự kiện trên, chúng tôi yêu cầu kiểm tra từng phần chứng cứ được liệt kê trên thẻ chứng cứ (A) và (B).
handbook-075	弁護人、御意見はいかがですか。	Defense attorney, what is your opinion?	辩护律师，你怎么看？	Luật sư bào chữa, ý kiến của bạn là gì?
handbook-076	すべて同意します。	I agree with them all.	我都同意他们的观点。	Tôi đồng ý với tất cả.
handbook-077	甲3号証と甲4号証の目撃者Aの検察官と司法警察員に対する供述調書については不同意です。	I disagree with the statement of witness A to the prosecutor and judicial police officer in Exhibit A 3 and Witness A4.	我不同意证人 A 在证据 A 3 和证人 A4 中向检察官和司法警官的陈述。	Tôi không đồng ý với lời khai của nhân chứng A với công tố viên và cảnh sát tư pháp trong Phụ lục A 3 và Nhân chứng A4.
handbook-078	その余の各証拠は同意します。	Each of the remaining pieces of evidence agrees.	其余证据都一致。	Mỗi bằng chứng còn lại đều đồng ý.
handbook-079	証拠物については異議ありません。	There is no objection to the evidence.	对证据没有异议。	Không có sự phản đối đối với bằng chứng.
handbook-080	乙3号証の被告人の司法警察員に対する供述調書は、取調べ警察官の脅迫により録取されたものであり、任意性を争います。	The affidavit of the accused in Exhibit No. 3 to a judicial police officer was recorded at the intimidation of the interrogating police officer and is disputed as voluntary.	证据 3 中被告向司法警官提供的宣誓书是在审讯警官受到恐吓时记录的，并被质疑为自愿。	Bản tuyên thệ của bị cáo trong Vật chứng số 3 gửi cho một sĩ quan cảnh sát tư pháp đã được ghi lại khi cảnh sát thẩm vấn đe dọa và được tranh cãi là tự nguyện.
handbook-081	乙5号証の被告人の司法警察員に対する供述調書は、供述録取に際し、共犯者をかばって供述したものであるので、その調書には信用性がありません。	The statement of the accused in Exhibit No. 5 to the judicial police officer is not credible because it was made in the cover of an accomplice at the time of taking the affidavit.	证据 5 中被告对司法警官的陈述不可信，因为它是在接受宣誓书时以同伙为掩护做出的。	Lời khai của bị cáo trong Phụ lục số 5 với cảnh sát tư pháp là không đáng tin cậy vì nó được đưa ra dưới vỏ bọc của một đồng phạm tại thời điểm lấy bản tuyên thệ.
handbook-082	乙9号証の被告人の検察官に対する供述調書は、検討中のため意見を留保します。	The affidavit of the accused in Exhibit No. 9 to the Public Prosecutor is under consideration and I reserve my opinion.	证据 9 中被告向检察官提交的宣誓书正在考虑中，我保留我的意见。	Bản tuyên thệ của bị cáo trong Phụ lục số 9 gửi Công tố viên đang được xem xét và tôi bảo lưu ý kiến của mình.
handbook-083	それでは、同意のあった各証拠は採用し、取り調べることにします。	Then, each piece of consensual evidence will be adopted and examined.	然后，每一条双方同意的证据都将被采纳和审查。	Sau đó, mỗi bằng chứng đồng thuận sẽ được thông qua và kiểm tra.
handbook-084	検察官、書証の要旨を告知し、証拠物を示してください。	The prosecutor should give you a summary of the letter and show the evidence.	检察官应该给你一封信的摘要并出示证据。	Công tố viên nên cung cấp cho bạn một bản tóm tắt của bức thư và đưa ra bằng chứng.
handbook-085	検察官が書証の要旨を告げますので、被告人は聞いていてください。	The prosecutor will give you a summary of the testimony, so the defendant should listen.	检察官会给你一份证词摘要，所以被告应该听。	Công tố viên sẽ cung cấp cho bạn một bản tóm tắt lời khai, vì vậy bị cáo nên lắng nghe.
handbook-086	甲1号証は、 司法警察員作成の捜査報告書です。被告人の出入国状況を示したもので、「被告人は、平成○○年10月14日、Y国から、短期在留資格（90日）の条件で来日した。在留資格は、平成○○年1月12日までとなっているが、在留期間の更新は受けていない。」という内容です。	Exhibit A No. 1 is an investigation report prepared by a member of the judicial police. It shows the entry and exit status of the accused, and states that "the defendant came to Japan from Country Y on October 14, 2000 under the condition of a short-term status of residence (90 days). It is the content.	证据 A 1 号是由司法警察准备的调查报告。 它显示了被告的出入境状况，并指出“被告于 2000 年 10 月 14 日以短期在留资格（90 天）的条件从 Y 国来到日本”。而是内容。	Phụ lục A số 1 là một báo cáo điều tra do một thành viên của cảnh sát tư pháp chuẩn bị. Nó cho thấy tình trạng xuất nhập cảnh của bị cáo, và nói rằng "bị cáo đến Nhật Bản từ Quốc gia Y vào ngày 14 tháng 10 năm 2000 với điều kiện tình trạng lưu trú ngắn hạn (90 ngày). Đó là nội dung.
handbook-087	甲2号証は、被告人の婚約者甲野花子の司法警察員に対する供述調書です。内容は被告人の生活状況です。	Exhibit A No. 2 is a statement from the defendant's fiancée, Hanako Kono, to a judicial police officer. The content is the living conditions of the accused.	证据 A 2 号是被告的未婚妻河野花子 （Hanako Kono） 向一名司法警官提供的陈述。 内容是被告的生活条件。	Vật chứng A số 2 là một tuyên bố từ vị hôn thê của bị cáo, Hanako Kono, với một sĩ quan cảnh sát tư pháp. Nội dung là điều kiện sống của bị can.
handbook-088	乙1号証は、被告人の司法警察員に対する供述調書です。被告人の身上、 経歴等を述べたものです。	Exhibit No. 1 is a statement of the accused to a member of the judicial police. It describes the personal and career of the accused.	证据 1 是被告对司法警察的陈述。 它描述了被告的个人和职业。	Vật chứng số 1 là lời khai của bị cáo với một thành viên của cảnh sát tư pháp. Nó mô tả cá nhân và sự nghiệp của bị cáo.
handbook-089	乙2号証、乙3号証は、被告人の司法警察員に対する供述調書であり、乙4号証は、被告人の検察官に対する供述調書です。	Exhibits No. 2 and B3 are statements made by the accused to judicial police officers, and Exhibits No. 4 are statements made by the accused to the public prosecutor.	证物 2 和 B3 是被告向司法警官所做的陈述，证物 4 是被告向检察官所做的陈述。	Vật chứng số 2 và B3 là lời khai của bị cáo với các sĩ quan cảnh sát tư pháp, và Vật chứng số 4 là lời khai của bị cáo với công tố viên.
handbook-090	乙2号証から乙4号証は、いずれも被告人が本件の犯行状況について述べたものですので、乙4号証でまとめて要旨を告げます。	Exhibits No. 2 to B4 are all statements by the accused about the circumstances of the crime in this case, so the summary is summarized in Exhibit B4.	证物 2 至 B4 都是被告对本案犯罪情况的陈述，因此摘要总结在证物 B4 中。	Vật chứng số 2 đến B4 đều là lời khai của bị cáo về tình tiết tội phạm trong vụ án này, vì vậy bản tóm tắt được tóm tắt trong Phụ lục B4.
handbook-091	私は、日本で働いてお金を稼ぐために、平成○○年10月14日、Y国から、日本に来ました。	I came to Japan from Country Y on October 14, 2010, in order to earn money by working in Japan.	我于 2010 年 10 月 14 日从 Y 国来到日本，为了在日本工作赚钱。	Tôi đến Nhật Bản từ Quốc gia Y vào ngày 14 tháng 10 năm 2010, để kiếm tiền bằng cách làm việc ở Nhật Bản.
handbook-092	日本では、最初に鈴木建設という会社で働き、次に田中土建という会社で働きました。	In Japan, I first worked for a company called Suzuki Construction and then for a company called Tanaka Doken.	在日本，我首先在一家名为 Suzuki Construction 的公司工作，然后在一家名为 Tanaka Doken 的公司工作。	Ở Nhật Bản, lần đầu tiên tôi làm việc cho một công ty tên là Suzuki Construction và sau đó cho một công ty tên là Tanaka Doken.
handbook-093	在留期間が平成○○年1月12日までということは分かっていましたが、お金を稼ぎたいのでそのまま日本にいました。	I knew that my period of stay would be until January 12, Heisei XX, but I wanted to make money, so I stayed in Japan.	我知道我的逗留期限会到平成 XX 年 1 月 12 日，但我想赚钱，所以我留在了日本。	Tôi biết rằng thời gian lưu trú của mình sẽ đến ngày 12 tháng 1 Heisei XX, nhưng tôi muốn kiếm tiền, vì vậy tôi ở lại Nhật Bản.
handbook-094	乙5号証は、被告人の身上関係についての捜査報告書です。	Exhibit No. 5 is an investigation report on the personal relationship of the accused.	证据 5 是一份关于被告个人关系的调查报告。	Phụ lục số 5 là báo cáo điều tra về mối quan hệ cá nhân của bị cáo.
handbook-095	検察官、不同意とされた証拠についてはどうされますか。	Prosecutor, what do you do about the evidence that you disagree?	检察官，你如何处理你不同意的证据？	Công tố viên, ông làm gì với bằng chứng mà ông không đồng ý?
handbook-096	撤回して、証人Aを申請します。	Withdraw and apply for Witness A.	退出并申请证人 A。	Rút lại và nộp đơn cho Nhân chứng A.
handbook-098	しかるべく。	Accordingly.	因此。	Phù hợp.
handbook-099	それでは、Aを証人として採用します。	Now, let's take A as a witness.	现在，让我们以 A 作为证人。	Bây giờ, chúng ta hãy lấy A làm nhân chứng.
handbook-100	ただいまから、あなたをこの事件の証人として尋問しますから、まずうそをつかないという宣誓をしてください。	From now on, I will interrogate you as a witness in this case, so please swear an oath that you will not lie.	从现在开始，我将作为本案的证人审问您，因此请发誓您不会撒谎。	Từ giờ trở đi, tôi sẽ thẩm vấn bạn với tư cách là nhân chứng trong trường hợp này, vì vậy xin hãy thề rằng bạn sẽ không nói dối.
handbook-101	その宣誓書を朗読してください。	Read the oath aloud.	大声宣读誓言。	Đọc to lời thề.
handbook-102	宣誓 良心に従って真実を述べ、何事も隠さず、偽りを述べないことを誓います。	Oath We swear to speak the truth according to our conscience, not to hide anything, not to tell lies.	誓言 我们发誓要凭良心说真话，不隐瞒任何事情，不说谎话。	Lời thề Chúng ta thề sẽ nói sự thật theo lương tâm của chúng ta, không che giấu bất cứ điều gì, không nói dối.
handbook-104	証人は、今宣誓したように本当のことを証言してください。	Witnesses should testify to the truth as they have just been sworn in.	证人应该证明真相，因为他们刚刚宣誓就职。	Các nhân chứng nên làm chứng cho sự thật khi họ vừa tuyên thệ.
handbook-105	もし宣誓した上で虚偽の証言をすると、偽証罪で処罰されることがあります。	If you give false testimony under oath, you may be punished under penalty of perjury.	如果您在宣誓后提供虚假证词，您可能会受到伪证罪的处罚。	Nếu bạn đưa ra lời khai sai sự thật dưới lời thề, bạn có thể bị trừng phạt theo hình phạt khai man.
handbook-106	証人が証言することによって証人自身又は証人の近親者が刑事訴追を受けたり、有罪の判決を受けるおそれのある事柄については、証言を拒むことができますから、その場合には申し出てください。	If the testimony of a witness may result in the witness or the witness's immediate family being criminally prosecuted or convicted, the witness may refuse to testify.	如果证人的证词可能导致证人或证人的直系亲属受到刑事起诉或定罪，证人可以拒绝作证。	Nếu lời khai của người làm chứng có thể dẫn đến việc người làm chứng hoặc gia đình trực hệ của người làm chứng bị truy tố hình sự hoặc bị kết án thì người làm chứng có quyền từ chối làm chứng.
handbook-107	弁護人のただいまの発問は、誘導尋問ですから、異議を申し立てます。	The defense attorney's current question is a leading question, so I will object to it.	辩护律师目前的问题是引导性问题，所以我会反对它。	Câu hỏi hiện tại của luật sư bào chữa là một câu hỏi dẫn đầu, vì vậy tôi sẽ phản đối nó.
handbook-108	反対尋問においては、誘導尋問も許されるので、検察官の異議の申立ては、理由がないと思料いたします。	In cross-examination, leading cross-examination is also permitted, so the prosecutor's objection is considered to be without merit.	在交叉询问中，也允许引导交叉询问，因此检察官的反对被认为是没有根据的。	Trong kiểm tra chéo, việc kiểm tra chéo hàng đầu cũng được cho phép, vì vậy sự phản đối của công tố viên được coi là không có cơ sở.
handbook-109	異議を棄却します。	Reject the objection.	拒绝反对意见。	Từ chối phản đối.
handbook-110	証人尋問を終わります。	Conclude the witness examination.	结束证人询问。	Kết thúc cuộc thẩm vấn nhân chứng.
