id	source_japanese	llama_english	llama_chinese	llama_vietnamese	
handbook-011	あなたが経済的な理由などで自分の費用で弁護人を選任することができないときは、裁判官に弁護人の選任を請求することができます。	"When you cannot appoint a lawyer at your own expense for economic reasons or the like, you can request the judge to appoint a lawyer."	如果因为经济原因等不能自费聘请律师时，可以要求法官指定律师。	Khi bạn không thể tự chọn luật sư vì lý do kinh tế hoặc các lý do khác để chịu chi phí thì bạn có thể yêu cầu thẩm phán chỉ định luật sư.	
handbook-012	この請求をする場合には、資力申告書を提出しなければなりません。	"When making this claim, a statement of means must be submitted."	在提出此项请求时，必须提交资力申报书。	"Khi thực hiện yêu cầu này, bạn phải nộp bản kê khai tài sản."	
handbook-013	また、資力申告書の資力の合計額が50万円以上の場合には、あらかじめ、○○弁護士会に弁護人の選任の申出をしていなければなりません。	"Furthermore, if the total amount of property in the property statement is 500,000 yen or more, a request for the appointment of a defense counsel must be made in advance to the ○○ Bar Association."	另外，在資力申告書中的資力總額超過50萬日元的情況下，事先必須向○○律師協會申請任命律師。	Nếu tổng số tiền trong bản khai thế lực tài sản của bản khai tư cách tài sản từ 500.000 yên trở lên thì phải đề nghị trước với hội luật sư ○○ về việc bổ nhiệm luật sư.	
handbook-014	あなたに、罪を犯したと疑うに足りる相当な理由があり、かつ、住居が不定であるか、証拠を隠滅したり逃亡したりすることを疑うに足りる相当な理由がある場合には、勾留されることになるかもしれません。	"If there is a reasonable ground to suspect that you have committed a crime and also a reasonable ground to suspect that you have no fixed residence or that you may conceal or destroy evidence or flee, you may be detained."	如果你有足够的理由被怀疑犯了罪，同时你没有固定的住所，或者有足够的理由被怀疑会毁灭证据或者逃跑，你可能会被拘留。	"Nếu bạn có lý do đáng kể để nghi ngờ đã phạm tội và bạn không có nơi cư trú nhất định hoặc có lý do đáng kể để nghi ngờ bạn sẽ tiêu hủy chứng cứ hoặc bỏ trốn, thì bạn có thể bị giam giữ."	
handbook-015	勾留される期間は、原則として10日間です。	"The period of detention is, in principle, 10 days."	拘留的期限是，原则上为１０天。	Thời gian bị tạm giữ thường là 10 ngày.	
handbook-016	しかし、場合によっては、10日たつ前に釈放されることもありますし、更に10日以内の日数勾留が延長されることもあります。	"However, depending on the case, they may be released before 10 days have passed, or they may have their detention extended by a number of days within 10 days."	但是，在某些情况下，也有可能在10天到来之前被释放，也有可能在10天以内追加日数的拘留。	"Tuy nhiên, trong một số trường hợp, họ có thể được phóng thích trước khi 10 ngày trôi qua, hoặc họ cũng có thể bị gia hạn giam giữ thêm 10 ngày nữa."	
handbook-017	それでは、勾留請求の理由となっている犯罪事実を読むのでよく聞いてください。	"Now, I am going to read the facts of the crime which are the reason for the request for detention, so please listen carefully."	那麼，請大家注意聽，現在要宣讀與羈押申請有關的犯罪事實。	"Bây giờ, tôi sẽ đọc các tình tiết tội phạm làm căn cứ để yêu cầu tạm giam, xin các bạn hãy lắng nghe kỹ."	
handbook-018	その後で、これに対して言いたいことがあったら述べてください。	"After that, please state if you have anything to say in response to this."	之后，如有需要补充的话，请提出。	"Sau đó, nếu có gì muốn nói về việc này thì hãy trình bày."	
handbook-019	被疑者は、平成○○年10月10日午後6時50分ころ、○○市丸山町1番1号所在の株式会社甲百貨店(代表取締役甲野太郎)本店3階貴金属売場において、同社所有のダイヤモンド指輪1個(時価300万円相当)を自己の背広の内側ポケットに入れて窃取したものである。	"The suspect, at around 6:50 PM on October 10, Heisei ○○, at the main store's third floor precious metal sales floor of Kabushiki Kaisha Kō Hyakkaten (Representative Director Kō Tarō) located at 1-1 Maruyama-chō, ○○ City, stole one diamond ring (worth 3,000,000 yen) belonging to the company by putting it in the inside pocket of their own suit."	被疑者于平成○○年10月10日下午6时50分左右，在位于○○市丸山町1番1号的株式会社甲百货店（代表董事长甲野太郎） 본店3楼贵金属卖场内，向该公司所有的一枚钻石戒指（价值约300万元）放入自己的西装内侧口袋，予以窃取。	"Bị can đã vào khoảng 18 giờ 50 phút ngày 10 tháng 10 năm 平成○○, tại sàn bán trang sức quý kim thuộc tầng 3 ของ cửa hàng chính công ty cổ phần百貨店甲 (đại diện điều hành là 甲野太郎), địa chỉ số 1-1 thị trấn丸山, thành phố○○, đã cướp một chiếc nhẫn kim cương thuộc sở hữu của cùng công ty này (có giá trị tương đương 300 triệu yên) và đã cho vào túi bên trong áo vest của mình."	
handbook-021	身に覚えがありません。	I have no memory of it.	我没有任何记忆。	Tôi không nhớ đã làm gì.	
handbook-022	検察庁で述べたとおりです。	As I stated at the prosecutor's office.	检察厅说过的和那样。	Đó là như tôi đã nói tại văn phòng kiểm sát.	
handbook-023	あなたが勾留されることになった場合には、裁判所から弁護人あてにその旨を通知します。	"In the event that you are detained, the court will notify your attorney to that effect."	如果您被拘留，则法院将通知您的律师。	"トรong trường hợp bạn bị tạm giam, tòa án sẽ thông báo về việc đó cho luật sư của bạn."	
handbook-024	弁護人がない場合には、国内にいるあなたの配偶者、親兄弟等のうち、あなたが指定する1人に通知します。	"In the event that you do not have a lawyer, notice will be given to one of your spouse, parents, siblings, etc. who are in the country, as specified by you."	如果没有辩护律师，则通知国内的你的配偶者、亲兄弟等中的你指定的1人。	"Nếu không có luật sư, thì sẽ thông báo cho một người trong số những người thân nào đó của anh/chị đang ở trong nước mà anh/chị chỉ định, chẳng hạn như vợ/chồng, cha mẹ, anh/chị/em ruột."	
handbook-025	また、弁護人もそのような家族もない場合には、雇主とか知人などのうちからあなたが指定する1人に通知します。	"If there is neither a defense attorney nor such a family member, the notification will be made to one person designated by you among the employer or acquaintances."	并且，如果没有辩护人和这种家庭成员，那么雇主或者熟人等中由你指定的一人将会被通知。	Nếu không có luật sư hoặc người thân thì sẽ thông báo cho một người mà bạn chỉ định trong số những người như người sử dụng lao động hoặc người quen.	
handbook-026	通知先の氏名、住居、電話番号を述べてください。	"Please state the name, address, and phone number of the person to be notified."	请说明通知对象的姓名、住所和电话号码。	"Xin vui lòng nêu rõ họ tên, nơi cư trú, số điện thoại của người được thông báo."	
handbook-027	日本にいる兄に連絡してください。	Please contact my brother who is in Japan.	请与在日本的哥哥联系。	Hãy liên hệ với anh trai bạn ở Nhật Bản.	
handbook-030	私と同じところに住んでいます。	Live in the same place as me.	他也住在我相同的地方。	Anh ấy sống ở cùng một nơi với tôi.	
handbook-031	あなたは、○○国国民として、領事関係に関するウィーン条約第36条第1項(b)の規定により、勾留の事実を○○国領事官に通報することを要求しますか。	"Do you request, as a national of ○○, pursuant to the provisions of Article 36, paragraph 1 (b) of the Vienna Convention on Consular Relations, that the fact of your detention be notified to the competent consular officer of ○○."	你作为○○国公民，根据领事关系有关的维也纳公约第36条第1项（b）的规定，要求通知○○国领事官关于逮捕事实吗？	"Bạn có muốn thông báo cho viên chức lãnh sự của quốc gia ○○ về việc bạn bị giam giữ theo quy định tại Điều 36, khoản 1, điểm b của Công ước Vienna về quan hệ lãnh sự không?"	
handbook-032	通報することを要求します。<要求しません。>	I request that you report. <I do not request.>	要求通報。<不要求通報。>	Yêu cầu phải báo cáo.<Không yêu cầu.>	
handbook-033	なお、領事機関に対しては、我が国の法令に反しない限り、信書を発することができます。	"As for the consular offices, documents can be issued as long as they do not violate the laws and ordinances of our country."	对于领事机构来说，除非违反我国法律法规，否则可以发放文书。	"Về cơ quan lãnh sự, có thể cấp giấy tờ nếu không trái với pháp luật của quốc gia tôi."	
handbook-034	あなたが述べたことを調書に書きましたので、それを読み上げます。	"What you have stated has been written in the record, and now I will read it out."	我已将你陈述的内容记录在案，现在将其宣读。	"Chúng tôi đã ghi lại những gì bạn đã nói vào biên bản, vì vậy bây giờ tôi sẽ đọc to nó lên."	
handbook-035	間違いなければここに署名して、左人指し指で指印してください。	"If there are no errors, please sign here and affix your fingerprint with your left index finger."	如果没有错误，请在这里签名并用左手食指按手印。	"Nếu không có lỗi, xin ký tên vào đây và đóng dấu vân tay ngón trỏ bên trái."	
handbook-037	良心に従って誠実に通訳をすることを誓います。	I swear to interpret faithfully and honestly according to my conscience.	我宣誓，要按照良心，诚实地进行翻译。	Tôi xin thề sẽ dịch thông qua trung thực theo lương tâm của mình.	
handbook-038	被告人は前に出てください。	"The defendant, please come forward."	被告人请站出来。	Bị cáo hãy bước ra trước.	
handbook-039	<被告人は起立してください。>	The defendant will rise.	被告人请起立。	Bị cáo hãy đứng dậy.	
handbook-045	それでは、これから被告人に対する○○被告事件についての審理を始めます。	"Now, we will begin the trial regarding the ○○ defendant case against the defendant."	那么，现在开始对○○被告事件的被告人进行审理。	"Bây giờ, chúng ta sẽ bắt đầu xét xử vụ án của bị cáo về vụ việc ○○."	
handbook-046	起訴状は受け取っていますね。	The indictment has been received.	起訴书我收到了。	Tôi nhận được cáo trạng rồi.	
handbook-047	まず起訴状が朗読されますから、被告人は聞いていてください。	"The indictment will be read first, so the defendant should listen."	先行审读起诉书，请被告听清楚。	"Trước hết là đọc bản cáo trạng,所以 bị cáo hãy nghe."	
handbook-048	検察官、起訴状を朗読してください。	"Prosecutor, please read the indictment."	检察官，请朗读起诉书。	"Viện kiểm sát, hãy đọc to cáo trạng."	
handbook-049	これから、今朗読された事実についての審理を行いますが、審理に先立ち被告人に注意しておきます。	"From now on, a trial will be held regarding the facts that have just been read, but before the trial, the defendant is cautioned."	接下来，将对刚才宣读的事实进行审理，在审理之前，先提醒被告。	"Từ giờ, chúng tôi sẽ tiến hành xét xử về các sự kiện vừa được đọc lên, nhưng trước khi xét xử, tôi muốn lưu ý cho bị cáo biết."	
handbook-051	したがって、被告人は答えたくない質問に対しては答えを拒むことができますし、また、始めから終わりまで黙っていることもできます。	"Therefore, the defendant can refuse to answer questions that they do not want to answer, and they can also remain silent from start to finish."	因此，被告人可以拒绝回答不愿回答的问题，同时也可以从头到尾保持沉默。	"do đó, bị cáo có thể từ chối trả lời những câu hỏi mà họ không muốn trả lời và cũng có thể im lặng từ đầu đến cuối."	
handbook-052	もちろん質問に対して答えたいときには答えてよいですが、被告人がこの法廷で述べたことは、被告人に有利不利を問わず証拠として用いられることがありますから、そのことを念頭に置いて答えるようにしてください。	"Of course, you may answer questions when you want to, but please keep in mind that what the defendant says in this court may be used as evidence, whether it is favorable or unfavorable to the defendant."	当然，如果您想回答问题可以回答，但是被告在法庭上所说的话，无论对被告人是否有利，都可能作为证据使用，因此请您在这种情况下 trả lời。	"Tất nhiên khi muốn trả lời câu hỏi thì có thể trả lời, tuy nhiên những gì bị cáo nói ở phiên tòa này có thể được sử dụng làm bằng chứng bất lợi hoặc có lợi cho bị cáo, vì vậy xin trả lời với điều đó trong tâm trí."	
handbook-053	検察官が今読んだ事実について何か述べることはありますか。	Do you have anything to say about the facts that the prosecutor just read?	检察官刚才读的那些事实，您有什麼想要发表的意见嗎。	Viện kiểm sát vừa đọc những tình tiết gì có muốn nói không?.	
handbook-054	事実はそのとおり間違いありません。	The fact is just that there is no mistake.	事实正如所言没有错误。	Sự thật là như vậy không có sai lầm.	
handbook-055	事実は身に覚えがありません。	The fact is that I have no recollection of it.	事实我没有印象。	Sự thật là tôi không có ấn tượng về điều đó.	
handbook-056	酒を飲んでいたので、よく覚えていません。	I don't remember very well because I was drinking alcohol.	我当时正在喝酒，所以不太记得了。	Tôi đã uống rượu nên tôi không nhớ rõ.	
handbook-057	物を取ったのは確かですが、人は殺していません。	"I did take the thing, but I did not kill the person."	拿走了东西这是肯定的，但是并没有杀人。	Chắc chắn đã lấy đồ nhưng không giết người.	
handbook-058	被害者を刺したのは確かですが、殺すつもりはありませんでした。	"It is certain that I stabbed the victim, but I did not intend to kill."	被害者被刺了是事实，但并无杀意。	"Đã chắc chắn là bị hại đã bị đâm, nhưng không có ý định giết."	
handbook-060	被告人には、窃盗の故意がないので、無罪を主張します。	The defendant claims to be not guilty because there is no intention of theft.	被告人沒有盗窃的故意，所以主张无罪。	"Bị cáo không có ý định trộm cắp, vì vậy chúng tôi khẳng định bị cáo vô tội."	
handbook-061	被告人には、窃盗の実行の着手がありませんので、無罪を主張します。	"The defendant did not start the execution of the theft, so we plead not guilty."	被告人没有实施盗窃的着手，因此主张无罪。	Bị cáo không có hành vi bắt đầu thực hiện hành vi trộm cắp nên chúng tôi chủ张 vô tội.	
handbook-062	被告人の行為は正当防衛に当たるので、無罪を主張します。	"The defendant's act constitutes self-defense, so we plead not guilty."	被告人的行为属于正当防卫，所以主张无罪。	"Hành động của bị cáo thuộc về tự vệ chính đáng, vì vậy chúng tôi tuyên bố bị cáo vô tội."	
handbook-064	検察官が証拠によって証明しようとする事実を述べますので、被告人は聞いていてください。	"The prosecutor will state the facts to be proved by the evidence, so the defendant should listen."	检察官将通过证据证明所要证明的事实，请被告人听着。	"Viện kiểm sát sẽ trình bày các sự kiện mà họ sẽ chứng minh bằng chứng cứ, nên bị cáo hãy nghe kỹ."	
handbook-068	それでは、弁護人の冒頭陳述を申し上げます。	"Now, the defense attorney's opening statement will be presented."	那么，现在开始辩护人的开庭陈述。	Giờ thì luật sư sẽ bắt đầu trình bày luận điểm của mình.	
handbook-069	被告人は、本件犯行を行っておらず、無罪です。	The defendant did not commit the crime in question and is not guilty.	被告人没有实施本件犯罪行为，是无罪的。	Bị cáo không thực hiện tội phạm này và không có tội.	
handbook-071	次に、公判前整理手続の結果を明らかにする手続を行います。	"Next, the procedure to reveal the results of the pre-trial arrangement proceedings will be conducted."	然后进行公判前整理手续的结果公开的程序。	"Tiếp theo, sẽ tiến hành thủ tục làm rõ kết quả của quá trình chuẩn bị xét xử."	
handbook-072	この公判に先立ち、裁判所、検察官、弁護人の3者によって行われた公判前整理手続の結果、本件における主たる争点は、次の2点であることが明らかになっています。	"As a result of the pre-trial arrangement proceedings conducted by the three parties, namely the court, the prosecutor, and the defense attorney, prior to this trial, it has become clear that the main points of contention in this case are the following two points."	在本庭审之前，法院、检察官、辩护人三方进行了公判前整理手续，结果本件中的主要争点有以下两点已经明确。	"Trước khi xét xử, kết quả của quá trình chuẩn bị trước xét xử được thực hiện bởi трех bên là tòa án, bên kiểm sát và bên luật sư đã làm rõ rằng, điểm tranh luận chủ yếu trong vụ việc này là hai điểm sau đây."	
handbook-074	以上の事実を立証するため、証拠等関係カード(甲)(乙)記載の各証拠の取調べを請求します。	"For the purpose of proving the above facts, we request examination of each piece of evidence described in the evidence-related cards (A)(B)."	为了证明上述事实，请求对证据等相关卡片(甲)(乙)载明的各项证据进行调查。	"Để chứng minh những sự kiện trên, chúng tôi yêu cầu điều tra các chứng cứ được ghi trong thẻ liên quan (甲)(乙) như đã nêu."	
handbook-075	弁護人、御意見はいかがですか。	"Counsel, what is your opinion?"	律师，你的意见怎么样。	"Luật sư, ý kiến của quý vị như thế nào?"	
handbook-076	すべて同意します。	I agree to all of it.	我同意一切。	Tôi đồng ý với tất cả.	
handbook-077	甲3号証と甲4号証の目撃者Aの検察官と司法警察員に対する供述調書については不同意です。	"Regarding the statement records of witness A to the prosecutor and judicial police officer for Exhibit 3 and Exhibit 4, I do not agree."	甲3号证和甲4号证的目击者A对检察官和司法警察员的供述笔录我不同意。	"Về biên bản lời khai của nhân chứng A với kiểm sát viên và cảnh sát tư pháp trong chứng cứ số 3 và chứng cứ số 4, chúng tôi không đồng ý."	
handbook-078	その余の各証拠は同意します。	The remainder of each piece of evidence agrees.	其他所有的证据都是如此。	Tất cả các bằng chứng còn lại đều đồng ý.	
handbook-079	証拠物については異議ありません。	There are no objections regarding the evidence.	证据物关于这一点没有异议。	Về vật chứng thì không có ý kiến gì.	
handbook-080	乙3号証の被告人の司法警察員に対する供述調書は、取調べ警察官の脅迫により録取されたものであり、任意性を争います。	The transcript of the defendant's statement to the judicial police officer in Exhibit 3 is contested for voluntariness as it was taken under duress by the interrogating police officer.	乙3号证中的被告人对司法警察员的供述笔录是由审讯警官的胁迫而录取的，存在任意性有争议。	"Bản khai của bị cáo trong biên bản tố tụng số 3 được lấy dưới sự đe dọa của điều tra viên công an, và tính tự nguyện của nó là có vấn đề."	
handbook-081	乙5号証の被告人の司法警察員に対する供述調書は、供述録取に際し、共犯者をかばって供述したものであるので、その調書には信用性がありません。	"The transcript of the defendant's statement to the judicial police officer, Exhibit Ro5, lacks credibility because it was made to shield accomplices during the statement."	被告人对司法警察员的供述笔录是乙5号证，供述时为了袒护同案犯，所以该笔录内容不可信。	"Bản ghi供述 của bị cáo trong tư cách là cán bộ cảnh sát tư pháp số 5 không đáng tin cậy vì khi khai báo, đã che giấu đồng phạm và khai báo."	
handbook-082	乙9号証の被告人の検察官に対する供述調書は、検討中のため意見を留保します。	"The defendant's statement to the prosecutor, which is Exhibit 9, is being reviewed, so I reserve my opinion."	乙9号证的被告人对检察官的供述笔录，正在审查中，因此保留意见。	"Bản ghi lời khai của bị cáo đối với biên bản số 9 về việc thẩm vấn của kiểm sát viên đang được xem xét, vì vậy tôi giữ lại ý kiến."	
handbook-083	それでは、同意のあった各証拠は採用し、取り調べることにします。	"Now, each item of evidence that has been agreed upon will be adopted and examined."	那么，同意的各个证据采纳并进行调查。	"Vậy thì, mọi bằng chứng đã được đồng ý sẽ được chấp nhận và thẩm vấn."	
handbook-084	検察官、書証の要旨を告知し、証拠物を示してください。	"Prosecutor, please notify the gist of the documentary evidence and show the evidence."	检察官，说明书面证据的要点，并出示证据物品。	Viện kiểm sát cần thông báo tóm tắt về nội dung của tài liệu chứng cứ và trình bày vật chứng.	
handbook-085	検察官が書証の要旨を告げますので、被告人は聞いていてください。	"The prosecutor will state the gist of the documentary evidence, so the defendant should listen."	检察官将宣读书面证据的要点，被告请您仔细聆听。	"Viện kiểm sát sẽ đọc tóm tắt nội dung của chứng cứ bằng văn bản, người bị cáo nên chú ý nghe."	
handbook-086	甲1号証は、 司法警察員作成の捜査報告書です。被告人の出入国状況を示したもので、「被告人は、平成○○年10月14日、Y国から、短期在留資格（90日）の条件で来日した。在留資格は、平成○○年1月12日までとなっているが、在留期間の更新は受けていない。」という内容です。	"Document Ko 1 is a investigative report written by a judicial police officer and shows the defendant's entry and exit situation, stating ""The defendant entered Japan from country Y on October 14, Heisei , with a short-term stay qualification under the condition of 90 days, and the qualification of stay is until January 12, Heisei , but the defendant has not received an extension of the stay period."""	甲1号证是司法警察人员制作的调查报告，表明被告人的出入国情况，内容为“被告人于平成○○年10月14日，从Y国入境，持短期停留资格（90天），停留资格截止至平成○○年1月12日，但未办理停留资格期间的更新手续”。	"Giấy số 1甲 là bản báo cáo điều tra do cảnh sát tư pháp lập, thể hiện tình trạng nhập xuất cảnh của bị cáo, trong đó ghi: ""Bị cáo đã nhập cảnh vào Nhật Bản từ nước Y vào ngày 14 tháng 10 năm ○○, với điều kiện lưu trú ngắn hạn 90 ngày, và tình trạng lưu trú được ấn định đến ngày 12 tháng 1 năm ○○, nhưng không được gia hạn thời gian lưu trú"""	
handbook-087	甲2号証は、被告人の婚約者甲野花子の司法警察員に対する供述調書です。内容は被告人の生活状況です。	"The Exhibit Ko 2 is a written statement by the defendant's fiancée, Ko no Hanako, to a judicial police officer, and its contents are the defendant's living situation."	甲二号证是被告人的婚约者甲野花子向司法警察员的陈述记录，内容是关于被告人的生活情况。	"Giấy chứng nhận số 2 là bản ghi lời khai của người được bảo lãnh là Kano Hanako đối với nhân viên cảnh sát tư pháp, nội dung là tình hình cuộc sống của bị cáo."	
handbook-088	乙1号証は、被告人の司法警察員に対する供述調書です。被告人の身上、 経歴等を述べたものです。	"The Kobetsu 1 document is a written statement of the defendant's deposition to the judicial police officer, which describes the defendant's personal history and background."	乙1号证是被告人对司法警察员的供述笔录，内容包括被告人的身世、经历等。	"Bằng chữ số 1 là bản khai nhận của bị cáo với cán bộ cảnh sát tư pháp, đó là giấy tờ thể hiện lý lịch, tiền án tiền sự cùng các thông tin khác của bị cáo."	
handbook-089	乙2号証、乙3号証は、被告人の司法警察員に対する供述調書であり、乙4号証は、被告人の検察官に対する供述調書です。	"Evidence Exhibit 2 and Exhibit 3 are the written records of the defendant's statements to the judicial police officer, and Exhibit 4 is the written record of the defendant's statements to the prosecutor."	乙２号证、乙３号证，是被告人对司法警察员的陈述笔录，乙４号证是被告人对检察官的陈述笔录。	"Bằng chứng số 2, bằng chứng số 3 là bản ghi lời khai của bị cáo đối với cảnh sát tư pháp, và bằng chứng số 4 là bản ghi lời khai của bị cáo đối với kiểm sát viên."	
handbook-090	乙2号証から乙4号証は、いずれも被告人が本件の犯行状況について述べたものですので、乙4号証でまとめて要旨を告げます。	"Evidence Exhibits 2 through 4 are all statements made by the defendant regarding the circumstances of the crime in question, so the main points will be reported collectively based on Exhibit 4."	乙2号证到乙4号证都是被告人对本案犯行情况的陈述，因此对乙4号证进行总结并宣告。	"Bằng chứng từ乙2 đến乙4 đều là những gì bị cáo đã trình bày về tình huống phạm tội trong vụ án này, vì vậy tôi sẽ tóm tắt trọng tâm của chúng ở bằng chứng乙4."	
handbook-091	私は、日本で働いてお金を稼ぐために、平成○○年10月14日、Y国から、日本に来ました。	"I came to Japan from Y country on October 14, Heisei ○○ to work and earn money in Japan."	我于平成○○年10月14日从Y国来到日本，是为了在日本工作并赚取钱。	Tôi đã đến Nhật Bản từ nước Y vào ngày 14 tháng 10 năm Heisei để làm việc và kiếm tiền ở Nhật Bản.	
handbook-092	日本では、最初に鈴木建設という会社で働き、次に田中土建という会社で働きました。	"In Japan, I worked at a company called Suzuki Construction first, and then I worked at a company called Tanaka Civil Engineering."	在日本，我先是在鈴木建設公司工作，接着又在田中土建公司工作。	"Tại Nhật Bản, tôi đã làm việc cho công ty Suzuki Xây dựng før, sau đó làm việc cho công ty Tanaka Xây dựng."	
handbook-093	在留期間が平成○○年1月12日までということは分かっていましたが、お金を稼ぎたいのでそのまま日本にいました。	"It was known that the period of stay was until January 12, XX, but I stayed in Japan as it was because I wanted to earn money."	知道滞在期限是平成○○年1月12日，但是因为想要赚钱，就这样一直留在了日本。	"Tôi đã biết thời gian lưu trú là cho đến ngày 12 tháng 1 năm Heisei, nhưng vì muốn kiếm tiền nên tôi đã ở lại Nhật Bản như vậy."	
handbook-094	乙5号証は、被告人の身上関係についての捜査報告書です。	Exhibit No. 5 is an investigative report regarding the defendant's personal background.	乙5号证是关于被告人身关系的调查报告书。	Bản số 5 là bản báo cáo điều tra về tình trạng của bị cáo.	
handbook-095	検察官、不同意とされた証拠についてはどうされますか。	"Prosecutor, what happens to the evidence that was not agreed upon?"	检察官，对于不被同意的证据将如何处理。	"Viện kiểm sát, về những chứng cứ không được chấp thuận thì sẽ xử lý như thế nào?"	
handbook-096	撤回して、証人Aを申請します。	I withdraw and apply for witness A.	撤回，並申请证人A出庭。	Thu hồi và đề nghị nhân chứng A.	
handbook-098	しかるべく。	It is so.	如是。	Đúng như vậy.	
handbook-099	それでは、Aを証人として採用します。	"Then, we will have A as a witness."	那么，就由A出庭作证吧。	"Vậy thì, chúng tôi sẽ tiếp nhận A làm nhân chứng."	
handbook-100	ただいまから、あなたをこの事件の証人として尋問しますから、まずうそをつかないという宣誓をしてください。	"From now on, I will interrogate you as a witness of this case, so please make an oath that you will not tell a lie first."	从现在开始，你作为本案的证人接受询问，请先宣誓不说谎。	"Từ giờ, bạn sẽ được thẩm vấn với tư cách là nhân chứng của vụ việc này, vì vậy trước hết xin hãy tuyên thệ không nói dối."	
handbook-101	その宣誓書を朗読してください。	Please read that affidavit.	请朗读那份宣誓书。	Hãy đọc to bản tuyên thệ đó.	
handbook-102	宣誓 良心に従って真実を述べ、何事も隠さず、偽りを述べないことを誓います。	"I swear to tell the truth, the whole truth, and nothing but the truth, conscientiously and faithfully."	宣誓 按照良心讲真话，什么都讲，有什么说什么，不讲假话。	"Tôi tuyên thệ theo lương tâm nói sự thật, không che giấu bất cứ điều gì, và không nói dối."	
handbook-104	証人は、今宣誓したように本当のことを証言してください。	The witness is asked to testify to the truth as sworn.	證人， 請根據剛才宣誓的內容如實作證。	"Người làm chứng, xin hãy khai báo sự thật như đã tuyên thệ trước đó."	
handbook-105	もし宣誓した上で虚偽の証言をすると、偽証罪で処罰されることがあります。	"If you testify falsely under oath, you may be punished for perjury."	如果在宣誓后作出虚假陳述，可能會受到偽證罪的处罚。	"Nếu bạn宣誓 rồi lại cung cấp lời khai sai sự thật, bạn có thể bị xử phạt về tội gian dối."	
