id	source_japanese	gpt_english	gpt_chinese	gpt_vietnamese
question-38	被告人が犯行現場にいたことを証明する証拠があるのではないですか？	Isn't there evidence proving that the defendant was at the crime scene?	是不是有证据证明被告人在犯罪现场？	Có phải không có bằng chứng chứng minh rằng bị cáo đã ở hiện trường vụ án không?
question-39	被告人のアリバイが成立しないということは明らかではないですか？	Isn't it clear that the defendant's alibi does not hold?	被告人的不在证明不成立不是显而易见的吗？	Có phải rõ ràng rằng chứng cứ vắng mặt của bị cáo không hợp lệ không?
question-40	被告人の証言は信じがたいですよね？	Isn't the defendant's testimony hard to believe?	被告的证词难以置信吧？	Lời khai của bị cáo khó mà tin được, phải không?
question-41	被告人の人権は、この場でどうして尊重されないのでしょうか？	Why aren't the defendant's human rights respected in this place?	为什么在这个场合被告人的人权不被尊重？	Tại sao quyền con người của bị cáo không được tôn trọng ở đây?
question-42	被告人の陳述は一貫していますよね？	The defendant's statement is consistent, isn't it?	被告的陈述是一贯的吗？	Bản tường trình của bị cáo có nhất quán không?
question-43	被告人はその現場にいなかったのではありませんか？	Wasn't the defendant not at the scene?	被告不在现场吗？	Bị cáo chẳng phải đã không có mặt tại hiện trường đó sao?
question-44	被告人はその時刻に現場付近にいたと認めたのではないですか？	Didn't the defendant admit to being near the scene at that time?	被告人不承认当时在现场附近吗？	Bị cáo đã không thừa nhận rằng họ đã có mặt ở gần hiện trường vào thời điểm đó, phải không?
question-45	被告人にはアリバイがないのですか？	Doesn't the defendant have an alibi?	被告没有不在场证明吗？	Bị cáo không có chứng cứ ngoại phạm sao?
question-46	被告人はその日、午後8時には家に帰ったと述べているのですね？	The defendant stated that he returned home by 8 p.m. that day, didn't he?	被告人说那天晚上8点回到了家，对吗？	Bị cáo đã khai rằng vào ngày hôm đó, bị cáo đã về nhà lúc 8 giờ tối phải không?
question-47	弁護士が提出した資料は全て確認済みではないですか？	Hasn't all the material submitted by the lawyer been checked?	律师提交的资料不是都确认了吗？	Tài liệu mà luật sư đã nộp tất cả chưa được xác nhận phải không?
question-48	法廷での宣誓を理解していますね？	You understand the oath in court, don't you?	您理解在法庭上的宣誓吗？	Bạn hiểu lời thề trước tòa, phải không?
question-49	目撃者の記憶が曖昧であることを、誰が否定できるのでしょうか？	Who can deny that the witness's memory is vague?	谁能否定目击者的记忆是模糊的呢？	Ai có thể phủ nhận rằng ký ức của nhân chứng là mơ hồ?
question-50	目撃者の証言が矛盾しているとは思いませんか？	Don't you think the witness's testimony is contradictory?	你不觉得目击者的证词有矛盾吗？	Bạn không nghĩ rằng lời khai của nhân chứng có mâu thuẫn sao?
