ID	gpt	llama	azure
handbook-160	0.93	0.97	0.94
handbook-161	0.87	0.88	0.89
handbook-162	1.0	0.98	0.99
handbook-163	0.98	0.96	1.0
handbook-164	1.0	0.99	0.93
handbook-165	0.97	0.99	0.99
handbook-166	0.99	0.97	0.95
handbook-167	0.99	1.0	0.99
handbook-168	0.99	1.0	1.0
handbook-169	0.84	0.84	0.97
handbook-170	0.86	0.85	0.95
handbook-171	0.69	0.75	0.72
handbook-172	0.93	0.86	0.76
handbook-173	0.96	0.68	0.86
handbook-174	0.98	0.94	0.98
handbook-175	1.0	0.92	0.96
handbook-176	0.97	0.98	0.98
handbook-177	0.92	0.74	0.94
handbook-178	0.91	0.87	0.85
handbook-179	0.97	0.91	0.99
handbook-180	0.99	0.99	0.97
handbook-181	0.97	0.95	0.91
handbook-182	0.9	0.83	0.91
handbook-183	0.76	0.87	0.78
handbook-184	0.84	0.76	0.84
handbook-185	0.89	0.89	0.7
handbook-186	0.86	0.85	0.62
handbook-187	0.98	0.95	0.96
handbook-188	0.95	0.94	0.74
handbook-189	0.86	0.86	0.59
handbook-190	0.88	0.77	0.72
handbook-191	0.9	0.87	0.32
handbook-192	0.96	0.97	0.79
handbook-194	0.92	0.86	0.86
handbook-195	0.89	0.99	0.97
handbook-196	0.99	0.99	0.96
handbook-197	0.88	0.89	0.81
handbook-200	0.82	0.85	0.78
handbook-201	0.61	0.68	0.57
handbook-202	0.7	0.5	0.54
handbook-203	0.89	0.87	0.73
handbook-205	0.97	0.99	0.82
handbook-206	0.96	0.93	0.9
handbook-208	0.71	0.53	0.51
handbook-209	0.57	0.65	0.62
handbook-210	0.56	0.82	0.64
handbook-211	0.63	0.62	0.46
handbook-212	0.74	0.91	0.9
handbook-216	0.62	0.39	0.72
handbook-217	0.99	0.95	0.98
handbook-219	0.98	0.99	0.99
handbook-220	0.96	0.91	0.87
handbook-223	0.86	0.94	0.85
handbook-224	0.83	0.94	0.91
handbook-225	0.91	0.98	0.85
handbook-227	0.9	0.97	0.92
handbook-228	0.76	0.9	0.61
handbook-229	1.0	1.0	1.0
handbook-231	0.91	1.0	1.0
handbook-233	0.91	0.83	0.81
handbook-236	0.96	0.94	0.91
handbook-237	1.0	1.0	1.0
handbook-238	1.0	0.93	0.98
handbook-239	0.96	0.97	0.89
handbook-241	0.95	0.9	0.97
handbook-246	0.66	0.58	0.65
handbook-247	0.78	0.8	0.58
handbook-248	0.86	0.91	0.73
handbook-249	0.86	0.72	0.79
handbook-250	0.34	0.26	0.19
handbook-251	0.59	0.58	0.57
handbook-252	0.63	0.65	0.53
handbook-253	0.73	0.51	0.83
handbook-254	0.36	0.28	0.47
handbook-255	0.17	0.47	0.12
handbook-256	0.55	0.51	0.63
handbook-257	0.87	0.9	0.89
handbook-258	0.89	0.74	0.84
handbook-259	0.83	0.78	0.58
handbook-260	0.92	0.92	0.89
handbook-261	0.34	0.53	0.55
handbook-262	0.87	0.85	0.87
handbook-263	0.26	0.25	0.23
handbook-264	0.33	0.34	0.2
handbook-265	0.25	0.15	0.1
handbook-266	0.6	0.51	0.53
handbook-267	0.52	0.49	0.55
handbook-268	0.62	0.5	0.59
handbook-269	0.67	0.35	0.17
handbook-270	0.68	0.67	0.35
handbook-271	0.81	0.69	0.68
handbook-276	0.86	0.89	0.92
handbook-277	0.71	0.85	0.89
handbook-278	0.91	0.93	0.76
handbook-283	0.64	0.59	0.52
handbook-290	0.63	0.52	0.72
handbook-291	0.56	0.73	0.7
handbook-292	0.4	0.33	0.17
handbook-293	0.97	0.96	0.99
handbook-294	0.95	0.96	0.93
handbook-295	0.75	0.59	0.76
handbook-296	0.97	0.97	0.91
handbook-297	0.77	0.49	0.31
handbook-299	0.8	0.76	0.46
handbook-300	0.78	0.78	0.55
handbook-301	0.48	0.6	0.25
handbook-302	0.78	0.64	0.69
handbook-303	0.84	0.89	0.76
handbook-304	0.5	0.37	0.39
handbook-305	0.51	0.52	0.28
handbook-306	0.56	0.72	0.47
handbook-307	0.88	0.87	0.79
handbook-308	0.39	0.3	0.2
handbook-309	0.65	0.68	0.57
ALL	0.85	0.83	0.8
