ID	target	gpt	llama	azure
handbook-106	0.69	0.93	0.94	0.96
handbook-107	0.74	0.78	0.75	0.7
handbook-108	0.69	0.79	0.72	0.8
handbook-109	0.93	0.82	0.99	0.99
handbook-110	0.92	0.91	0.99	0.9
handbook-112	0.76	0.57	0.7	0.64
handbook-113	0.62	0.76	0.78	0.52
handbook-114	0.8	1.0	0.99	0.99
handbook-115	0.23	0.91	0.89	0.82
handbook-116	0.73	0.77	0.65	0.84
handbook-117	0.95	0.94	0.96	0.93
handbook-118	0.87	0.98	0.99	0.98
handbook-121	0.97	0.94	0.99	0.96
handbook-122	0.95	0.93	0.95	0.86
handbook-123	0.84	0.91	0.94	0.96
handbook-124	1.0	1.0	1.0	1.0
handbook-125	0.94	0.97	0.94	0.95
handbook-126	1.0	1.0	1.0	1.0
handbook-129	0.74	0.87	0.77	0.71
handbook-132	0.98	0.99	0.99	0.98
handbook-133	0.97	0.97	0.97	0.95
handbook-134	0.9	0.98	0.97	0.93
handbook-135	0.97	1.0	1.0	0.99
handbook-136	0.97	0.96	0.95	0.96
handbook-137	0.86	0.82	0.84	0.85
handbook-139	0.79	0.94	0.87	0.99
handbook-140	0.98	1.0	0.92	0.99
handbook-141	0.86	0.99	1.0	0.99
handbook-142	0.73	0.82	0.87	0.83
handbook-143	0.88	0.92	0.93	0.75
handbook-144	0.85	0.82	0.83	0.73
handbook-145	0.84	0.87	0.96	0.95
handbook-146	0.95	0.93	0.85	0.93
handbook-147	0.92	0.98	0.97	0.97
handbook-148	0.93	0.89	0.93	0.81
handbook-149	0.92	1.0	1.0	0.99
handbook-150	0.96	0.98	0.96	0.88
handbook-151	0.85	0.91	0.73	0.87
handbook-152	0.99	1.0	1.0	1.0
handbook-153	0.93	1.0	1.0	1.0
handbook-155	0.94	1.0	1.0	1.0
handbook-156	0.8	0.93	0.91	0.81
handbook-157	0.6	0.91	0.92	0.89
handbook-158	0.97	0.96	0.98	0.98
handbook-159	0.87	0.95	0.94	0.96
handbook-160	0.94	0.92	0.97	0.95
handbook-161	0.76	0.86	0.91	0.92
handbook-162	0.98	0.99	0.96	0.98
handbook-163	0.94	0.96	0.96	0.99
handbook-164	0.98	1.0	1.0	0.97
handbook-165	0.99	0.97	0.99	0.99
handbook-166	0.95	1.0	0.99	0.97
handbook-167	1.0	0.99	1.0	1.0
handbook-168	1.0	1.0	0.99	1.0
handbook-169	0.87	0.86	0.92	1.0
handbook-170	0.94	0.91	0.93	1.0
handbook-171	0.85	0.92	0.93	0.8
handbook-172	0.86	0.95	0.92	0.87
handbook-173	0.8	0.96	0.81	0.91
handbook-174	0.99	1.0	1.0	1.0
handbook-175	1.0	1.0	0.97	0.99
handbook-176	0.97	0.98	0.98	1.0
handbook-177	0.91	0.93	0.83	0.94
handbook-178	0.82	0.92	0.92	0.92
handbook-179	0.9	0.95	0.98	0.96
handbook-180	0.91	0.99	0.99	0.97
handbook-181	0.93	0.97	0.96	0.91
handbook-182	0.87	0.95	0.82	0.95
handbook-183	0.66	0.91	0.94	0.83
handbook-184	0.85	0.87	0.87	0.87
handbook-185	0.56	0.77	0.87	0.8
handbook-186	0.72	0.62	0.84	0.67
handbook-187	0.91	0.99	0.97	0.97
handbook-188	0.81	0.96	0.95	0.84
handbook-189	0.44	0.94	0.93	0.66
handbook-190	0.67	1.0	0.84	0.92
handbook-191	0.85	0.93	0.89	0.27
handbook-192	0.86	0.95	1.0	0.76
handbook-194	0.88	0.99	1.0	0.97
handbook-195	0.86	0.99	0.97	0.98
handbook-196	0.89	0.99	0.98	0.95
handbook-197	0.89	0.9	0.92	0.88
handbook-200	0.86	0.74	0.88	0.8
handbook-201	0.56	0.65	0.81	0.67
handbook-202	0.57	0.7	0.52	0.58
handbook-203	0.75	0.86	0.82	0.88
handbook-205	0.95	0.99	0.99	0.8
handbook-206	0.88	0.9	0.92	0.93
handbook-208	0.7	0.7	0.57	0.69
handbook-209	0.64	0.64	0.61	0.59
handbook-210	0.53	0.59	0.83	0.55
handbook-211	0.65	0.68	0.54	0.56
handbook-212	0.7	0.83	0.95	0.9
handbook-216	0.8	0.7	0.5	0.8
handbook-217	0.99	0.96	0.94	0.95
handbook-219	0.92	1.0	0.93	0.95
handbook-220	0.98	0.96	0.91	0.84
handbook-223	0.9	0.95	0.97	0.97
handbook-224	0.76	0.92	0.98	0.96
handbook-225	0.98	0.99	0.97	0.97
handbook-227	0.95	0.9	0.97	0.93
handbook-228	0.88	0.97	0.97	0.99
handbook-229	0.99	0.97	0.99	0.99
handbook-231	0.99	0.99	1.0	1.0
handbook-233	0.91	0.95	0.94	0.91
handbook-236	0.92	0.97	0.94	0.92
handbook-237	0.99	1.0	1.0	1.0
handbook-238	0.94	1.0	0.95	0.95
handbook-239	0.92	0.97	0.96	0.91
handbook-241	0.87	0.96	0.95	0.98
handbook-246	0.85	0.76	0.85	0.88
handbook-247	0.84	0.79	0.86	0.87
handbook-248	0.71	0.84	0.92	0.9
handbook-249	0.86	0.92	0.8	0.86
handbook-250	0.29	0.35	0.25	0.27
handbook-251	0.48	0.63	0.59	0.57
handbook-252	0.35	0.55	0.59	0.47
handbook-253	0.69	0.66	0.42	0.7
handbook-254	0.39	0.41	0.23	0.42
handbook-255	0.27	0.28	0.53	0.16
handbook-256	0.51	0.45	0.29	0.49
handbook-257	0.77	0.89	0.91	0.88
handbook-258	0.79	0.92	0.84	0.86
handbook-259	0.51	0.86	0.82	0.69
handbook-260	0.79	0.92	0.92	0.87
handbook-261	0.37	0.35	0.52	0.48
handbook-262	0.77	0.9	0.88	0.91
handbook-263	0.26	0.25	0.26	0.21
handbook-264	0.43	0.37	0.41	0.27
handbook-265	0.26	0.19	0.27	0.16
handbook-266	0.49	0.6	0.52	0.58
handbook-267	0.37	0.52	0.47	0.48
handbook-268	0.54	0.55	0.57	0.54
handbook-269	0.4	0.52	0.24	0.12
handbook-270	0.78	0.52	0.69	0.38
handbook-271	0.76	0.8	0.61	0.53
handbook-276	0.9	0.83	0.87	0.91
handbook-277	0.88	0.76	0.83	0.88
handbook-278	0.94	0.92	0.97	0.89
handbook-283	0.73	0.72	0.65	0.74
handbook-290	0.63	0.64	0.56	0.8
handbook-291	0.7	0.79	0.8	0.84
handbook-292	0.25	0.4	0.34	0.22
handbook-293	0.9	0.96	0.94	0.96
handbook-294	0.88	0.97	0.94	0.89
handbook-295	0.59	0.67	0.61	0.69
handbook-296	0.92	0.96	0.95	0.88
handbook-297	0.55	0.66	0.56	0.37
handbook-299	0.78	0.83	0.8	0.58
handbook-300	0.71	0.72	0.78	0.59
handbook-301	0.55	0.69	0.75	0.44
handbook-302	0.57	0.63	0.61	0.55
handbook-303	0.77	0.92	0.9	0.87
handbook-304	0.47	0.58	0.41	0.55
handbook-305	0.24	0.5	0.74	0.32
handbook-306	0.33	0.53	0.68	0.75
handbook-307	0.84	0.9	0.88	0.76
handbook-308	0.21	0.44	0.45	0.29
handbook-309	0.6	0.61	0.66	0.6
ALL	0.8	0.87	0.86	0.84
