ID	target	gpt	llama	azure
handbook-136	0.85	0.91	0.76	0.96
handbook-137	0.76	0.57	0.68	0.49
handbook-139	0.85	0.31	0.37	0.47
handbook-140	0.77	0.86	0.92	0.79
handbook-141	0.83	0.92	0.95	0.94
handbook-142	0.57	0.76	0.77	0.75
handbook-143	0.73	0.88	0.68	0.4
handbook-144	0.72	0.6	0.84	0.63
handbook-145	0.64	0.69	0.92	0.74
handbook-146	0.85	0.95	0.94	0.7
handbook-147	0.77	0.91	0.94	0.97
handbook-148	0.63	0.68	0.73	0.63
handbook-149	0.95	0.81	0.94	0.98
handbook-150	0.83	0.65	0.81	0.56
handbook-151	0.25	0.72	0.74	0.67
handbook-152	0.21	0.96	1.0	0.99
handbook-153	0.88	0.94	1.0	0.97
handbook-155	0.85	0.91	0.75	0.93
handbook-156	0.98	0.97	0.94	0.78
handbook-157	0.96	0.68	0.82	0.75
handbook-158	0.99	0.94	0.49	0.94
handbook-159	0.86	0.97	0.85	0.84
handbook-160	0.98	0.87	0.4	0.93
handbook-161	0.93	0.84	0.37	0.33
handbook-162	0.97	0.95	0.98	0.94
handbook-163	0.94	0.9	0.86	0.99
handbook-164	1.0	0.99	1.0	0.97
handbook-165	0.72	0.96	0.8	0.64
handbook-166	0.99	0.97	0.86	0.67
handbook-167	0.98	1.0	1.0	0.97
handbook-168	1.0	1.0	1.0	1.0
handbook-169	0.81	0.2	0.8	0.99
handbook-170	0.86	0.76	0.44	0.89
handbook-171	0.94	0.69	0.7	0.65
handbook-172	0.63	0.74	0.9	0.66
handbook-173	0.87	0.73	0.68	0.66
handbook-174	0.91	0.99	0.95	0.84
handbook-175	0.96	0.73	0.85	0.79
handbook-176	0.95	0.96	0.93	0.9
handbook-177	0.63	0.54	0.78	0.59
handbook-178	0.89	0.7	0.8	0.75
handbook-179	0.59	0.85	0.93	0.97
handbook-180	0.88	0.88	0.96	0.94
handbook-181	0.97	0.95	0.43	0.88
handbook-182	0.95	0.72	0.66	0.61
handbook-183	0.89	0.65	0.71	0.6
handbook-184	0.4	0.4	0.34	0.41
handbook-185	0.62	0.58	0.4	0.35
handbook-186	0.82	0.7	0.78	0.68
handbook-187	0.93	0.97	0.84	0.93
handbook-188	0.86	0.63	0.47	0.43
handbook-189	0.38	0.58	0.77	0.21
handbook-190	0.66	0.75	0.84	0.62
handbook-191	0.71	0.76	0.84	0.28
handbook-192	0.77	0.91	0.7	0.55
handbook-194	0.85	0.83	0.77	0.85
handbook-195	0.78	0.9	0.78	0.95
handbook-196	0.84	0.99	0.95	0.98
handbook-197	0.88	0.99	0.65	0.69
handbook-200	0.93	0.67	0.74	0.51
handbook-201	0.67	0.6	0.6	0.49
handbook-202	0.62	0.69	0.76	0.45
handbook-203	0.87	0.92	0.67	0.75
handbook-205	0.86	0.69	0.98	0.72
handbook-206	0.6	0.99	0.59	0.69
handbook-208	0.6	0.52	0.68	0.29
handbook-209	0.42	0.54	0.41	0.35
handbook-210	0.4	0.33	0.12	0.11
handbook-211	0.44	0.19	0.32	0.32
handbook-212	0.78	0.62	0.34	0.36
handbook-216	0.58	0.55	0.53	0.39
handbook-217	0.99	0.94	0.76	0.94
handbook-219	0.95	0.88	0.93	0.88
handbook-220	0.96	0.98	0.98	0.59
handbook-223	0.82	0.76	0.7	0.68
handbook-224	0.7	0.92	0.4	0.84
handbook-225	1.0	0.97	0.97	0.99
handbook-227	0.96	0.89	0.93	0.47
handbook-228	0.83	0.81	0.76	0.76
handbook-229	0.94	0.99	0.81	0.86
handbook-231	1.0	0.97	0.59	0.99
handbook-233	0.84	0.71	0.82	0.93
handbook-236	0.76	0.7	0.78	0.8
handbook-237	0.99	1.0	1.0	1.0
handbook-238	0.85	1.0	0.96	0.9
handbook-239	0.76	0.98	0.89	0.93
handbook-241	0.89	0.97	0.87	0.72
handbook-246	0.44	0.31	0.32	0.29
handbook-247	0.58	0.27	0.27	0.49
handbook-248	0.84	0.82	0.74	0.58
handbook-249	0.42	0.83	0.43	0.64
handbook-250	0.21	0.42	0.21	0.17
handbook-251	0.47	0.54	0.15	0.55
handbook-252	0.52	0.57	0.61	0.51
handbook-253	0.34	0.62	0.19	0.61
handbook-254	0.58	0.33	0.21	0.42
handbook-255	0.31	0.31	0.24	0.07
handbook-256	0.68	0.64	0.71	0.79
handbook-257	0.94	0.96	0.82	0.82
handbook-258	0.72	0.56	0.75	0.46
handbook-259	0.41	0.67	0.48	0.19
handbook-260	0.9	0.6	0.68	0.73
handbook-261	0.53	0.26	0.13	0.72
handbook-262	0.77	0.8	0.72	0.65
handbook-263	0.54	0.35	0.31	0.19
handbook-264	0.42	0.48	0.21	0.12
handbook-265	0.19	0.28	0.17	0.1
handbook-266	0.54	0.56	0.51	0.28
handbook-267	0.55	0.57	0.4	0.52
handbook-268	0.6	0.43	0.21	0.63
handbook-269	0.55	0.52	0.36	0.09
handbook-270	0.83	0.52	0.62	0.3
handbook-271	0.66	0.81	0.15	0.56
handbook-276	0.81	0.47	0.41	0.98
handbook-277	0.98	0.71	0.97	0.68
handbook-278	0.79	0.79	0.92	0.83
handbook-283	0.65	0.34	0.41	0.31
handbook-290	0.46	0.46	0.34	0.78
handbook-291	0.48	0.7	0.28	0.58
handbook-292	0.52	0.4	0.21	0.13
handbook-293	0.93	0.95	0.96	1.0
handbook-294	0.92	0.98	0.76	0.99
handbook-295	0.84	0.72	0.6	0.7
handbook-296	0.98	0.75	0.57	0.65
handbook-297	0.5	0.64	0.78	0.17
handbook-299	0.65	0.56	0.48	0.31
handbook-300	0.62	0.78	0.56	0.34
handbook-301	0.65	0.71	0.43	0.21
handbook-302	0.67	0.69	0.52	0.46
handbook-303	0.59	0.8	0.78	0.58
handbook-304	0.55	0.54	0.2	0.18
handbook-305	0.71	0.62	0.61	0.25
handbook-306	0.77	0.51	0.57	0.57
handbook-307	0.61	0.91	0.56	0.38
handbook-308	0.41	0.38	0.28	0.19
handbook-309	0.52	0.54	0.76	0.67
ALL	0.76	0.74	0.69	0.68
